# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.99544960290996
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.7299796325
# ISS.sample_y_position: 13.896036572
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:23:28
# Scan.end_time: 02/21/2022  13:23:53
# Scan.duration: 00:25
# Scan.transient_id: 196864
# Scan.uid: 69042d9c-ae60-4d08-a8a4-2a18400995f1
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.565035e-05 -2.876405e-06 -4.539585e-07 -1.228957e-07 -7.991456e-05 -4.335075e-05 -4.695137e-05 -3.402918e-05
 7614.000000 -2.323549e-05 -4.286527e-06 -6.775151e-07 -1.829156e-07 -1.179233e-04 -6.776058e-05 -7.284733e-05 -5.385431e-05
 7619.000000 -2.326578e-05 -4.311041e-06 -6.828392e-07 -1.836740e-07 -1.196695e-04 -6.319092e-05 -6.720984e-05 -4.747524e-05
 7624.000000 -2.335514e-05 -4.348680e-06 -6.900997e-07 -1.850056e-07 -1.205888e-04 -6.243873e-05 -5.773953e-05 -4.192518e-05
 7629.000000 -2.343911e-05 -4.385198e-06 -6.971751e-07 -1.862139e-07 -1.240795e-04 -6.458651e-05 -5.497892e-05 -3.965603e-05
 7634.000000 -2.351402e-05 -4.419885e-06 -7.040117e-07 -1.873905e-07 -1.269839e-04 -6.103372e-05 -5.731029e-05 -3.416088e-05
 7639.000000 -2.353033e-05 -4.442944e-06 -7.090780e-07 -1.880722e-07 -1.316093e-04 -6.952483e-05 -5.911113e-05 -3.571814e-05
 7644.000000 -2.353708e-05 -4.464035e-06 -7.137664e-07 -1.886755e-07 -1.357100e-04 -6.856704e-05 -5.619242e-05 -4.125283e-05
 7649.000000 -2.357213e-05 -4.491173e-06 -7.193799e-07 -1.895691e-07 -1.328361e-04 -6.478395e-05 -6.125720e-05 -3.444705e-05
 7654.000000 -2.361421e-05 -4.520329e-06 -7.252012e-07 -1.905135e-07 -1.284067e-04 -6.063670e-05 -7.088306e-05 -3.275025e-05
 7659.000000 -2.368830e-05 -4.555105e-06 -7.320018e-07 -1.917508e-07 -1.277381e-04 -6.259420e-05 -6.963004e-05 -4.003029e-05
 7664.000000 -2.364192e-05 -4.565185e-06 -7.348864e-07 -1.920372e-07 -1.248747e-04 -6.877116e-05 -7.492372e-05 -4.676871e-05
 7669.000000 -2.368076e-05 -4.593236e-06 -7.405086e-07 -1.930031e-07 -1.316042e-04 -7.304280e-05 -7.251408e-05 -4.062778e-05
 7674.000000 -2.375508e-05 -4.628183e-06 -7.471186e-07 -1.943333e-07 -1.290608e-04 -7.645309e-05 -7.205259e-05 -4.025123e-05
 7679.000000 -2.374599e-05 -4.645872e-06 -7.509359e-07 -1.950189e-07 -1.303189e-04 -6.982675e-05 -7.626039e-05 -3.654046e-05
