# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.06091167431964
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.7299796325
# ISS.sample_y_position: 13.895998425
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:34:32
# Scan.end_time: 02/21/2022  13:34:58
# Scan.duration: 00:26
# Scan.transient_id: 196884
# Scan.uid: 3d6f237d-b138-4762-85a9-e4a295c3452f
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.816193e-05 -4.455954e-06 -2.666647e-07 -2.636425e-07 -9.121010e-05 -4.510983e-05 -5.645271e-05 -3.951289e-05
 8238.000000 -2.612509e-05 -6.426549e-06 -3.851897e-07 -3.790388e-07 -1.330798e-04 -6.097946e-05 -7.866596e-05 -5.454179e-05
 8243.000000 -2.608992e-05 -6.438640e-06 -3.865673e-07 -3.798379e-07 -1.280790e-04 -6.278065e-05 -7.624822e-05 -4.756942e-05
 8248.000000 -2.621252e-05 -6.494910e-06 -3.900607e-07 -3.798379e-07 -1.291449e-04 -5.650070e-05 -7.331167e-05 -5.156211e-05
 8253.000000 -2.618969e-05 -6.513356e-06 -3.910655e-07 -3.798382e-07 -1.337290e-04 -6.049282e-05 -6.529109e-05 -4.568714e-05
 8258.000000 -2.612616e-05 -6.521376e-06 -3.913774e-07 -3.798374e-07 -1.301466e-04 -5.680640e-05 -6.667550e-05 -4.440196e-05
 8263.000000 -2.627080e-05 -6.584520e-06 -3.953345e-07 -3.798372e-07 -1.324119e-04 -5.779532e-05 -6.818441e-05 -4.734523e-05
 8268.000000 -2.627795e-05 -6.610972e-06 -3.977212e-07 -3.798392e-07 -1.336043e-04 -5.319367e-05 -6.646527e-05 -5.081209e-05
 8273.000000 -2.631656e-05 -6.645709e-06 -4.012701e-07 -3.798381e-07 -1.331717e-04 -4.908684e-05 -7.557346e-05 -5.106009e-05
 8278.000000 -2.622959e-05 -6.646155e-06 -4.032879e-07 -3.798383e-07 -1.327267e-04 -5.611140e-05 -7.566263e-05 -4.787379e-05
 8283.000000 -2.628022e-05 -6.682929e-06 -4.076662e-07 -3.798394e-07 -1.360795e-04 -5.803453e-05 -7.484710e-05 -4.169374e-05
