# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.70568795544705
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.7299796325
# ISS.sample_y_position: 13.8959793515
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:12:08
# Scan.end_time: 02/21/2022  13:12:32
# Scan.duration: 00:24
# Scan.transient_id: 196844
# Scan.uid: 6de3f21c-5ab5-480b-8588-4f7bda56c8c8
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.479194e-06 -6.373448e-07 -5.067346e-08 -2.330216e-09 -9.308685e-05 -4.748881e-05 -4.035633e-05 -6.413103e-05
 6444.000000 -1.290109e-05 -9.750635e-07 -7.775356e-08 -3.560832e-09 -1.252821e-04 -7.456580e-05 -5.527465e-05 -1.016620e-04
 6449.000000 -1.298533e-05 -9.888558e-07 -7.916290e-08 -3.620167e-09 -1.281256e-04 -6.081073e-05 -6.291450e-05 -1.029877e-04
 6454.000000 -1.299561e-05 -9.971672e-07 -8.011307e-08 -3.660124e-09 -1.397614e-04 -5.069322e-05 -7.206228e-05 -1.133600e-04
 6459.000000 -1.309215e-05 -1.011805e-06 -8.165861e-08 -3.718101e-09 -1.394760e-04 -6.184388e-05 -7.605508e-05 -1.083280e-04
 6464.000000 -1.318952e-05 -1.026844e-06 -8.317337e-08 -3.787728e-09 -1.382121e-04 -6.589652e-05 -8.603107e-05 -9.719405e-05
 6469.000000 -1.320244e-05 -1.035261e-06 -8.419471e-08 -3.834467e-09 -1.381959e-04 -6.679211e-05 -7.972680e-05 -9.973963e-05
 6474.000000 -1.328626e-05 -1.049747e-06 -8.569412e-08 -3.899040e-09 -1.490567e-04 -7.159116e-05 -7.473684e-05 -9.497419e-05
 6479.000000 -1.336634e-05 -1.063514e-06 -8.715932e-08 -3.962243e-09 -1.430203e-04 -7.555500e-05 -8.251442e-05 -1.015687e-04
 6484.000000 -1.342831e-05 -1.076526e-06 -8.856707e-08 -4.021853e-09 -1.247914e-04 -6.327260e-05 -7.744298e-05 -1.071035e-04
 6489.000000 -1.347472e-05 -1.088066e-06 -8.984493e-08 -4.075769e-09 -1.355906e-04 -6.456899e-05 -7.325080e-05 -1.107762e-04
 6494.000000 -1.349445e-05 -1.097535e-06 -9.099112e-08 -4.133727e-09 -1.320762e-04 -6.461125e-05 -7.888200e-05 -1.071487e-04
 6499.000000 -1.357208e-05 -1.111608e-06 -9.251449e-08 -4.222744e-09 -1.357821e-04 -7.854778e-05 -7.321155e-05 -9.557019e-05
 6504.000000 -1.361045e-05 -1.122176e-06 -9.378382e-08 -4.293858e-09 -1.424067e-04 -7.882928e-05 -7.090372e-05 -1.018571e-04
 6509.000000 -1.363499e-05 -1.132252e-06 -9.495724e-08 -4.377043e-09 -1.394812e-04 -7.468488e-05 -7.638235e-05 -1.095728e-04
 6513.000000 -1.355518e-05 -1.132220e-06 -9.526823e-08 -4.411294e-09 -1.348822e-04 -7.221514e-05 -6.546991e-05 -1.111279e-04
 6516.000000 -1.374490e-05 -1.152959e-06 -9.726338e-08 -4.507284e-09 -1.359067e-04 -8.018056e-05 -7.526730e-05 -1.074106e-04
 6518.000000 -1.378166e-05 -1.158756e-06 -9.793524e-08 -4.562365e-09 -1.395637e-04 -8.181952e-05 -7.761830e-05 -1.087007e-04
 6519.000000 -1.382346e-05 -1.163835e-06 -9.841747e-08 -4.589976e-09 -1.384003e-04 -8.204783e-05 -7.517081e-05 -1.068368e-04
 6519.200000 -1.383249e-05 -1.164655e-06 -9.845972e-08 -4.594930e-09 -1.366190e-04 -8.338175e-05 -7.569091e-05 -1.109635e-04
 6519.400000 -1.384223e-05 -1.165628e-06 -9.868874e-08 -4.613578e-09 -1.430612e-04 -8.370163e-05 -7.651821e-05 -1.140864e-04
 6519.600000 -1.384508e-05 -1.165885e-06 -9.873101e-08 -4.627072e-09 -1.386329e-04 -8.745718e-05 -7.804737e-05 -1.136552e-04
 6519.800000 -1.385319e-05 -1.167291e-06 -9.878362e-08 -4.625580e-09 -1.388770e-04 -8.789895e-05 -8.040262e-05 -1.052497e-04
 6520.000000 -1.384106e-05 -1.166278e-06 -9.870771e-08 -4.614593e-09 -1.463840e-04 -8.344175e-05 -8.257434e-05 -1.132749e-04
 6520.200000 -1.380866e-05 -1.164230e-06 -9.857147e-08 -4.614005e-09 -1.346802e-04 -7.730128e-05 -7.359909e-05 -1.133449e-04
 6520.400000 -1.381509e-05 -1.165504e-06 -9.870883e-08 -4.618633e-09 -1.276429e-04 -6.836416e-05 -7.566635e-05 -1.226038e-04
 6520.600000 -1.379005e-05 -1.163620e-06 -9.846088e-08 -4.636277e-09 -1.348681e-04 -7.969329e-05 -7.998969e-05 -1.218056e-04
 6520.800000 -1.383189e-05 -1.166907e-06 -9.887062e-08 -4.645523e-09 -1.330816e-04 -8.110288e-05 -6.006674e-05 -1.089805e-04
 6521.000000 -1.383203e-05 -1.167397e-06 -9.885515e-08 -4.642178e-09 -1.317896e-04 -8.167160e-05 -8.085847e-05 -1.225408e-04
 6521.200000 -1.384481e-05 -1.169015e-06 -9.908159e-08 -4.648198e-09 -1.262151e-04 -7.675022e-05 -7.396497e-05 -1.081323e-04
 6521.400000 -1.382520e-05 -1.167436e-06 -9.886123e-08 -4.664645e-09 -1.247720e-04 -6.828437e-05 -7.124228e-05 -1.107045e-04
 6521.600000 -1.384133e-05 -1.169544e-06 -9.897956e-08 -4.667481e-09 -1.312563e-04 -6.751915e-05 -7.279991e-05 -1.126544e-04
 6521.800000 -1.384591e-05 -1.170829e-06 -9.914468e-08 -4.673170e-09 -1.292947e-04 -7.150535e-05 -7.070917e-05 -1.059052e-04
 6522.000000 -1.385838e-05 -1.171746e-06 -9.933890e-08 -4.681707e-09 -1.225186e-04 -6.833579e-05 -7.994919e-05 -1.141969e-04
 6522.200000 -1.387343e-05 -1.172837e-06 -9.940615e-08 -4.679580e-09 -1.262385e-04 -6.364613e-05 -9.280713e-05 -1.181241e-04
 6522.400000 -1.389867e-05 -1.175804e-06 -9.969711e-08 -4.714103e-09 -1.337933e-04 -7.557321e-05 -8.517573e-05 -1.204838e-04
 6522.600000 -1.390249e-05 -1.176126e-06 -9.966193e-08 -4.716022e-09 -1.281471e-04 -7.815675e-05 -8.119645e-05 -1.113828e-04
 6522.800000 -1.390617e-05 -1.176688e-06 -9.975978e-08 -4.734892e-09 -1.296219e-04 -6.679137e-05 -8.053948e-05 -1.141858e-04
 6523.000000 -1.391265e-05 -1.178198e-06 -9.982808e-08 -4.732719e-09 -1.291895e-04 -6.641703e-05 -7.629383e-05 -1.156605e-04
 6523.200000 -1.390004e-05 -1.177033e-06 -9.985452e-08 -4.726304e-09 -1.311792e-04 -7.294708e-05 -7.876376e-05 -1.061880e-04
 6523.400000 -1.388006e-05 -1.176305e-06 -9.983316e-08 -4.711437e-09 -1.225352e-04 -6.939336e-05 -8.081799e-05 -1.035813e-04
