# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.66711630606255
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.729998705999996
# ISS.sample_y_position: 13.896036572
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:24:01
# Scan.end_time: 02/21/2022  13:24:25
# Scan.duration: 00:23
# Scan.transient_id: 196865
# Scan.uid: e66cf7da-fd1e-4098-aab7-0ce16df2dc15
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.564534e-05 -2.871451e-06 -4.534140e-07 -1.228278e-07 -9.085406e-05 -5.345808e-05 -6.352315e-05 -2.813599e-05
 7614.000000 -2.319105e-05 -4.271844e-06 -6.756204e-07 -1.825221e-07 -1.353911e-04 -7.515903e-05 -9.738801e-05 -3.894719e-05
 7619.000000 -2.329987e-05 -4.312376e-06 -6.833304e-07 -1.839518e-07 -1.397972e-04 -7.239012e-05 -8.193448e-05 -4.479054e-05
 7624.000000 -2.332705e-05 -4.337440e-06 -6.885796e-07 -1.847238e-07 -1.427077e-04 -6.996626e-05 -8.661772e-05 -4.296791e-05
 7629.000000 -2.333573e-05 -4.358811e-06 -6.933652e-07 -1.853739e-07 -1.432120e-04 -7.305236e-05 -9.920779e-05 -4.249737e-05
 7634.000000 -2.342175e-05 -4.395658e-06 -7.005385e-07 -1.866150e-07 -1.414181e-04 -7.415611e-05 -1.097905e-04 -4.523856e-05
 7639.000000 -2.344546e-05 -4.420445e-06 -7.057395e-07 -1.873773e-07 -1.388648e-04 -7.704020e-05 -9.626501e-05 -4.315498e-05
 7644.000000 -2.344791e-05 -4.440705e-06 -7.102944e-07 -1.879873e-07 -1.468648e-04 -8.226306e-05 -9.699724e-05 -4.749279e-05
 7649.000000 -2.350950e-05 -4.473343e-06 -7.167279e-07 -1.890690e-07 -1.415320e-04 -7.775364e-05 -9.303018e-05 -4.571595e-05
 7654.000000 -2.356299e-05 -4.504443e-06 -7.229677e-07 -1.900757e-07 -1.388104e-04 -8.438988e-05 -8.707950e-05 -4.399334e-05
 7659.000000 -2.364681e-05 -4.540785e-06 -7.300845e-07 -1.913927e-07 -1.355867e-04 -8.342936e-05 -8.374531e-05 -3.898283e-05
 7664.000000 -2.367314e-05 -4.565783e-06 -7.353481e-07 -1.922519e-07 -1.312473e-04 -7.194913e-05 -8.766362e-05 -4.032957e-05
 7669.000000 -2.370189e-05 -4.591491e-06 -7.406494e-07 -1.932193e-07 -1.332140e-04 -6.994686e-05 -9.549065e-05 -3.972818e-05
 7674.000000 -2.369763e-05 -4.610473e-06 -7.447550e-07 -1.938342e-07 -1.358366e-04 -6.580966e-05 -9.063522e-05 -4.442574e-05
 7679.000000 -2.372103e-05 -4.635055e-06 -7.496128e-07 -1.947839e-07 -1.290845e-04 -6.722190e-05 -8.977723e-05 -3.670123e-05
 7683.000000 -2.372190e-05 -4.651196e-06 -7.527837e-07 -1.954185e-07 -1.322725e-04 -6.056876e-05 -9.461061e-05 -4.258544e-05
 7686.000000 -2.373228e-05 -4.664846e-06 -7.553183e-07 -1.960098e-07 -1.433842e-04 -5.711778e-05 -9.316550e-05 -4.423412e-05
 7688.000000 -2.369642e-05 -4.665118e-06 -7.554521e-07 -1.960470e-07 -1.406959e-04 -5.613282e-05 -9.629702e-05 -4.367089e-05
 7689.000000 -2.367044e-05 -4.663544e-06 -7.551871e-07 -1.960282e-07 -1.261326e-04 -7.092469e-05 -9.207049e-05 -3.483929e-05
 7689.200000 -2.364017e-05 -4.658226e-06 -7.543530e-07 -1.958488e-07 -1.249781e-04 -7.180343e-05 -1.016344e-04 -3.260552e-05
 7689.400000 -2.364128e-05 -4.659361e-06 -7.546004e-07 -1.959046e-07 -1.234349e-04 -6.806547e-05 -8.481885e-05 -3.121209e-05
 7689.600000 -2.372081e-05 -4.676673e-06 -7.572127e-07 -1.966098e-07 -1.229530e-04 -6.963872e-05 -8.529880e-05 -3.307508e-05
 7689.800000 -2.377146e-05 -4.687942e-06 -7.591580e-07 -1.972134e-07 -1.269372e-04 -7.377575e-05 -9.288457e-05 -3.132744e-05
 7690.000000 -2.376679e-05 -4.687489e-06 -7.590792e-07 -1.970893e-07 -1.285578e-04 -8.055784e-05 -9.543708e-05 -3.743011e-05
 7690.200000 -2.381177e-05 -4.697688e-06 -7.606575e-07 -1.974364e-07 -1.364688e-04 -8.664727e-05 -9.937003e-05 -4.316138e-05
 7690.400000 -2.385099e-05 -4.705680e-06 -7.621783e-07 -1.979195e-07 -1.334648e-04 -8.056381e-05 -9.545943e-05 -4.724337e-05
 7690.600000 -2.383986e-05 -4.703606e-06 -7.619373e-07 -1.978862e-07 -1.411838e-04 -7.515251e-05 -1.003423e-04 -5.197309e-05
 7690.800000 -2.383809e-05 -4.705433e-06 -7.621456e-07 -1.977148e-07 -1.398359e-04 -6.265426e-05 -9.727691e-05 -4.797202e-05
 7691.000000 -2.379676e-05 -4.697679e-06 -7.608864e-07 -1.976006e-07 -1.355298e-04 -5.862675e-05 -9.432081e-05 -4.600077e-05
 7691.200000 -2.372602e-05 -4.683801e-06 -7.587455e-07 -1.969424e-07 -1.385635e-04 -6.847495e-05 -1.013947e-04 -4.778405e-05
 7691.400000 -2.373818e-05 -4.686506e-06 -7.592600e-07 -1.971020e-07 -1.443130e-04 -7.415868e-05 -9.815049e-05 -5.322767e-05
 7691.600000 -2.373467e-05 -4.686924e-06 -7.591559e-07 -1.970603e-07 -1.547024e-04 -7.864191e-05 -1.186206e-04 -5.780345e-05
 7691.800000 -2.369713e-05 -4.678620e-06 -7.577882e-07 -1.968068e-07 -1.410883e-04 -7.297824e-05 -9.847500e-05 -4.725917e-05
 7692.000000 -2.370436e-05 -4.680648e-06 -7.580846e-07 -1.968838e-07 -1.469576e-04 -7.576839e-05 -9.331657e-05 -4.163615e-05
 7692.200000 -2.368896e-05 -4.679193e-06 -7.578108e-07 -1.968031e-07 -1.437010e-04 -7.214041e-05 -9.104619e-05 -4.392139e-05
 7692.400000 -2.370299e-05 -4.683252e-06 -7.583907e-07 -1.970086e-07 -1.400128e-04 -6.731070e-05 -8.373541e-05 -5.810482e-05
 7692.600000 -2.372349e-05 -4.688138e-06 -7.592548e-07 -1.972513e-07 -1.422302e-04 -6.637183e-05 -7.282839e-05 -4.400978e-05
 7692.800000 -2.376674e-05 -4.697402e-06 -7.606472e-07 -1.976533e-07 -1.504728e-04 -6.266065e-05 -8.490517e-05 -4.236174e-05
 7693.000000 -2.376266e-05 -4.697526e-06 -7.607067e-07 -1.975857e-07 -1.438032e-04 -6.120782e-05 -8.410737e-05 -4.721233e-05
 7693.200000 -2.375828e-05 -4.697901e-06 -7.607677e-07 -1.976711e-07 -1.390352e-04 -6.630345e-05 -1.096007e-04 -4.983763e-05
 7693.400000 -2.371883e-05 -4.690742e-06 -7.595419e-07 -1.974844e-07 -1.399379e-04 -5.112964e-05 -1.117008e-04 -4.599008e-05
 7693.600000 -2.376059e-05 -4.699815e-06 -7.607584e-07 -1.978726e-07 -1.422069e-04 -5.449616e-05 -8.913724e-05 -4.676571e-05
 7693.800000 -2.366217e-05 -4.679225e-06 -7.574971e-07 -1.969652e-07 -1.383392e-04 -5.990576e-05 -1.066436e-04 -5.873169e-05
 7694.000000 -2.370607e-05 -4.688713e-06 -7.589057e-07 -1.973984e-07 -1.322955e-04 -6.088888e-05 -1.080625e-04 -6.354368e-05
 7694.200000 -2.367887e-05 -4.684340e-06 -7.584113e-07 -1.972389e-07 -1.435082e-04 -6.313419e-05 -1.016058e-04 -5.103774e-05
 7694.400000 -2.374648e-05 -4.699703e-06 -7.606565e-07 -1.977966e-07 -1.463779e-04 -6.536791e-05 -1.042242e-04 -6.566848e-05
 7694.600000 -2.372467e-05 -4.696789e-06 -7.601577e-07 -1.977885e-07 -1.440533e-04 -7.151399e-05 -1.053286e-04 -5.858561e-05
 7694.800000 -2.368270e-05 -4.689007e-06 -7.589502e-07 -1.974265e-07 -1.346264e-04 -7.349026e-05 -9.746602e-05 -6.024640e-05
 7695.000000 -2.359694e-05 -4.670839e-06 -7.561076e-07 -1.966715e-07 -1.283728e-04 -6.968102e-05 -8.696928e-05 -5.422129e-05
 7695.200000 -2.359165e-05 -4.670511e-06 -7.556529e-07 -1.966254e-07 -1.273898e-04 -7.008894e-05 -9.519260e-05 -5.527314e-05
 7695.400000 -2.361993e-05 -4.676595e-06 -7.568305e-07 -1.970412e-07 -1.291642e-04 -5.881063e-05 -8.620294e-05 -5.185448e-05
 7695.600000 -2.366991e-05 -4.688333e-06 -7.585651e-07 -1.975088e-07 -1.407892e-04 -5.239683e-05 -9.459116e-05 -5.729971e-05
 7695.800000 -2.371440e-05 -4.698677e-06 -7.602373e-07 -1.979460e-07 -1.325054e-04 -5.628868e-05 -8.592019e-05 -5.270169e-05
 7696.000000 -2.373040e-05 -4.702619e-06 -7.607468e-07 -1.982491e-07 -1.357479e-04 -6.158742e-05 -8.480411e-05 -4.351182e-05
 7696.200000 -2.377503e-05 -4.712697e-06 -7.620448e-07 -1.986122e-07 -1.381121e-04 -6.148840e-05 -8.527981e-05 -4.871631e-05
 7696.400000 -2.373788e-05 -4.705722e-06 -7.609931e-07 -1.982999e-07 -1.455703e-04 -6.350306e-05 -8.028380e-05 -5.508502e-05
 7696.600000 -2.379455e-05 -4.717689e-06 -7.628246e-07 -1.988473e-07 -1.444529e-04 -6.107254e-05 -8.651520e-05 -6.697860e-05
 7696.800000 -2.380595e-05 -4.721437e-06 -7.633117e-07 -1.989675e-07 -1.404241e-04 -6.094088e-05 -7.837439e-05 -6.590726e-05
 7697.000000 -2.374971e-05 -4.710972e-06 -7.614924e-07 -1.985259e-07 -1.448747e-04 -6.573786e-05 -7.196167e-05 -5.685675e-05
 7697.200000 -2.372148e-05 -4.705752e-06 -7.605418e-07 -1.984057e-07 -1.506191e-04 -6.571834e-05 -8.090597e-05 -5.716297e-05
 7697.400000 -2.369935e-05 -4.701001e-06 -7.597397e-07 -1.981143e-07 -1.477710e-04 -5.251113e-05 -7.436213e-05 -6.319574e-05
 7697.600000 -2.369070e-05 -4.699794e-06 -7.594164e-07 -1.981546e-07 -1.481805e-04 -6.039038e-05 -6.926470e-05 -5.644069e-05
 7697.800000 -2.372877e-05 -4.709175e-06 -7.609064e-07 -1.987010e-07 -1.431987e-04 -6.309104e-05 -6.572109e-05 -5.312005e-05
 7698.000000 -2.380199e-05 -4.725548e-06 -7.634009e-07 -1.993677e-07 -1.347905e-04 -7.220714e-05 -7.721355e-05 -5.406319e-05
 7698.200000 -2.381144e-05 -4.728282e-06 -7.639735e-07 -1.995108e-07 -1.427678e-04 -7.206124e-05 -7.867580e-05 -4.984198e-05
 7698.400000 -2.379663e-05 -4.725772e-06 -7.631705e-07 -1.994495e-07 -1.429496e-04 -7.141620e-05 -7.367727e-05 -5.812733e-05
 7698.600000 -2.375091e-05 -4.715996e-06 -7.615207e-07 -1.990015e-07 -1.467469e-04 -7.028646e-05 -6.648737e-05 -6.038042e-05
 7698.800000 -2.375152e-05 -4.716077e-06 -7.614444e-07 -1.990084e-07 -1.429925e-04 -7.141670e-05 -5.129175e-05 -5.705406e-05
 7699.000000 -2.361047e-05 -4.686815e-06 -7.566624e-07 -1.980579e-07 -1.461908e-04 -7.666378e-05 -5.903463e-05 -6.032212e-05
 7699.200000 -2.359385e-05 -4.684730e-06 -7.561391e-07 -1.978476e-07 -1.381889e-04 -7.628955e-05 -6.523417e-05 -6.262280e-05
 7699.400000 -2.349523e-05 -4.665160e-06 -7.527344e-07 -1.970516e-07 -1.339677e-04 -7.301917e-05 -6.285070e-05 -6.167585e-05
