# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.7262842784703
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.729998705999996
# ISS.sample_y_position: 13.8960174985
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:35:06
# Scan.end_time: 02/21/2022  13:35:29
# Scan.duration: 00:23
# Scan.transient_id: 196885
# Scan.uid: c1dfa74d-2b65-4392-9ea1-7c5ebd6cc4ff
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.809925e-05 -4.433165e-06 -2.657712e-07 -2.637311e-07 -1.017012e-04 -4.190068e-05 -5.883918e-05 -6.490274e-05
 8238.000000 -2.596737e-05 -6.376296e-06 -3.829651e-07 -3.790463e-07 -1.488645e-04 -5.313441e-05 -9.443258e-05 -9.924238e-05
 8243.000000 -2.599044e-05 -6.404644e-06 -3.849706e-07 -3.798439e-07 -1.474847e-04 -5.976694e-05 -9.347824e-05 -8.949043e-05
 8248.000000 -2.598998e-05 -6.428012e-06 -3.864778e-07 -3.798448e-07 -1.380258e-04 -6.734121e-05 -9.232753e-05 -8.420957e-05
 8253.000000 -2.588877e-05 -6.425779e-06 -3.862326e-07 -3.798436e-07 -1.408068e-04 -6.828908e-05 -9.412420e-05 -8.698093e-05
 8258.000000 -2.590062e-05 -6.453993e-06 -3.877445e-07 -3.798433e-07 -1.407248e-04 -6.239055e-05 -9.873294e-05 -8.417354e-05
 8263.000000 -2.606494e-05 -6.522835e-06 -3.920373e-07 -3.798439e-07 -1.382595e-04 -6.726410e-05 -9.065359e-05 -6.389582e-05
 8268.000000 -2.605523e-05 -6.544362e-06 -3.940890e-07 -3.798439e-07 -1.303013e-04 -6.009734e-05 -7.695930e-05 -8.078753e-05
 8273.000000 -2.600443e-05 -6.554632e-06 -3.961483e-07 -3.798442e-07 -1.279363e-04 -5.346888e-05 -8.668808e-05 -9.056353e-05
 8278.000000 -2.598712e-05 -6.573896e-06 -3.992252e-07 -3.798444e-07 -1.313621e-04 -5.951759e-05 -8.717727e-05 -5.797684e-05
 8283.000000 -2.601929e-05 -6.605885e-06 -4.032533e-07 -3.798448e-07 -1.371886e-04 -5.765523e-05 -9.411370e-05 -5.127761e-05
 8288.000000 -2.623810e-05 -6.687130e-06 -4.102880e-07 -3.798450e-07 -1.352622e-04 -5.546731e-05 -9.039796e-05 -5.200545e-05
 8293.000000 -2.611435e-05 -6.675163e-06 -4.116879e-07 -3.798461e-07 -1.375114e-04 -5.359596e-05 -9.762364e-05 -4.318937e-05
 8298.000000 -2.619983e-05 -6.718847e-06 -4.164757e-07 -3.798471e-07 -1.393283e-04 -6.244809e-05 -9.797259e-05 -3.838729e-05
 8303.000000 -2.614147e-05 -6.720901e-06 -4.186791e-07 -3.798465e-07 -1.390982e-04 -6.398569e-05 -8.724539e-05 -5.315075e-05
 8307.000000 -2.622707e-05 -6.758431e-06 -4.225369e-07 -3.798477e-07 -1.370635e-04 -6.984854e-05 -7.871940e-05 -5.915968e-05
 8310.000000 -2.632697e-05 -6.795177e-06 -4.258600e-07 -3.798474e-07 -1.374640e-04 -7.614966e-05 -9.038473e-05 -6.041060e-05
 8312.000000 -2.636434e-05 -6.811105e-06 -4.275407e-07 -3.798461e-07 -1.308927e-04 -7.044657e-05 -9.176990e-05 -6.069592e-05
 8313.000000 -2.639793e-05 -6.823149e-06 -4.286145e-07 -3.798464e-07 -1.195502e-04 -6.848421e-05 -8.648031e-05 -6.603191e-05
 8313.200000 -2.641069e-05 -6.826994e-06 -4.289827e-07 -3.798586e-07 -1.146378e-04 -6.514166e-05 -8.757831e-05 -6.862770e-05
 8313.400000 -2.638922e-05 -6.822025e-06 -4.286920e-07 -3.798170e-07 -1.208712e-04 -6.918696e-05 -8.641882e-05 -7.148349e-05
 8313.600000 -2.640521e-05 -6.826852e-06 -4.289519e-07 -3.798375e-07 -1.273065e-04 -5.545333e-05 -1.121995e-04 -7.987138e-05
 8313.800000 -2.639180e-05 -6.823247e-06 -4.289342e-07 -3.798792e-07 -1.372969e-04 -4.904381e-05 -8.504095e-05 -7.086101e-05
 8314.000000 -2.638707e-05 -6.822024e-06 -4.288285e-07 -3.798304e-07 -1.240145e-04 -4.929755e-05 -8.518801e-05 -6.856234e-05
 8314.200000 -2.627005e-05 -6.789652e-06 -4.269267e-07 -3.798271e-07 -1.228657e-04 -4.819651e-05 -8.593472e-05 -7.955760e-05
 8314.400000 -2.632627e-05 -6.805160e-06 -4.279463e-07 -3.798473e-07 -1.311941e-04 -5.028282e-05 -8.369968e-05 -8.032755e-05
 8314.600000 -2.627389e-05 -6.792191e-06 -4.271811e-07 -3.798638e-07 -1.290961e-04 -5.676369e-05 -7.118899e-05 -7.606092e-05
 8314.800000 -2.627909e-05 -6.793240e-06 -4.271356e-07 -3.798079e-07 -1.342601e-04 -6.852706e-05 -8.074962e-05 -7.036585e-05
 8315.000000 -2.633089e-05 -6.809173e-06 -4.282000e-07 -3.798960e-07 -1.344566e-04 -7.729212e-05 -7.117652e-05 -6.708643e-05
 8315.200000 -2.630206e-05 -6.800914e-06 -4.278762e-07 -3.798500e-07 -1.215505e-04 -6.923783e-05 -7.368189e-05 -7.672458e-05
 8315.400000 -2.627614e-05 -6.794497e-06 -4.276246e-07 -3.798322e-07 -1.237529e-04 -6.267881e-05 -7.331353e-05 -8.009472e-05
 8315.600000 -2.604524e-05 -6.731699e-06 -4.238129e-07 -3.798115e-07 -1.304230e-04 -6.442681e-05 -7.825559e-05 -7.805161e-05
 8315.800000 -2.613172e-05 -6.756762e-06 -4.253556e-07 -3.798969e-07 -1.287533e-04 -6.886184e-05 -7.873230e-05 -7.094892e-05
 8316.000000 -2.616635e-05 -6.765795e-06 -4.258053e-07 -3.798447e-07 -1.367921e-04 -6.228265e-05 -8.834189e-05 -7.433510e-05
 8316.200000 -2.629471e-05 -6.801127e-06 -4.281714e-07 -3.798512e-07 -1.236868e-04 -6.645712e-05 -9.353157e-05 -7.049469e-05
 8316.400000 -2.632557e-05 -6.810447e-06 -4.289891e-07 -3.798285e-07 -1.243590e-04 -7.743680e-05 -9.422380e-05 -6.727957e-05
 8316.600000 -2.632935e-05 -6.813241e-06 -4.290740e-07 -3.798441e-07 -1.323126e-04 -7.058818e-05 -8.428744e-05 -6.011064e-05
 8316.800000 -2.640955e-05 -6.835623e-06 -4.305909e-07 -3.798771e-07 -1.260401e-04 -7.192027e-05 -9.022804e-05 -6.663562e-05
 8317.000000 -2.639147e-05 -6.830001e-06 -4.303633e-07 -3.798428e-07 -1.212502e-04 -7.825698e-05 -9.172563e-05 -5.499476e-05
 8317.200000 -2.637911e-05 -6.826575e-06 -4.300186e-07 -3.798310e-07 -1.226176e-04 -7.752284e-05 -9.268965e-05 -5.528889e-05
 8317.400000 -2.639434e-05 -6.831116e-06 -4.303736e-07 -3.799035e-07 -1.192440e-04 -7.346593e-05 -7.492321e-05 -5.374121e-05
 8317.600000 -2.642275e-05 -6.840134e-06 -4.310642e-07 -3.797964e-07 -1.275854e-04 -6.751992e-05 -8.830127e-05 -6.249304e-05
 8317.800000 -2.641619e-05 -6.837570e-06 -4.312306e-07 -3.798886e-07 -1.342853e-04 -7.446451e-05 -7.865689e-05 -6.547515e-05
 8318.000000 -2.636287e-05 -6.823633e-06 -4.302311e-07 -3.798303e-07 -1.294101e-04 -7.350157e-05 -7.440812e-05 -6.270123e-05
 8318.200000 -2.638652e-05 -6.830354e-06 -4.307955e-07 -3.798764e-07 -1.378336e-04 -7.631589e-05 -8.537662e-05 -6.893856e-05
 8318.400000 -2.636924e-05 -6.824982e-06 -4.303512e-07 -3.798148e-07 -1.381102e-04 -7.105519e-05 -1.072030e-04 -7.570443e-05
 8318.600000 -2.636113e-05 -6.822235e-06 -4.304122e-07 -3.798793e-07 -1.490580e-04 -7.806021e-05 -1.089022e-04 -6.822923e-05
 8318.800000 -2.639806e-05 -6.833666e-06 -4.311999e-07 -3.798358e-07 -1.520302e-04 -8.298164e-05 -1.076419e-04 -6.953644e-05
 8319.000000 -2.636323e-05 -6.823489e-06 -4.308453e-07 -3.798828e-07 -1.462797e-04 -9.220694e-05 -1.036243e-04 -6.140038e-05
 8319.200000 -2.641663e-05 -6.839410e-06 -4.316354e-07 -3.798181e-07 -1.398488e-04 -9.248434e-05 -1.005436e-04 -5.659050e-05
 8319.400000 -2.639250e-05 -6.831991e-06 -4.312843e-07 -3.798764e-07 -1.332439e-04 -8.788048e-05 -1.001038e-04 -5.392446e-05
 8319.600000 -2.635231e-05 -6.821173e-06 -4.306827e-07 -3.797996e-07 -1.290004e-04 -8.839312e-05 -1.017093e-04 -5.099677e-05
 8319.800000 -2.634965e-05 -6.820160e-06 -4.306978e-07 -3.798506e-07 -1.377058e-04 -9.034670e-05 -1.057691e-04 -5.880897e-05
 8320.000000 -2.626656e-05 -6.796976e-06 -4.294835e-07 -3.798478e-07 -1.331847e-04 -7.662506e-05 -1.056189e-04 -5.029723e-05
 8320.200000 -2.638225e-05 -6.829108e-06 -4.314447e-07 -3.798753e-07 -1.268798e-04 -7.500993e-05 -1.070380e-04 -5.494787e-05
 8320.400000 -2.638177e-05 -6.829488e-06 -4.314808e-07 -3.798479e-07 -1.235171e-04 -7.294411e-05 -8.795195e-05 -6.184868e-05
 8320.600000 -2.639799e-05 -6.833221e-06 -4.318642e-07 -3.798456e-07 -1.290826e-04 -7.111910e-05 -8.685330e-05 -6.587013e-05
 8320.800000 -2.634178e-05 -6.817777e-06 -4.308644e-07 -3.798491e-07 -1.346359e-04 -7.247352e-05 -9.130671e-05 -6.669835e-05
 8321.000000 -2.640459e-05 -6.834991e-06 -4.320905e-07 -3.798778e-07 -1.287019e-04 -7.492051e-05 -9.227366e-05 -6.715269e-05
 8321.200000 -2.633009e-05 -6.815453e-06 -4.307989e-07 -3.798002e-07 -1.287810e-04 -7.306065e-05 -9.995307e-05 -6.688247e-05
 8321.400000 -2.637828e-05 -6.827749e-06 -4.319682e-07 -3.798908e-07 -1.372215e-04 -7.933833e-05 -9.920911e-05 -6.877942e-05
 8321.600000 -2.636977e-05 -6.825984e-06 -4.316252e-07 -3.798705e-07 -1.421311e-04 -9.041031e-05 -1.028203e-04 -7.387204e-05
 8321.800000 -2.622665e-05 -6.784711e-06 -4.291760e-07 -3.798332e-07 -1.419446e-04 -9.108514e-05 -9.972484e-05 -7.439023e-05
 8322.000000 -2.618517e-05 -6.774239e-06 -4.283578e-07 -3.798606e-07 -1.335739e-04 -9.098221e-05 -9.406653e-05 -7.927123e-05
 8322.200000 -2.612908e-05 -6.759139e-06 -4.277007e-07 -3.798589e-07 -1.376453e-04 -8.776227e-05 -1.036481e-04 -6.855260e-05
 8322.400000 -2.618385e-05 -6.773806e-06 -4.288536e-07 -3.798411e-07 -1.441929e-04 -9.175199e-05 -9.070539e-05 -5.753240e-05
 8322.600000 -2.608050e-05 -6.745356e-06 -4.271559e-07 -3.798884e-07 -1.408522e-04 -7.691158e-05 -8.251811e-05 -6.332492e-05
 8322.800000 -2.616406e-05 -6.767899e-06 -4.285459e-07 -3.798287e-07 -1.392486e-04 -7.793213e-05 -8.088280e-05 -6.015193e-05
 8323.000000 -2.624728e-05 -6.789662e-06 -4.298659e-07 -3.798556e-07 -1.376980e-04 -7.830845e-05 -8.263660e-05 -5.822394e-05
 8323.200000 -2.627496e-05 -6.797662e-06 -4.303028e-07 -3.798577e-07 -1.459948e-04 -8.361851e-05 -8.529045e-05 -5.850096e-05
 8323.400000 -2.634262e-05 -6.815552e-06 -4.315841e-07 -3.798367e-07 -1.405641e-04 -7.719017e-05 -8.641229e-05 -5.632114e-05
 8323.600000 -2.633696e-05 -6.814781e-06 -4.318068e-07 -3.798888e-07 -1.378576e-04 -7.965124e-05 -8.841353e-05 -7.093600e-05
