# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.36436470655076
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.729998705999996
# ISS.sample_y_position: 13.8960174985
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:12:41
# Scan.end_time: 02/21/2022  13:13:05
# Scan.duration: 00:24
# Scan.transient_id: 196845
# Scan.uid: 043c3aab-4b9f-401e-a1d7-f6b0fd31277c
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.486908e-06 -6.373518e-07 -5.070128e-08 -2.326343e-09 -8.361653e-05 -5.009361e-05 -3.771233e-05 -4.947905e-05
 6444.000000 -1.286092e-05 -9.714431e-07 -7.751429e-08 -3.553248e-09 -1.300276e-04 -7.194655e-05 -6.380737e-05 -7.689380e-05
 6449.000000 -1.296728e-05 -9.872835e-07 -7.909781e-08 -3.613920e-09 -1.353506e-04 -7.146308e-05 -7.033957e-05 -7.582240e-05
 6454.000000 -1.299447e-05 -9.964359e-07 -8.016585e-08 -3.663023e-09 -1.327381e-04 -7.283765e-05 -7.930032e-05 -7.164871e-05
 6459.000000 -1.304813e-05 -1.008133e-06 -8.136823e-08 -3.709787e-09 -1.308586e-04 -7.790905e-05 -7.698661e-05 -6.684892e-05
 6464.000000 -1.316665e-05 -1.024962e-06 -8.305941e-08 -3.780298e-09 -1.307498e-04 -7.481601e-05 -6.907048e-05 -6.964042e-05
 6469.000000 -1.318665e-05 -1.033660e-06 -8.411257e-08 -3.819222e-09 -1.255628e-04 -7.397682e-05 -7.395296e-05 -7.139998e-05
 6474.000000 -1.324973e-05 -1.046109e-06 -8.548638e-08 -3.885663e-09 -1.269198e-04 -7.871119e-05 -7.801105e-05 -7.907662e-05
 6479.000000 -1.336892e-05 -1.063461e-06 -8.719956e-08 -3.954379e-09 -1.329978e-04 -7.957277e-05 -7.039876e-05 -7.595750e-05
 6484.000000 -1.342905e-05 -1.075876e-06 -8.857304e-08 -4.022549e-09 -1.335497e-04 -8.424027e-05 -8.214373e-05 -7.905221e-05
 6489.000000 -1.348691e-05 -1.087918e-06 -8.992133e-08 -4.090548e-09 -1.308817e-04 -7.625746e-05 -8.673240e-05 -8.831865e-05
 6494.000000 -1.355833e-05 -1.101322e-06 -9.139728e-08 -4.162672e-09 -1.219225e-04 -8.113660e-05 -7.827540e-05 -7.731469e-05
 6499.000000 -1.357464e-05 -1.110507e-06 -9.254019e-08 -4.218774e-09 -1.270688e-04 -7.818198e-05 -7.975964e-05 -7.992648e-05
 6504.000000 -1.365920e-05 -1.125588e-06 -9.411237e-08 -4.307604e-09 -1.372508e-04 -7.207185e-05 -8.670969e-05 -8.474622e-05
 6509.000000 -1.368449e-05 -1.135736e-06 -9.527193e-08 -4.384574e-09 -1.351275e-04 -7.517128e-05 -8.367630e-05 -8.339503e-05
 6513.000000 -1.364826e-05 -1.138903e-06 -9.586115e-08 -4.443481e-09 -1.338418e-04 -8.223322e-05 -7.985707e-05 -9.114832e-05
 6516.000000 -1.380835e-05 -1.157233e-06 -9.767051e-08 -4.532568e-09 -1.201012e-04 -8.208927e-05 -7.260789e-05 -1.018466e-04
