# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.3688930093418
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.7300177795
# ISS.sample_y_position: 13.896036572
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:24:33
# Scan.end_time: 02/21/2022  13:24:57
# Scan.duration: 00:23
# Scan.transient_id: 196866
# Scan.uid: f8d84770-0ac9-40bf-922e-64c1f5153b37
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.562844e-05 -2.868028e-06 -4.531596e-07 -1.226902e-07 -7.851280e-05 -6.128557e-05 -5.606564e-05 -4.528352e-05
 7614.000000 -2.318736e-05 -4.270969e-06 -6.758972e-07 -1.824619e-07 -1.192128e-04 -9.078865e-05 -7.855534e-05 -6.323147e-05
 7619.000000 -2.321623e-05 -4.295649e-06 -6.811017e-07 -1.832124e-07 -1.264870e-04 -8.201779e-05 -9.428830e-05 -6.450241e-05
 7624.000000 -2.330610e-05 -4.332983e-06 -6.882934e-07 -1.844864e-07 -1.267855e-04 -7.429277e-05 -8.541587e-05 -6.041957e-05
 7629.000000 -2.337558e-05 -4.366405e-06 -6.949398e-07 -1.856086e-07 -1.256099e-04 -7.391798e-05 -8.365165e-05 -6.057987e-05
 7634.000000 -2.344099e-05 -4.398935e-06 -7.015010e-07 -1.867328e-07 -1.302511e-04 -7.369912e-05 -1.011286e-04 -7.756129e-05
 7639.000000 -2.350595e-05 -4.432134e-06 -7.080379e-07 -1.878304e-07 -1.348646e-04 -8.133547e-05 -7.881900e-05 -7.496221e-05
 7644.000000 -2.350228e-05 -4.451285e-06 -7.123670e-07 -1.883697e-07 -1.310405e-04 -9.060583e-05 -7.738428e-05 -8.053599e-05
 7649.000000 -2.357779e-05 -4.486360e-06 -7.192242e-07 -1.895823e-07 -1.293278e-04 -9.025153e-05 -8.338845e-05 -7.971737e-05
 7654.000000 -2.361018e-05 -4.513207e-06 -7.247278e-07 -1.904232e-07 -1.342952e-04 -9.116368e-05 -8.707075e-05 -6.287349e-05
 7659.000000 -2.360545e-05 -4.531632e-06 -7.290236e-07 -1.909845e-07 -1.310903e-04 -8.458013e-05 -9.666279e-05 -6.154425e-05
 7664.000000 -2.361892e-05 -4.553848e-06 -7.339168e-07 -1.917323e-07 -1.245148e-04 -8.066510e-05 -8.375149e-05 -5.333568e-05
 7669.000000 -2.370597e-05 -4.591694e-06 -7.410844e-07 -1.931556e-07 -1.259685e-04 -8.613514e-05 -8.885049e-05 -6.194934e-05
 7674.000000 -2.370297e-05 -4.610552e-06 -7.451685e-07 -1.937833e-07 -1.305028e-04 -9.352280e-05 -8.915074e-05 -7.609705e-05
 7679.000000 -2.376919e-05 -4.643873e-06 -7.514655e-07 -1.950953e-07 -1.323407e-04 -8.615211e-05 -8.900183e-05 -7.991413e-05
 7683.000000 -2.381636e-05 -4.669181e-06 -7.562196e-07 -1.961796e-07 -1.401300e-04 -8.339478e-05 -8.255823e-05 -8.833001e-05
 7686.000000 -2.379354e-05 -4.675984e-06 -7.576967e-07 -1.964709e-07 -1.348625e-04 -9.054645e-05 -8.878922e-05 -8.869725e-05
 7688.000000 -2.380209e-05 -4.685785e-06 -7.593630e-07 -1.969295e-07 -1.305650e-04 -8.092944e-05 -8.079973e-05 -9.707217e-05
 7689.000000 -2.380554e-05 -4.690155e-06 -7.600972e-07 -1.971707e-07 -1.347002e-04 -8.465923e-05 -8.119188e-05 -9.635661e-05
 7689.200000 -2.381212e-05 -4.692694e-06 -7.605265e-07 -1.971717e-07 -1.347609e-04 -8.447274e-05 -8.553993e-05 -9.953742e-05
 7689.400000 -2.381145e-05 -4.693866e-06 -7.606294e-07 -1.971877e-07 -1.353901e-04 -8.888389e-05 -8.321912e-05 -9.843284e-05
 7689.600000 -2.371972e-05 -4.675889e-06 -7.576919e-07 -1.965014e-07 -1.305369e-04 -8.634675e-05 -7.140573e-05 -8.322204e-05
 7689.800000 -2.383444e-05 -4.699798e-06 -7.614976e-07 -1.976228e-07 -1.279069e-04 -8.957624e-05 -8.648776e-05 -8.113076e-05
 7690.000000 -2.378524e-05 -4.690539e-06 -7.599369e-07 -1.972162e-07 -1.378007e-04 -9.425457e-05 -9.095915e-05 -9.518705e-05
 7690.200000 -2.387393e-05 -4.710199e-06 -7.632160e-07 -1.979158e-07 -1.292053e-04 -8.755384e-05 -8.581213e-05 -9.113708e-05
 7690.400000 -2.387375e-05 -4.711611e-06 -7.632593e-07 -1.980602e-07 -1.307531e-04 -8.437593e-05 -7.661009e-05 -8.413586e-05
 7690.600000 -2.386701e-05 -4.709348e-06 -7.631159e-07 -1.979705e-07 -1.328284e-04 -8.398116e-05 -6.808867e-05 -8.667192e-05
 7690.800000 -2.389478e-05 -4.716950e-06 -7.642768e-07 -1.983432e-07 -1.256423e-04 -8.720280e-05 -6.950147e-05 -7.947532e-05
