# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.40697222535994
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.729998705999996
# ISS.sample_y_position: 13.895998425
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:35:37
# Scan.end_time: 02/21/2022  13:36:03
# Scan.duration: 00:25
# Scan.transient_id: 196886
# Scan.uid: 8eb00dd2-bb31-4c97-8179-44be9caed470
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.801859e-05 -4.411380e-06 -2.646037e-07 -2.633811e-07 -9.299179e-05 -4.590795e-05 -6.574243e-05 -6.971957e-05
 8238.000000 -2.594893e-05 -6.370751e-06 -3.825793e-07 -3.790423e-07 -1.321040e-04 -7.900699e-05 -1.017489e-04 -1.062870e-04
 8243.000000 -2.605660e-05 -6.421594e-06 -3.859632e-07 -3.798455e-07 -1.387015e-04 -8.434064e-05 -9.357170e-05 -1.063598e-04
 8248.000000 -2.618062e-05 -6.478205e-06 -3.894675e-07 -3.798458e-07 -1.398758e-04 -7.672128e-05 -9.792531e-05 -1.049172e-04
 8253.000000 -2.617354e-05 -6.500932e-06 -3.906197e-07 -3.798469e-07 -1.367020e-04 -7.512573e-05 -1.018230e-04 -1.018214e-04
 8258.000000 -2.613339e-05 -6.515453e-06 -3.913206e-07 -3.798472e-07 -1.382060e-04 -5.746981e-05 -9.668613e-05 -1.012195e-04
 8263.000000 -2.628980e-05 -6.582317e-06 -3.954356e-07 -3.798455e-07 -1.434794e-04 -5.728873e-05 -9.457827e-05 -1.033385e-04
 8268.000000 -2.624708e-05 -6.595269e-06 -3.969945e-07 -3.798453e-07 -1.420883e-04 -6.574934e-05 -8.724684e-05 -9.471999e-05
 8273.000000 -2.626823e-05 -6.625124e-06 -4.003098e-07 -3.798456e-07 -1.471310e-04 -6.729334e-05 -8.161695e-05 -8.543947e-05
 8278.000000 -2.622885e-05 -6.638644e-06 -4.031030e-07 -3.798466e-07 -1.438676e-04 -6.759388e-05 -9.274799e-05 -8.547596e-05
 8283.000000 -2.633817e-05 -6.691979e-06 -4.083752e-07 -3.798465e-07 -1.444015e-04 -7.088109e-05 -9.939112e-05 -8.989357e-05
 8288.000000 -2.636517e-05 -6.720840e-06 -4.123596e-07 -3.798461e-07 -1.372274e-04 -6.363660e-05 -9.675652e-05 -8.700574e-05
 8293.000000 -2.638049e-05 -6.746074e-06 -4.160437e-07 -3.798466e-07 -1.391532e-04 -5.946815e-05 -1.003071e-04 -9.404408e-05
 8298.000000 -2.633689e-05 -6.754898e-06 -4.186776e-07 -3.798490e-07 -1.352122e-04 -6.084904e-05 -9.614996e-05 -9.510701e-05
 8303.000000 -2.643552e-05 -6.801529e-06 -4.235431e-07 -3.798496e-07 -1.370881e-04 -6.553414e-05 -8.890848e-05 -8.504904e-05
