# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.0098455519218
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.729998705999996
# ISS.sample_y_position: 13.895998425
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:13:14
# Scan.end_time: 02/21/2022  13:13:40
# Scan.duration: 00:25
# Scan.transient_id: 196846
# Scan.uid: 364a7e08-d3ea-4d88-9332-bce4f36edec0
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.463291e-06 -6.352777e-07 -5.060199e-08 -2.317115e-09 -9.222857e-05 -4.779325e-05 -4.257995e-05 -4.812969e-05
 6444.000000 -1.285690e-05 -9.707377e-07 -7.755616e-08 -3.547286e-09 -1.249618e-04 -7.256567e-05 -6.885964e-05 -7.450207e-05
 6449.000000 -1.294769e-05 -9.851212e-07 -7.902220e-08 -3.613505e-09 -1.287153e-04 -6.633395e-05 -6.564449e-05 -8.071409e-05
 6454.000000 -1.293902e-05 -9.914837e-07 -7.984062e-08 -3.642916e-09 -1.322149e-04 -6.338241e-05 -7.688362e-05 -7.860757e-05
 6459.000000 -1.307242e-05 -1.009120e-06 -8.156586e-08 -3.711897e-09 -1.261951e-04 -7.497014e-05 -7.116833e-05 -8.497077e-05
 6464.000000 -1.315459e-05 -1.023219e-06 -8.301190e-08 -3.768942e-09 -1.270685e-04 -8.005339e-05 -6.320951e-05 -7.702960e-05
 6469.000000 -1.315660e-05 -1.030859e-06 -8.396833e-08 -3.808880e-09 -1.329656e-04 -7.635368e-05 -7.172078e-05 -7.769204e-05
 6474.000000 -1.319960e-05 -1.041723e-06 -8.519906e-08 -3.862392e-09 -1.440165e-04 -7.561369e-05 -7.683509e-05 -8.269345e-05
 6479.000000 -1.327477e-05 -1.055340e-06 -8.665974e-08 -3.927754e-09 -1.401139e-04 -6.498632e-05 -7.590877e-05 -8.847772e-05
 6484.000000 -1.334308e-05 -1.068469e-06 -8.810389e-08 -3.986071e-09 -1.429627e-04 -6.044546e-05 -8.214762e-05 -7.762243e-05
 6489.000000 -1.342528e-05 -1.082954e-06 -8.959128e-08 -4.062766e-09 -1.479304e-04 -6.223605e-05 -7.938815e-05 -7.961069e-05
 6494.000000 -1.349208e-05 -1.095879e-06 -9.105067e-08 -4.130226e-09 -1.389112e-04 -6.534819e-05 -6.480560e-05 -8.458614e-05
 6499.000000 -1.354285e-05 -1.107873e-06 -9.240461e-08 -4.204206e-09 -1.283119e-04 -6.029910e-05 -6.538004e-05 -8.271881e-05
 6504.000000 -1.356070e-05 -1.117210e-06 -9.350040e-08 -4.267943e-09 -1.209264e-04 -6.588644e-05 -5.936939e-05 -7.644784e-05
 6509.000000 -1.354922e-05 -1.123527e-06 -9.441455e-08 -4.334078e-09 -1.291026e-04 -6.573769e-05 -6.097778e-05 -8.106728e-05
 6513.000000 -1.355171e-05 -1.129939e-06 -9.524996e-08 -4.406206e-09 -1.332233e-04 -7.013439e-05 -5.158963e-05 -8.806386e-05
 6516.000000 -1.370806e-05 -1.148022e-06 -9.699527e-08 -4.495159e-09 -1.315580e-04 -7.243694e-05 -5.663303e-05 -8.773183e-05
