# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.5002424925696
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co (pos   1) 0006
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.729998705999996
# ISS.sample_y_position: 13.895998425
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:36:11
# Scan.end_time: 02/21/2022  13:36:35
# Scan.duration: 00:23
# Scan.transient_id: 196887
# Scan.uid: be0ebf6e-7fba-43b6-b38a-f6510bd6c03f
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.828060e-05 -4.477384e-06 -2.684659e-07 -2.653788e-07 -9.057861e-05 -5.438695e-05 -6.356961e-05 -7.036724e-05
 8238.000000 -2.607480e-05 -6.402590e-06 -3.844790e-07 -3.790852e-07 -1.319283e-04 -8.487976e-05 -9.017434e-05 -9.752899e-05
 8243.000000 -2.606822e-05 -6.423179e-06 -3.861085e-07 -3.798514e-07 -1.403893e-04 -8.933145e-05 -8.380271e-05 -9.208610e-05
 8248.000000 -2.608121e-05 -6.450523e-06 -3.878240e-07 -3.798517e-07 -1.425724e-04 -8.431161e-05 -8.135914e-05 -9.491742e-05
 8253.000000 -2.623807e-05 -6.515995e-06 -3.917120e-07 -3.798516e-07 -1.376884e-04 -7.337593e-05 -8.577932e-05 -8.635616e-05
 8258.000000 -2.611429e-05 -6.507388e-06 -3.911034e-07 -3.798517e-07 -1.390419e-04 -6.991532e-05 -9.439883e-05 -9.176957e-05
 8263.000000 -2.610234e-05 -6.527988e-06 -3.927129e-07 -3.798513e-07 -1.380674e-04 -7.285200e-05 -9.298798e-05 -9.427073e-05
 8268.000000 -2.616751e-05 -6.569674e-06 -3.960826e-07 -3.798524e-07 -1.386659e-04 -8.092981e-05 -6.878154e-05 -9.277764e-05
 8273.000000 -2.624714e-05 -6.615477e-06 -4.002987e-07 -3.798528e-07 -1.366408e-04 -8.479870e-05 -7.384514e-05 -9.558523e-05
 8278.000000 -2.623940e-05 -6.638004e-06 -4.035252e-07 -3.798517e-07 -1.382848e-04 -8.560179e-05 -8.740484e-05 -8.624390e-05
 8283.000000 -2.622760e-05 -6.657638e-06 -4.069035e-07 -3.798516e-07 -1.313539e-04 -7.900473e-05 -9.428427e-05 -5.388232e-05
