# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.9041766311744
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.730036853
# ISS.sample_y_position: 13.8960937925
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:04:53
# Scan.end_time: 02/21/2022  13:05:16
# Scan.duration: 00:22
# Scan.transient_id: 196837
# Scan.uid: 9ced967d-a1d8-46e6-a221-d59de3ea3131
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.571694e-05 -2.954498e-06 -4.603040e-07 -1.230189e-07 -7.892714e-05 -3.688382e-05 -3.916666e-05 -4.242834e-05
 7614.000000 -2.328659e-05 -4.393418e-06 -6.855640e-07 -1.826684e-07 -1.248840e-04 -5.233211e-05 -3.585409e-05 -6.105819e-05
 7619.000000 -2.336942e-05 -4.429604e-06 -6.924849e-07 -1.838696e-07 -1.254399e-04 -4.895537e-05 -4.316113e-05 -6.295519e-05
 7624.000000 -2.342726e-05 -4.461210e-06 -6.987562e-07 -1.849397e-07 -1.192761e-04 -4.822323e-05 -5.604978e-05 -6.551080e-05
 7629.000000 -2.351897e-05 -4.499516e-06 -7.060552e-07 -1.862020e-07 -1.223210e-04 -5.521902e-05 -4.996033e-05 -6.812897e-05
 7634.000000 -2.348892e-05 -4.513754e-06 -7.096746e-07 -1.865661e-07 -1.271637e-04 -4.584040e-05 -4.501944e-05 -6.967230e-05
 7639.000000 -2.354972e-05 -4.546702e-06 -7.160945e-07 -1.876013e-07 -1.343721e-04 -4.989829e-05 -4.924164e-05 -7.229518e-05
 7644.000000 -2.362646e-05 -4.582191e-06 -7.230221e-07 -1.888487e-07 -1.304739e-04 -5.678082e-05 -4.680357e-05 -6.601217e-05
 7649.000000 -2.362610e-05 -4.602263e-06 -7.275455e-07 -1.894415e-07 -1.282971e-04 -4.805857e-05 -4.749299e-05 -6.628480e-05
 7654.000000 -2.353860e-05 -4.605379e-06 -7.294342e-07 -1.892208e-07 -1.262932e-04 -4.895318e-05 -4.772494e-05 -7.073482e-05
 7659.000000 -2.360208e-05 -4.639059e-06 -7.359370e-07 -1.903568e-07 -1.317207e-04 -5.202046e-05 -6.293798e-05 -7.738950e-05
 7664.000000 -2.367416e-05 -4.674140e-06 -7.426681e-07 -1.916075e-07 -1.233749e-04 -5.418439e-05 -6.744014e-05 -7.498635e-05
 7669.000000 -2.365026e-05 -4.689917e-06 -7.464881e-07 -1.920492e-07 -1.240576e-04 -5.395591e-05 -7.023590e-05 -7.183087e-05
