# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.5811716331837
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.730036853
# ISS.sample_y_position: 13.8961319395
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:05:24
# Scan.end_time: 02/21/2022  13:05:48
# Scan.duration: 00:23
# Scan.transient_id: 196838
# Scan.uid: 07aff9f2-01ba-43b8-8b58-598626f256d7
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.600144e-05 -3.003558e-06 -4.685070e-07 -1.252305e-07 -6.967667e-05 -3.806190e-05 -4.213240e-05 -4.926646e-05
 7614.000000 -2.328922e-05 -4.387615e-06 -6.854688e-07 -1.827253e-07 -1.039424e-04 -5.730936e-05 -6.341113e-05 -7.447529e-05
 7619.000000 -2.334896e-05 -4.419343e-06 -6.917702e-07 -1.837748e-07 -1.227583e-04 -5.877843e-05 -5.756615e-05 -6.762874e-05
 7624.000000 -2.342930e-05 -4.455019e-06 -6.986996e-07 -1.850381e-07 -1.133768e-04 -5.392924e-05 -6.395365e-05 -7.797779e-05
 7629.000000 -2.353191e-05 -4.494797e-06 -7.062918e-07 -1.864322e-07 -1.140404e-04 -5.510837e-05 -6.347677e-05 -8.119153e-05
 7634.000000 -2.354402e-05 -4.517707e-06 -7.112389e-07 -1.871011e-07 -1.177885e-04 -5.493692e-05 -7.051715e-05 -6.856664e-05
 7639.000000 -2.353758e-05 -4.536903e-06 -7.156464e-07 -1.875756e-07 -1.182008e-04 -5.093469e-05 -7.384669e-05 -7.482523e-05
 7644.000000 -2.359567e-05 -4.568986e-06 -7.219672e-07 -1.886063e-07 -1.110811e-04 -4.088615e-05 -7.095445e-05 -7.760351e-05
 7649.000000 -2.361482e-05 -4.592779e-06 -7.270734e-07 -1.893327e-07 -1.122653e-04 -4.069857e-05 -7.042779e-05 -8.176481e-05
 7654.000000 -2.360385e-05 -4.610673e-06 -7.313596e-07 -1.898774e-07 -1.144566e-04 -4.241918e-05 -7.137372e-05 -8.046074e-05
 7659.000000 -2.362091e-05 -4.635377e-06 -7.365192e-07 -1.906140e-07 -1.189533e-04 -4.208019e-05 -7.647469e-05 -7.998473e-05
 7664.000000 -2.369242e-05 -4.670085e-06 -7.432167e-07 -1.918549e-07 -1.177936e-04 -3.588797e-05 -7.991669e-05 -8.446107e-05
 7669.000000 -2.377317e-05 -4.706136e-06 -7.501067e-07 -1.932377e-07 -1.190176e-04 -4.667846e-05 -6.982126e-05 -7.521378e-05
 7674.000000 -2.378452e-05 -4.729037e-06 -7.547303e-07 -1.939918e-07 -1.094014e-04 -5.166995e-05 -5.672374e-05 -7.105864e-05
 7679.000000 -2.382030e-05 -4.756342e-06 -7.599469e-07 -1.950174e-07 -1.196846e-04 -4.754749e-05 -5.574201e-05 -6.948588e-05
 7683.000000 -2.382166e-05 -4.772905e-06 -7.631766e-07 -1.956950e-07 -1.168894e-04 -4.896170e-05 -4.946385e-05 -6.856717e-05
 7686.000000 -2.384040e-05 -4.788925e-06 -7.659709e-07 -1.963469e-07 -1.129579e-04 -5.177538e-05 -6.279336e-05 -6.976954e-05
 7688.000000 -2.376773e-05 -4.782086e-06 -7.650356e-07 -1.960288e-07 -1.131738e-04 -4.227522e-05 -7.165668e-05 -7.126022e-05
 7689.000000 -2.364227e-05 -4.760849e-06 -7.617881e-07 -1.951338e-07 -1.202139e-04 -4.538118e-05 -7.293907e-05 -7.603272e-05
 7689.200000 -2.363382e-05 -4.759998e-06 -7.617194e-07 -1.951359e-07 -1.207720e-04 -4.857610e-05 -7.480966e-05 -7.955643e-05
 7689.400000 -2.357327e-05 -4.748534e-06 -7.597204e-07 -1.945932e-07 -1.223203e-04 -5.370000e-05 -7.118035e-05 -7.926284e-05
 7689.600000 -2.362081e-05 -4.758612e-06 -7.614112e-07 -1.950039e-07 -1.265975e-04 -5.526598e-05 -6.245412e-05 -7.883603e-05
 7689.800000 -2.365374e-05 -4.766362e-06 -7.626289e-07 -1.953307e-07 -1.334705e-04 -6.201009e-05 -5.547467e-05 -7.750514e-05
 7690.000000 -2.369880e-05 -4.776680e-06 -7.642356e-07 -1.957129e-07 -1.426425e-04 -6.043559e-05 -7.768273e-05 -7.793212e-05
 7690.200000 -2.369108e-05 -4.774700e-06 -7.639963e-07 -1.958179e-07 -1.308980e-04 -6.230474e-05 -8.292536e-05 -8.666630e-05
 7690.400000 -2.374033e-05 -4.785399e-06 -7.657327e-07 -1.963012e-07 -1.261873e-04 -6.548516e-05 -8.810177e-05 -8.345554e-05
 7690.600000 -2.377239e-05 -4.793196e-06 -7.670714e-07 -1.965646e-07 -1.323814e-04 -6.331582e-05 -8.040941e-05 -7.576071e-05
 7690.800000 -2.383878e-05 -4.808193e-06 -7.691367e-07 -1.971673e-07 -1.281629e-04 -6.741831e-05 -8.920697e-05 -8.978867e-05
 7691.000000 -2.384181e-05 -4.808780e-06 -7.692308e-07 -1.972807e-07 -1.229763e-04 -6.660123e-05 -7.795946e-05 -7.705160e-05
 7691.200000 -2.389671e-05 -4.820234e-06 -7.710711e-07 -1.977965e-07 -1.374824e-04 -5.495342e-05 -7.307708e-05 -7.481205e-05
 7691.400000 -2.383748e-05 -4.808795e-06 -7.692582e-07 -1.973029e-07 -1.303354e-04 -5.792264e-05 -6.211475e-05 -7.420771e-05
 7691.600000 -2.386782e-05 -4.815211e-06 -7.702091e-07 -1.977227e-07 -1.262913e-04 -5.034650e-05 -6.311910e-05 -7.234691e-05
 7691.800000 -2.382833e-05 -4.808367e-06 -7.692593e-07 -1.973358e-07 -1.308024e-04 -5.950676e-05 -8.530868e-05 -7.005241e-05
 7692.000000 -2.380008e-05 -4.803661e-06 -7.684980e-07 -1.971902e-07 -1.327705e-04 -5.926677e-05 -7.159327e-05 -6.914013e-05
 7692.200000 -2.377040e-05 -4.799233e-06 -7.677296e-07 -1.970310e-07 -1.357749e-04 -6.724311e-05 -7.038159e-05 -7.216760e-05
 7692.400000 -2.368057e-05 -4.781541e-06 -7.648889e-07 -1.962451e-07 -1.295484e-04 -6.009452e-05 -7.897557e-05 -7.771760e-05
 7692.600000 -2.367186e-05 -4.780445e-06 -7.647297e-07 -1.961046e-07 -1.282059e-04 -6.478520e-05 -7.853310e-05 -8.167789e-05
 7692.800000 -2.357198e-05 -4.760512e-06 -7.615955e-07 -1.952679e-07 -1.235151e-04 -6.252986e-05 -5.886988e-05 -7.290397e-05
 7693.000000 -2.361203e-05 -4.770277e-06 -7.631673e-07 -1.955611e-07 -1.333788e-04 -5.669953e-05 -7.393890e-05 -7.775718e-05
 7693.200000 -2.340591e-05 -4.728557e-06 -7.564516e-07 -1.939230e-07 -1.368749e-04 -5.119101e-05 -7.123811e-05 -6.892496e-05
 7693.400000 -2.350927e-05 -4.750858e-06 -7.600115e-07 -1.948317e-07 -1.431042e-04 -5.823976e-05 -8.168318e-05 -6.961075e-05
 7693.600000 -2.348611e-05 -4.748166e-06 -7.595186e-07 -1.946283e-07 -1.377260e-04 -5.729333e-05 -6.879572e-05 -6.322442e-05
 7693.800000 -2.354578e-05 -4.760313e-06 -7.613318e-07 -1.951818e-07 -1.338872e-04 -5.129656e-05 -7.404840e-05 -6.925262e-05
 7694.000000 -2.351527e-05 -4.755224e-06 -7.604958e-07 -1.949387e-07 -1.313851e-04 -6.676620e-05 -7.093171e-05 -7.066717e-05
 7694.200000 -2.361042e-05 -4.774930e-06 -7.635107e-07 -1.959254e-07 -1.323088e-04 -5.840090e-05 -8.249042e-05 -8.417354e-05
 7694.400000 -2.372866e-05 -4.800045e-06 -7.673176e-07 -1.970291e-07 -1.307339e-04 -5.233048e-05 -6.875468e-05 -8.158037e-05
 7694.600000 -2.373172e-05 -4.801493e-06 -7.674482e-07 -1.970569e-07 -1.301012e-04 -5.829723e-05 -6.824485e-05 -7.825568e-05
 7694.800000 -2.384857e-05 -4.824097e-06 -7.709996e-07 -1.982351e-07 -1.313563e-04 -5.969422e-05 -8.643020e-05 -8.555589e-05
 7695.000000 -2.381879e-05 -4.818387e-06 -7.703002e-07 -1.979092e-07 -1.293291e-04 -4.879732e-05 -7.067160e-05 -8.431027e-05
 7695.200000 -2.380300e-05 -4.815684e-06 -7.699297e-07 -1.977990e-07 -1.257761e-04 -4.558299e-05 -7.379040e-05 -9.114326e-05
 7695.400000 -2.380497e-05 -4.817730e-06 -7.702037e-07 -1.979959e-07 -1.220718e-04 -4.019832e-05 -7.737961e-05 -8.205245e-05
 7695.600000 -2.385761e-05 -4.829570e-06 -7.719430e-07 -1.984375e-07 -1.243548e-04 -4.249143e-05 -7.869969e-05 -9.124324e-05
 7695.800000 -2.384701e-05 -4.828384e-06 -7.715183e-07 -1.984326e-07 -1.223681e-04 -5.266880e-05 -6.706526e-05 -8.741845e-05
 7696.000000 -2.387805e-05 -4.835272e-06 -7.726503e-07 -1.987811e-07 -1.157856e-04 -6.227729e-05 -6.107820e-05 -8.199590e-05
 7696.200000 -2.385577e-05 -4.831793e-06 -7.719344e-07 -1.985211e-07 -1.133240e-04 -5.238587e-05 -5.956332e-05 -7.772017e-05
 7696.400000 -2.386832e-05 -4.834256e-06 -7.722542e-07 -1.986819e-07 -1.149994e-04 -5.304046e-05 -5.294859e-05 -7.441665e-05
 7696.600000 -2.382501e-05 -4.825677e-06 -7.709050e-07 -1.984026e-07 -1.211138e-04 -5.836552e-05 -6.638101e-05 -7.118147e-05
 7696.800000 -2.379860e-05 -4.821712e-06 -7.700692e-07 -1.983331e-07 -1.203118e-04 -5.980337e-05 -8.019664e-05 -8.529476e-05
 7697.000000 -2.369425e-05 -4.801188e-06 -7.668047e-07 -1.974521e-07 -1.135317e-04 -6.272905e-05 -6.934603e-05 -8.802696e-05
 7697.200000 -2.364611e-05 -4.792541e-06 -7.651572e-07 -1.971673e-07 -1.096521e-04 -5.171533e-05 -6.650903e-05 -8.576585e-05
 7697.400000 -2.359347e-05 -4.781757e-06 -7.635416e-07 -1.965403e-07 -1.155705e-04 -5.220431e-05 -8.487833e-05 -8.751588e-05
 7697.600000 -2.350089e-05 -4.764526e-06 -7.607854e-07 -1.958963e-07 -1.127083e-04 -5.310228e-05 -8.683178e-05 -9.383053e-05
 7697.800000 -2.357502e-05 -4.779557e-06 -7.630513e-07 -1.965278e-07 -1.180738e-04 -5.477729e-05 -6.518053e-05 -8.312753e-05
 7698.000000 -2.359327e-05 -4.784890e-06 -7.638012e-07 -1.968156e-07 -1.238621e-04 -5.021544e-05 -7.055511e-05 -9.554744e-05
 7698.200000 -2.375287e-05 -4.817403e-06 -7.687003e-07 -1.983900e-07 -1.181230e-04 -5.894041e-05 -7.071563e-05 -1.054720e-04
 7698.400000 -2.373716e-05 -4.814612e-06 -7.681861e-07 -1.981275e-07 -1.084927e-04 -6.520332e-05 -5.590771e-05 -9.228463e-05
 7698.600000 -2.374879e-05 -4.817489e-06 -7.684793e-07 -1.984268e-07 -1.147366e-04 -5.817259e-05 -6.629430e-05 -9.385941e-05
 7698.800000 -2.369208e-05 -4.807334e-06 -7.667063e-07 -1.980178e-07 -1.189630e-04 -4.782912e-05 -6.932594e-05 -9.666483e-05
 7699.000000 -2.368106e-05 -4.806115e-06 -7.661213e-07 -1.977675e-07 -1.153340e-04 -4.687267e-05 -6.579074e-05 -9.637908e-05
 7699.200000 -2.360503e-05 -4.791170e-06 -7.635624e-07 -1.972803e-07 -1.156183e-04 -4.526763e-05 -6.387198e-05 -8.153590e-05
 7699.400000 -2.351667e-05 -4.773259e-06 -7.605971e-07 -1.965652e-07 -1.204801e-04 -4.846700e-05 -5.537397e-05 -7.527895e-05
 7699.600000 -2.361446e-05 -4.792807e-06 -7.638378e-07 -1.974532e-07 -1.081444e-04 -4.465462e-05 -6.317763e-05 -7.434635e-05
 7699.800000 -2.351067e-05 -4.773430e-06 -7.604828e-07 -1.966963e-07 -1.124877e-04 -5.088738e-05 -7.662274e-05 -7.136558e-05
 7700.000000 -2.355484e-05 -4.783202e-06 -7.617753e-07 -1.971120e-07 -1.207336e-04 -6.337701e-05 -7.124422e-05 -8.022960e-05
 7700.200000 -2.351161e-05 -4.774147e-06 -7.605017e-07 -1.967549e-07 -1.258497e-04 -5.447329e-05 -6.478349e-05 -7.379642e-05
 7700.400000 -2.356270e-05 -4.784982e-06 -7.618999e-07 -1.971950e-07 -1.179054e-04 -4.537722e-05 -7.236356e-05 -8.318796e-05
 7700.600000 -2.351946e-05 -4.777754e-06 -7.603849e-07 -1.970238e-07 -1.115232e-04 -5.311867e-05 -6.283263e-05 -7.704964e-05
 7700.800000 -2.360967e-05 -4.796841e-06 -7.629393e-07 -1.978840e-07 -1.206903e-04 -4.635469e-05 -6.608619e-05 -7.212522e-05
 7701.000000 -2.360209e-05 -4.795711e-06 -7.627250e-07 -1.979236e-07 -1.170975e-04 -5.154906e-05 -4.868010e-05 -6.807847e-05
 7701.200000 -2.363238e-05 -4.802077e-06 -7.636726e-07 -1.981562e-07 -1.181986e-04 -5.405448e-05 -5.627811e-05 -7.539139e-05
 7701.400000 -2.363224e-05 -4.803311e-06 -7.636046e-07 -1.982680e-07 -1.162905e-04 -6.076955e-05 -6.323484e-05 -8.184412e-05
 7701.600000 -2.372537e-05 -4.824046e-06 -7.663346e-07 -1.992199e-07 -1.125712e-04 -6.355899e-05 -6.026893e-05 -6.763205e-05
 7701.800000 -2.370832e-05 -4.821600e-06 -7.656883e-07 -1.991119e-07 -1.104352e-04 -5.958248e-05 -7.434703e-05 -7.873109e-05
 7702.000000 -2.376839e-05 -4.834198e-06 -7.675354e-07 -1.997067e-07 -1.100687e-04 -5.088102e-05 -6.772796e-05 -7.032953e-05
 7702.200000 -2.385934e-05 -4.854427e-06 -7.701693e-07 -2.005581e-07 -1.002612e-04 -3.959835e-05 -5.601286e-05 -7.132708e-05
 7702.400000 -2.387250e-05 -4.858132e-06 -7.702746e-07 -2.007681e-07 -1.084052e-04 -4.477288e-05 -6.934495e-05 -7.853868e-05
 7702.600000 -2.384684e-05 -4.854439e-06 -7.692572e-07 -2.005654e-07 -1.112931e-04 -4.501754e-05 -5.625541e-05 -7.724178e-05
 7702.800000 -2.387940e-05 -4.861754e-06 -7.699412e-07 -2.010457e-07 -1.074424e-04 -4.404070e-05 -7.614402e-05 -8.916513e-05
 7703.000000 -2.393644e-05 -4.872443e-06 -7.713392e-07 -2.015584e-07 -1.100933e-04 -5.241977e-05 -6.382419e-05 -8.770022e-05
 7703.200000 -2.392839e-05 -4.871739e-06 -7.708547e-07 -2.017573e-07 -1.132175e-04 -5.000088e-05 -6.651742e-05 -8.256122e-05
 7703.400000 -2.396696e-05 -4.879793e-06 -7.715283e-07 -2.021124e-07 -1.113112e-04 -4.729143e-05 -6.739840e-05 -8.122222e-05
 7703.600000 -2.393300e-05 -4.874558e-06 -7.702167e-07 -2.018925e-07 -1.257976e-04 -4.818144e-05 -9.117363e-05 -8.367463e-05
 7703.800000 -2.389828e-05 -4.868228e-06 -7.686451e-07 -2.016563e-07 -1.255657e-04 -4.380614e-05 -7.883404e-05 -7.146326e-05
 7704.000000 -2.386350e-05 -4.861274e-06 -7.667914e-07 -2.015516e-07 -1.062966e-04 -5.433562e-05 -7.800100e-05 -6.640117e-05
 7704.200000 -2.384131e-05 -4.857530e-06 -7.654898e-07 -2.013823e-07 -1.138876e-04 -5.198357e-05 -8.950916e-05 -6.875347e-05
 7704.400000 -2.380054e-05 -4.848932e-06 -7.636777e-07 -2.011530e-07 -1.154852e-04 -5.285632e-05 -5.989539e-05 -6.409474e-05
 7704.600000 -2.379550e-05 -4.848524e-06 -7.626770e-07 -2.011485e-07 -1.142529e-04 -5.060868e-05 -5.642565e-05 -6.558054e-05
 7704.800000 -2.380835e-05 -4.852202e-06 -7.622862e-07 -2.014183e-07 -1.159748e-04 -5.129970e-05 -7.027529e-05 -7.351706e-05
 7705.000000 -2.377682e-05 -4.846209e-06 -7.602996e-07 -2.012191e-07 -1.077522e-04 -5.407282e-05 -7.132291e-05 -7.329900e-05
 7705.200000 -2.375302e-05 -4.842491e-06 -7.586579e-07 -2.010049e-07 -1.159698e-04 -5.617076e-05 -7.368893e-05 -7.557411e-05
 7705.400000 -2.378279e-05 -4.848040e-06 -7.583257e-07 -2.015315e-07 -1.102794e-04 -6.240202e-05 -6.739926e-05 -6.960130e-05
 7705.600000 -2.372987e-05 -4.839329e-06 -7.555299e-07 -2.011744e-07 -1.092268e-04 -5.865114e-05 -6.579109e-05 -6.998930e-05
