# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.45886340255174
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.730036853
# ISS.sample_y_position: 13.8960937925
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:05:56
# Scan.end_time: 02/21/2022  13:06:19
# Scan.duration: 00:23
# Scan.transient_id: 196839
# Scan.uid: ce268d80-0180-4ab9-b60f-434ed4af3769
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.576882e-05 -2.954493e-06 -4.614917e-07 -1.235319e-07 -9.027638e-05 -5.862955e-05 -5.057903e-05 -6.501124e-05
 7614.000000 -2.332173e-05 -4.385255e-06 -6.860980e-07 -1.831309e-07 -1.353383e-04 -9.401682e-05 -6.859912e-05 -7.966647e-05
 7619.000000 -2.340900e-05 -4.422048e-06 -6.931525e-07 -1.843631e-07 -1.408143e-04 -9.206486e-05 -6.117231e-05 -7.286587e-05
 7624.000000 -2.346146e-05 -4.452060e-06 -6.992476e-07 -1.853186e-07 -1.415797e-04 -8.444962e-05 -6.030420e-05 -9.154389e-05
 7629.000000 -2.348029e-05 -4.476042e-06 -7.043714e-07 -1.860272e-07 -1.349288e-04 -8.161646e-05 -6.323908e-05 -1.129111e-04
 7634.000000 -2.336938e-05 -4.476151e-06 -7.056875e-07 -1.856085e-07 -1.348777e-04 -8.313951e-05 -7.446317e-05 -1.120427e-04
 7639.000000 -2.347182e-05 -4.516918e-06 -7.132981e-07 -1.870536e-07 -1.332437e-04 -8.767485e-05 -8.030841e-05 -1.049306e-04
 7644.000000 -2.360933e-05 -4.563381e-06 -7.219765e-07 -1.888100e-07 -1.373101e-04 -8.115533e-05 -8.382225e-05 -1.068919e-04
 7649.000000 -2.354121e-05 -4.570638e-06 -7.245218e-07 -1.887827e-07 -1.297466e-04 -7.680171e-05 -7.993298e-05 -9.586416e-05
 7654.000000 -2.346451e-05 -4.575940e-06 -7.268032e-07 -1.886775e-07 -1.326883e-04 -8.729012e-05 -8.181075e-05 -9.887392e-05
 7659.000000 -2.349097e-05 -4.601794e-06 -7.321647e-07 -1.894485e-07 -1.294796e-04 -9.059303e-05 -8.881650e-05 -9.479519e-05
 7664.000000 -2.367769e-05 -4.659576e-06 -7.424478e-07 -1.917622e-07 -1.253326e-04 -9.914244e-05 -8.736140e-05 -1.005318e-04
 7669.000000 -2.376388e-05 -4.698171e-06 -7.496489e-07 -1.931722e-07 -1.247690e-04 -9.350205e-05 -8.401008e-05 -9.937593e-05
 7674.000000 -2.384032e-05 -4.734615e-06 -7.564459e-07 -1.945094e-07 -1.232735e-04 -8.574787e-05 -7.876409e-05 -9.380893e-05
 7679.000000 -2.385971e-05 -4.758667e-06 -7.613300e-07 -1.954119e-07 -1.188730e-04 -8.397800e-05 -7.638465e-05 -1.020859e-04
 7683.000000 -2.389670e-05 -4.782635e-06 -7.657008e-07 -1.963964e-07 -1.165424e-04 -8.076063e-05 -6.666046e-05 -1.002210e-04
 7686.000000 -2.387877e-05 -4.791372e-06 -7.673720e-07 -1.967148e-07 -1.122075e-04 -6.826571e-05 -6.154429e-05 -8.489876e-05
 7688.000000 -2.388785e-05 -4.801067e-06 -7.690328e-07 -1.970969e-07 -1.063055e-04 -7.021977e-05 -5.745714e-05 -8.183114e-05
 7689.000000 -2.396771e-05 -4.821303e-06 -7.722089e-07 -1.980308e-07 -1.014418e-04 -6.791601e-05 -4.504883e-05 -9.886004e-05
 7689.200000 -2.392697e-05 -4.812709e-06 -7.710005e-07 -1.977465e-07 -1.079295e-04 -6.305820e-05 -4.186555e-05 -9.937787e-05
 7689.400000 -2.392819e-05 -4.814190e-06 -7.712881e-07 -1.977684e-07 -1.149284e-04 -5.525196e-05 -4.131027e-05 -1.019275e-04
 7689.600000 -2.389081e-05 -4.807546e-06 -7.701767e-07 -1.974507e-07 -1.204460e-04 -5.478933e-05 -4.759414e-05 -1.036681e-04
 7689.800000 -2.387841e-05 -4.805994e-06 -7.698776e-07 -1.973813e-07 -1.216771e-04 -4.803038e-05 -5.188293e-05 -1.101209e-04
 7690.000000 -2.389678e-05 -4.810675e-06 -7.704382e-07 -1.976210e-07 -1.209439e-04 -4.747717e-05 -5.478916e-05 -9.842063e-05
 7690.200000 -2.392592e-05 -4.817344e-06 -7.715732e-07 -1.979375e-07 -1.215248e-04 -5.702330e-05 -4.808912e-05 -1.072807e-04
 7690.400000 -2.394342e-05 -4.822011e-06 -7.722401e-07 -1.980786e-07 -1.243064e-04 -5.464903e-05 -4.621923e-05 -1.068377e-04
 7690.600000 -2.390227e-05 -4.814461e-06 -7.708930e-07 -1.977351e-07 -1.226836e-04 -6.015884e-05 -3.843964e-05 -1.001816e-04
 7690.800000 -2.383099e-05 -4.801228e-06 -7.689924e-07 -1.972175e-07 -1.254621e-04 -5.770476e-05 -2.959589e-05 -9.606671e-05
 7691.000000 -2.380980e-05 -4.797916e-06 -7.684131e-07 -1.970715e-07 -1.267739e-04 -6.132713e-05 -4.667843e-05 -1.040106e-04
 7691.200000 -2.376366e-05 -4.789738e-06 -7.669983e-07 -1.966029e-07 -1.247378e-04 -7.110667e-05 -4.773879e-05 -9.190541e-05
 7691.400000 -2.379361e-05 -4.796009e-06 -7.679454e-07 -1.968767e-07 -1.304479e-04 -6.531423e-05 -5.275615e-05 -8.873364e-05
 7691.600000 -2.374710e-05 -4.787189e-06 -7.665095e-07 -1.965761e-07 -1.277629e-04 -6.321987e-05 -4.045080e-05 -9.971657e-05
