# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.14610258535896
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.730036853
# ISS.sample_y_position: 13.8961319395
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:06:28
# Scan.end_time: 02/21/2022  13:06:51
# Scan.duration: 00:23
# Scan.transient_id: 196840
# Scan.uid: cd18674b-868f-4036-bc56-b7cc03fc89eb
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.573579e-05 -2.945047e-06 -4.605459e-07 -1.233004e-07 -9.463220e-05 -3.738009e-05 -4.416537e-05 -4.187614e-05
 7614.000000 -2.323029e-05 -4.363479e-06 -6.834961e-07 -1.824511e-07 -1.382864e-04 -5.673088e-05 -7.204448e-05 -6.093604e-05
 7619.000000 -2.329006e-05 -4.394582e-06 -6.898282e-07 -1.834352e-07 -1.317160e-04 -5.903905e-05 -8.521143e-05 -6.284050e-05
 7624.000000 -2.339150e-05 -4.433756e-06 -6.974565e-07 -1.848302e-07 -1.289104e-04 -5.791551e-05 -8.402787e-05 -7.011554e-05
 7629.000000 -2.341926e-05 -4.459403e-06 -7.027537e-07 -1.855866e-07 -1.258251e-04 -6.153669e-05 -6.704458e-05 -6.150633e-05
 7634.000000 -2.341059e-05 -4.477869e-06 -7.070220e-07 -1.860735e-07 -1.227237e-04 -6.103798e-05 -5.773105e-05 -7.228123e-05
 7639.000000 -2.348579e-05 -4.512648e-06 -7.138158e-07 -1.872500e-07 -1.226156e-04 -6.167895e-05 -5.951786e-05 -8.142903e-05
 7644.000000 -2.337508e-05 -4.511767e-06 -7.149748e-07 -1.868244e-07 -1.241663e-04 -6.764978e-05 -5.614535e-05 -6.794187e-05
 7649.000000 -2.335932e-05 -4.529042e-06 -7.190089e-07 -1.872798e-07 -1.215125e-04 -7.108793e-05 -5.353169e-05 -6.083169e-05
 7654.000000 -2.358496e-05 -4.593655e-06 -7.304214e-07 -1.898602e-07 -1.153566e-04 -6.707757e-05 -5.940296e-05 -6.540624e-05
 7659.000000 -2.369091e-05 -4.635207e-06 -7.382549e-07 -1.913510e-07 -1.182310e-04 -6.433259e-05 -6.335536e-05 -6.707289e-05
