# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.84429378441735
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_3V Co 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -46.730036853
# ISS.sample_y_position: 13.896112866
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:06:59
# Scan.end_time: 02/21/2022  13:07:25
# Scan.duration: 00:25
# Scan.transient_id: 196841
# Scan.uid: c181bf3e-c514-4459-aacf-e6df1fc6ebbb
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.568657e-05 -2.931377e-06 -4.588551e-07 -1.228711e-07 -9.465336e-05 -3.035343e-05 -2.530924e-05 -2.925024e-05
 7614.000000 -2.324354e-05 -4.358910e-06 -6.834079e-07 -1.825172e-07 -1.327318e-04 -4.550849e-05 -4.571677e-05 -4.535962e-05
 7619.000000 -2.321079e-05 -4.372481e-06 -6.870174e-07 -1.827482e-07 -1.210293e-04 -3.966850e-05 -4.978182e-05 -4.643616e-05
 7624.000000 -2.316003e-05 -4.383070e-06 -6.901924e-07 -1.828263e-07 -1.106929e-04 -4.888158e-05 -5.841741e-05 -5.014410e-05
 7629.000000 -2.329154e-05 -4.428010e-06 -6.985606e-07 -1.844550e-07 -1.182041e-04 -5.487560e-05 -5.848588e-05 -5.624180e-05
 7634.000000 -2.347962e-05 -4.484078e-06 -7.086272e-07 -1.866764e-07 -1.151895e-04 -4.889481e-05 -5.505036e-05 -4.604595e-05
 7639.000000 -2.346967e-05 -4.502762e-06 -7.128775e-07 -1.871131e-07 -1.197066e-04 -5.543595e-05 -5.554413e-05 -4.339725e-05
 7644.000000 -2.343489e-05 -4.516713e-06 -7.164530e-07 -1.873824e-07 -1.203233e-04 -4.732578e-05 -5.758378e-05 -4.535162e-05
 7649.000000 -2.339933e-05 -4.530192e-06 -7.200148e-07 -1.876302e-07 -1.246838e-04 -4.293069e-05 -5.677096e-05 -4.841942e-05
 7654.000000 -2.350343e-05 -4.570717e-06 -7.276652e-07 -1.891681e-07 -1.234606e-04 -5.074819e-05 -5.610729e-05 -5.550706e-05
 7659.000000 -2.366825e-05 -4.623239e-06 -7.372273e-07 -1.911929e-07 -1.281330e-04 -5.246769e-05 -6.802570e-05 -5.221826e-05
 7664.000000 -2.373266e-05 -4.656939e-06 -7.437189e-07 -1.924359e-07 -1.337370e-04 -5.248836e-05 -6.685033e-05 -5.450330e-05
 7669.000000 -2.371834e-05 -4.674750e-06 -7.476897e-07 -1.929250e-07 -1.284937e-04 -5.795192e-05 -6.204634e-05 -5.524654e-05
 7674.000000 -2.375100e-05 -4.701328e-06 -7.529942e-07 -1.938792e-07 -1.329157e-04 -6.758516e-05 -6.234896e-05 -5.508058e-05
 7679.000000 -2.379832e-05 -4.730890e-06 -7.586990e-07 -1.950313e-07 -1.266415e-04 -6.688225e-05 -5.981674e-05 -5.190531e-05
 7683.000000 -2.378973e-05 -4.745416e-06 -7.615291e-07 -1.955949e-07 -1.254190e-04 -6.148426e-05 -6.089338e-05 -5.562315e-05
 7686.000000 -2.378732e-05 -4.756630e-06 -7.636819e-07 -1.960375e-07 -1.298143e-04 -5.437571e-05 -5.981378e-05 -5.110378e-05
 7688.000000 -2.383150e-05 -4.773694e-06 -7.665071e-07 -1.967852e-07 -1.245795e-04 -4.919889e-05 -5.752396e-05 -3.770131e-05
 7689.000000 -2.385490e-05 -4.782230e-06 -7.679412e-07 -1.971803e-07 -1.209349e-04 -4.212343e-05 -5.264256e-05 -3.778498e-05
