# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.7121360353424
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.3266406495
# ISS.sample_y_position: 15.6941526375
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:25:08
# Scan.end_time: 02/21/2022  13:25:31
# Scan.duration: 00:23
# Scan.transient_id: 196867
# Scan.uid: dfb1f708-271a-4661-9d5a-008ed5cfa0b4
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.573763e-05 -2.270608e-06 -3.591682e-07 -1.423352e-07 -8.951748e-05 -5.404709e-05 -7.195294e-05 -6.792345e-05
 7614.000000 -2.327192e-05 -3.371647e-06 -5.342300e-07 -2.109291e-07 -1.395780e-04 -8.130018e-05 -1.075315e-04 -1.051687e-04
 7619.000000 -2.334376e-05 -3.398838e-06 -5.396352e-07 -2.122457e-07 -1.403484e-04 -7.016810e-05 -1.100833e-04 -1.049188e-04
 7624.000000 -2.335578e-05 -3.417262e-06 -5.436006e-07 -2.130133e-07 -1.360998e-04 -5.576911e-05 -1.141287e-04 -9.948551e-05
 7629.000000 -2.344908e-05 -3.448745e-06 -5.496160e-07 -2.145516e-07 -1.359957e-04 -6.394119e-05 -1.067498e-04 -9.452119e-05
 7634.000000 -2.346385e-05 -3.468081e-06 -5.538349e-07 -2.152948e-07 -1.350413e-04 -7.018595e-05 -1.093425e-04 -1.052738e-04
 7639.000000 -2.349391e-05 -3.489631e-06 -5.583778e-07 -2.162792e-07 -1.373141e-04 -7.979311e-05 -1.112293e-04 -1.118568e-04
 7644.000000 -2.348106e-05 -3.504069e-06 -5.616784e-07 -2.168414e-07 -1.316390e-04 -7.796052e-05 -9.211384e-05 -1.159652e-04
 7649.000000 -2.356707e-05 -3.534440e-06 -5.675197e-07 -2.183792e-07 -1.283120e-04 -6.980968e-05 -7.390568e-05 -1.116968e-04
 7654.000000 -2.358953e-05 -3.555232e-06 -5.717977e-07 -2.192769e-07 -1.278816e-04 -7.174998e-05 -8.288707e-05 -1.141138e-04
 7659.000000 -2.363673e-05 -3.580025e-06 -5.768971e-07 -2.204068e-07 -1.240708e-04 -8.510200e-05 -8.047297e-05 -1.088421e-04
 7664.000000 -2.363295e-05 -3.596485e-06 -5.804769e-07 -2.211582e-07 -1.290373e-04 -8.266658e-05 -8.026874e-05 -1.010143e-04
 7669.000000 -2.372894e-05 -3.628570e-06 -5.865080e-07 -2.229059e-07 -1.364469e-04 -8.003893e-05 -8.588716e-05 -9.588449e-05
 7674.000000 -2.368266e-05 -3.638557e-06 -5.889620e-07 -2.232800e-07 -1.376059e-04 -8.022588e-05 -7.773246e-05 -1.029525e-04
 7679.000000 -2.371798e-05 -3.660584e-06 -5.931798e-07 -2.245206e-07 -1.309567e-04 -7.388480e-05 -6.890520e-05 -1.018160e-04
 7683.000000 -2.377215e-05 -3.682698e-06 -5.971832e-07 -2.258008e-07 -1.264250e-04 -7.031015e-05 -6.001927e-05 -1.004403e-04
 7686.000000 -2.377737e-05 -3.694406e-06 -5.992726e-07 -2.264318e-07 -1.314337e-04 -7.634655e-05 -6.153248e-05 -9.733137e-05
