# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.13876457387704
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.326545281999998
# ISS.sample_y_position: 15.695430562
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:36:46
# Scan.end_time: 02/21/2022  13:37:09
# Scan.duration: 00:23
# Scan.transient_id: 196888
# Scan.uid: 1a2be13b-1fff-4be4-88e2-6e2a337f3656
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.817487e-05 -3.542109e-06 -2.124366e-07 -2.652659e-07 -1.109284e-04 -6.470704e-05 -7.258669e-05 -6.922647e-05
 8238.000000 -2.593202e-05 -5.069151e-06 -3.044850e-07 -3.790824e-07 -1.513303e-04 -9.239247e-05 -1.102936e-04 -9.963713e-05
 8243.000000 -2.597413e-05 -5.098698e-06 -3.066776e-07 -3.798517e-07 -1.483189e-04 -8.672838e-05 -1.078629e-04 -1.068666e-04
 8248.000000 -2.590375e-05 -5.104362e-06 -3.071533e-07 -3.798522e-07 -1.431783e-04 -7.936811e-05 -1.016111e-04 -1.096389e-04
 8253.000000 -2.596562e-05 -5.138247e-06 -3.090055e-07 -3.798529e-07 -1.451624e-04 -8.229401e-05 -9.403507e-05 -1.099686e-04
 8258.000000 -2.612557e-05 -5.192420e-06 -3.120507e-07 -3.798531e-07 -1.454424e-04 -8.529528e-05 -9.343877e-05 -1.071419e-04
 8263.000000 -2.594020e-05 -5.173947e-06 -3.111848e-07 -3.798542e-07 -1.511690e-04 -8.614988e-05 -9.843086e-05 -1.105479e-04
 8268.000000 -2.590734e-05 -5.188300e-06 -3.126530e-07 -3.798547e-07 -1.599388e-04 -8.900701e-05 -8.116281e-05 -1.103539e-04
 8273.000000 -2.617571e-05 -5.265294e-06 -3.183414e-07 -3.798533e-07 -1.614289e-04 -8.856031e-05 -8.831335e-05 -1.117483e-04
 8278.000000 -2.622917e-05 -5.296573e-06 -3.217975e-07 -3.798530e-07 -1.631217e-04 -8.204362e-05 -9.005415e-05 -1.105114e-04
 8283.000000 -2.611110e-05 -5.291638e-06 -3.233164e-07 -3.798534e-07 -1.632752e-04 -7.809278e-05 -9.543912e-05 -1.151897e-04
 8288.000000 -2.605047e-05 -5.297249e-06 -3.253637e-07 -3.798544e-07 -1.643058e-04 -8.188482e-05 -8.564242e-05 -1.114588e-04
 8293.000000 -2.610520e-05 -5.326935e-06 -3.288330e-07 -3.798548e-07 -1.526139e-04 -8.499560e-05 -7.813026e-05 -1.103793e-04
 8298.000000 -2.621738e-05 -5.368666e-06 -3.331050e-07 -3.798554e-07 -1.493538e-04 -8.808077e-05 -8.463622e-05 -1.054469e-04
 8303.000000 -2.632934e-05 -5.409961e-06 -3.373737e-07 -3.798547e-07 -1.485641e-04 -8.803117e-05 -8.989749e-05 -7.544793e-05
 8307.000000 -2.635995e-05 -5.428931e-06 -3.397799e-07 -3.798565e-07 -1.466013e-04 -8.491590e-05 -9.941186e-05 -6.855346e-05
 8310.000000 -2.637357e-05 -5.440752e-06 -3.414327e-07 -3.798574e-07 -1.575882e-04 -9.099370e-05 -9.509804e-05 -7.372627e-05
 8312.000000 -2.632396e-05 -5.434856e-06 -3.415989e-07 -3.798570e-07 -1.559326e-04 -9.538352e-05 -8.401467e-05 -6.310697e-05
 8313.000000 -2.635125e-05 -5.442509e-06 -3.423326e-07 -3.798580e-07 -1.559272e-04 -9.585481e-05 -9.208596e-05 -7.631907e-05
 8313.200000 -2.635048e-05 -5.442785e-06 -3.424506e-07 -3.798737e-07 -1.522600e-04 -9.562444e-05 -9.646004e-05 -8.111852e-05
 8313.400000 -2.639176e-05 -5.452032e-06 -3.430463e-07 -3.798579e-07 -1.549145e-04 -8.391213e-05 -9.347787e-05 -8.372499e-05
 8313.600000 -2.635404e-05 -5.443995e-06 -3.427015e-07 -3.798256e-07 -1.588741e-04 -9.125704e-05 -9.318437e-05 -6.996913e-05
 8313.800000 -2.629393e-05 -5.432674e-06 -3.418184e-07 -3.798719e-07 -1.598780e-04 -9.504507e-05 -8.429914e-05 -6.460085e-05
 8314.000000 -2.633247e-05 -5.441452e-06 -3.424686e-07 -3.798457e-07 -1.584378e-04 -9.707176e-05 -9.168436e-05 -5.788308e-05
 8314.200000 -2.630321e-05 -5.434894e-06 -3.421037e-07 -3.798755e-07 -1.532922e-04 -9.026605e-05 -9.207468e-05 -5.652893e-05
 8314.400000 -2.630192e-05 -5.434189e-06 -3.420800e-07 -3.798463e-07 -1.549448e-04 -8.201745e-05 -9.887856e-05 -6.605666e-05
 8314.600000 -2.636608e-05 -5.450612e-06 -3.430967e-07 -3.798742e-07 -1.558175e-04 -7.338159e-05 -1.033179e-04 -6.466852e-05
 8314.800000 -2.638455e-05 -5.452846e-06 -3.434860e-07 -3.798461e-07 -1.459877e-04 -7.397935e-05 -1.013215e-04 -6.742881e-05
 8315.000000 -2.642264e-05 -5.461929e-06 -3.439993e-07 -3.798212e-07 -1.436399e-04 -8.511903e-05 -1.145012e-04 -6.909372e-05
 8315.200000 -2.641347e-05 -5.461172e-06 -3.440616e-07 -3.798634e-07 -1.429141e-04 -8.720325e-05 -1.129956e-04 -6.831005e-05
 8315.400000 -2.640484e-05 -5.459707e-06 -3.439482e-07 -3.799316e-07 -1.440379e-04 -7.461131e-05 -1.002866e-04 -6.610086e-05
 8315.600000 -2.634564e-05 -5.446900e-06 -3.433027e-07 -3.797887e-07 -1.443110e-04 -7.687489e-05 -8.314834e-05 -6.421281e-05
 8315.800000 -2.639135e-05 -5.456825e-06 -3.440413e-07 -3.798491e-07 -1.434112e-04 -8.767124e-05 -9.550580e-05 -6.631014e-05
 8316.000000 -2.629708e-05 -5.437838e-06 -3.429034e-07 -3.798863e-07 -1.531961e-04 -8.559391e-05 -9.626982e-05 -7.391452e-05
 8316.200000 -2.629510e-05 -5.436149e-06 -3.427874e-07 -3.798752e-07 -1.512088e-04 -8.390303e-05 -9.461478e-05 -6.338990e-05
 8316.400000 -2.615207e-05 -5.406240e-06 -3.411964e-07 -3.798127e-07 -1.429761e-04 -8.369491e-05 -9.663442e-05 -5.759774e-05
 8316.600000 -2.613668e-05 -5.404278e-06 -3.410304e-07 -3.798993e-07 -1.352259e-04 -8.087094e-05 -1.137394e-04 -7.051639e-05
 8316.800000 -2.615035e-05 -5.406489e-06 -3.412607e-07 -3.798596e-07 -1.464259e-04 -8.550232e-05 -1.079701e-04 -7.039519e-05
 8317.000000 -2.623332e-05 -5.426211e-06 -3.427594e-07 -3.798175e-07 -1.538007e-04 -8.853811e-05 -1.137627e-04 -7.318337e-05
 8317.200000 -2.628588e-05 -5.438482e-06 -3.434907e-07 -3.798401e-07 -1.542128e-04 -9.045308e-05 -9.944375e-05 -7.114886e-05
 8317.400000 -2.627387e-05 -5.436120e-06 -3.434178e-07 -3.798765e-07 -1.637559e-04 -9.786714e-05 -1.030042e-04 -6.348908e-05
 8317.600000 -2.630105e-05 -5.441411e-06 -3.437216e-07 -3.798800e-07 -1.687772e-04 -1.008910e-04 -1.046460e-04 -6.403584e-05
 8317.800000 -2.622769e-05 -5.426079e-06 -3.429442e-07 -3.798533e-07 -1.632253e-04 -1.031548e-04 -9.345337e-05 -5.673326e-05
 8318.000000 -2.625337e-05 -5.432810e-06 -3.434555e-07 -3.798295e-07 -1.592708e-04 -9.227431e-05 -1.085320e-04 -5.602589e-05
 8318.200000 -2.625060e-05 -5.430623e-06 -3.434009e-07 -3.798809e-07 -1.703812e-04 -8.556431e-05 -1.120028e-04 -5.937175e-05
