# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.6076430744663
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.3262973265
# ISS.sample_y_position: 15.6941907845
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:13:52
# Scan.end_time: 02/21/2022  13:14:17
# Scan.duration: 00:25
# Scan.transient_id: 196847
# Scan.uid: c4cbc394-2587-44f2-9245-4d556ec278be
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.491641e-06 -4.830928e-07 -3.853626e-08 -2.570533e-09 -8.747764e-05 -4.731745e-05 -5.071336e-05 -6.333357e-05
 6444.000000 -1.288234e-05 -7.373593e-07 -5.900361e-08 -3.929965e-09 -1.255692e-04 -6.814218e-05 -6.971403e-05 -8.435538e-05
 6449.000000 -1.296468e-05 -7.480048e-07 -6.013195e-08 -3.996579e-09 -1.205722e-04 -6.979956e-05 -6.503941e-05 -8.292917e-05
 6454.000000 -1.300039e-05 -7.561032e-07 -6.100604e-08 -4.043335e-09 -1.242748e-04 -7.012495e-05 -7.599103e-05 -7.891847e-05
 6459.000000 -1.309292e-05 -7.679816e-07 -6.218399e-08 -4.112588e-09 -1.257769e-04 -7.139588e-05 -7.614806e-05 -8.001596e-05
 6464.000000 -1.314361e-05 -7.769084e-07 -6.314659e-08 -4.170042e-09 -1.247840e-04 -6.446950e-05 -7.574500e-05 -8.675419e-05
 6469.000000 -1.312134e-05 -7.812606e-07 -6.374546e-08 -4.207006e-09 -1.179861e-04 -5.602765e-05 -5.790205e-05 -8.653089e-05
 6474.000000 -1.319189e-05 -7.913435e-07 -6.483822e-08 -4.269639e-09 -1.173547e-04 -5.919238e-05 -4.826721e-05 -8.700617e-05
 6479.000000 -1.331883e-05 -8.052012e-07 -6.625796e-08 -4.362120e-09 -1.270488e-04 -6.192498e-05 -5.795883e-05 -9.600096e-05
 6484.000000 -1.338539e-05 -8.154564e-07 -6.738279e-08 -4.428863e-09 -1.196578e-04 -6.869298e-05 -6.306177e-05 -9.999439e-05
 6489.000000 -1.343847e-05 -8.246858e-07 -6.839349e-08 -4.499214e-09 -1.213019e-04 -7.673211e-05 -7.176200e-05 -1.031241e-04
 6494.000000 -1.348536e-05 -8.334726e-07 -6.940362e-08 -4.570802e-09 -1.247923e-04 -8.349644e-05 -7.628342e-05 -9.140808e-05
 6499.000000 -1.356370e-05 -8.450273e-07 -7.061601e-08 -4.660442e-09 -1.269236e-04 -6.506216e-05 -7.683811e-05 -8.679525e-05
 6504.000000 -1.360291e-05 -8.540796e-07 -7.165310e-08 -4.749419e-09 -1.163103e-04 -6.929079e-05 -7.716634e-05 -8.611710e-05
 6509.000000 -1.359675e-05 -8.603986e-07 -7.246810e-08 -4.824451e-09 -1.093899e-04 -6.755464e-05 -8.043769e-05 -8.976005e-05
 6513.000000 -1.360118e-05 -8.657704e-07 -7.315434e-08 -4.912988e-09 -1.186783e-04 -5.705339e-05 -8.155337e-05 -1.009159e-04
