# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.3624314453029
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.329177425
# ISS.sample_y_position: 15.695945546499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:25:40
# Scan.end_time: 02/21/2022  13:26:03
# Scan.duration: 00:23
# Scan.transient_id: 196868
# Scan.uid: 58aa093e-83db-460b-9aa7-fbfc1ffb9fec
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.570625e-05 -2.266038e-06 -3.585354e-07 -1.420392e-07 -1.043136e-04 -5.836303e-05 -5.573066e-05 -5.712696e-05
 7614.000000 -2.324393e-05 -3.366906e-06 -5.335183e-07 -2.107210e-07 -1.612050e-04 -8.281100e-05 -8.806720e-05 -8.946776e-05
 7619.000000 -2.336815e-05 -3.402224e-06 -5.401991e-07 -2.125097e-07 -1.623810e-04 -7.928440e-05 -9.153875e-05 -9.725396e-05
 7624.000000 -2.334656e-05 -3.416436e-06 -5.436076e-07 -2.129343e-07 -1.508571e-04 -8.367273e-05 -9.438424e-05 -9.960995e-05
 7629.000000 -2.343716e-05 -3.446943e-06 -5.494864e-07 -2.144274e-07 -1.457479e-04 -8.754947e-05 -7.900646e-05 -9.164729e-05
 7634.000000 -2.350899e-05 -3.474316e-06 -5.548894e-07 -2.157530e-07 -1.459951e-04 -9.516509e-05 -6.834251e-05 -9.240913e-05
 7639.000000 -2.341868e-05 -3.476923e-06 -5.563402e-07 -2.155593e-07 -1.479900e-04 -1.048488e-04 -6.078710e-05 -8.902177e-05
 7644.000000 -2.340634e-05 -3.492028e-06 -5.598188e-07 -2.161233e-07 -1.512741e-04 -1.043254e-04 -5.097794e-05 -7.971797e-05
 7649.000000 -2.351536e-05 -3.525772e-06 -5.662349e-07 -2.178779e-07 -1.491672e-04 -1.026741e-04 -5.638324e-05 -8.617602e-05
 7654.000000 -2.357938e-05 -3.552536e-06 -5.714887e-07 -2.191719e-07 -1.455323e-04 -9.900833e-05 -4.768181e-05 -8.470540e-05
 7659.000000 -2.360989e-05 -3.574285e-06 -5.759564e-07 -2.202113e-07 -1.455203e-04 -9.745045e-05 -5.806679e-05 -8.468278e-05
 7664.000000 -2.360939e-05 -3.591776e-06 -5.796720e-07 -2.209870e-07 -1.478999e-04 -8.899727e-05 -6.526306e-05 -8.377006e-05
 7669.000000 -2.364340e-05 -3.614258e-06 -5.841201e-07 -2.221141e-07 -1.401407e-04 -8.709416e-05 -7.214248e-05 -8.579545e-05
 7674.000000 -2.367069e-05 -3.636265e-06 -5.886220e-07 -2.231950e-07 -1.355248e-04 -9.116839e-05 -8.940157e-05 -8.074319e-05
 7679.000000 -2.372123e-05 -3.661651e-06 -5.934225e-07 -2.245827e-07 -1.421234e-04 -9.613167e-05 -1.005201e-04 -8.589220e-05
 7683.000000 -2.382277e-05 -3.691518e-06 -5.986694e-07 -2.263560e-07 -1.563848e-04 -8.907754e-05 -9.745106e-05 -8.000722e-05
 7686.000000 -2.379583e-05 -3.697651e-06 -5.999330e-07 -2.266778e-07 -1.511829e-04 -8.428276e-05 -9.131835e-05 -8.619875e-05
 7688.000000 -2.379824e-05 -3.705231e-06 -6.012717e-07 -2.271330e-07 -1.502867e-04 -9.134348e-05 -9.602834e-05 -8.807005e-05
 7689.000000 -2.375737e-05 -3.701504e-06 -6.007197e-07 -2.269677e-07 -1.552645e-04 -8.425921e-05 -9.672006e-05 -8.920497e-05
 7689.200000 -2.370833e-05 -3.693729e-06 -5.995445e-07 -2.265165e-07 -1.548753e-04 -8.375857e-05 -8.707444e-05 -8.152063e-05
 7689.400000 -2.370335e-05 -3.693706e-06 -5.995548e-07 -2.265725e-07 -1.464184e-04 -8.275812e-05 -7.500485e-05 -7.607516e-05
 7689.600000 -2.367368e-05 -3.689440e-06 -5.987282e-07 -2.263493e-07 -1.489874e-04 -8.601066e-05 -8.512865e-05 -8.602206e-05
 7689.800000 -2.363699e-05 -3.683556e-06 -5.980201e-07 -2.259719e-07 -1.531049e-04 -8.733276e-05 -7.105920e-05 -6.763855e-05
 7690.000000 -2.359364e-05 -3.677600e-06 -5.969434e-07 -2.255077e-07 -1.594494e-04 -8.696661e-05 -9.588911e-05 -8.853791e-05
 7690.200000 -2.358722e-05 -3.678068e-06 -5.970778e-07 -2.253911e-07 -1.582314e-04 -9.739663e-05 -1.257705e-04 -1.000202e-04
 7690.400000 -2.366210e-05 -3.691047e-06 -5.990214e-07 -2.261755e-07 -1.503553e-04 -9.951534e-05 -1.081364e-04 -9.469973e-05
 7690.600000 -2.367150e-05 -3.693950e-06 -5.993917e-07 -2.263573e-07 -1.466988e-04 -1.031025e-04 -1.038808e-04 -1.038026e-04
 7690.800000 -2.373964e-05 -3.705108e-06 -6.012481e-07 -2.271872e-07 -1.510501e-04 -9.962198e-05 -1.123659e-04 -9.438358e-05
 7691.000000 -2.376561e-05 -3.710149e-06 -6.021767e-07 -2.274164e-07 -1.529077e-04 -9.524465e-05 -1.000608e-04 -7.654130e-05
 7691.200000 -2.374242e-05 -3.706394e-06 -6.015444e-07 -2.273072e-07 -1.621676e-04 -9.482137e-05 -1.060079e-04 -7.938649e-05
 7691.400000 -2.376426e-05 -3.710517e-06 -6.020324e-07 -2.275916e-07 -1.568771e-04 -1.015796e-04 -1.089330e-04 -8.591146e-05
 7691.600000 -2.378452e-05 -3.714269e-06 -6.026879e-07 -2.278110e-07 -1.540312e-04 -9.982899e-05 -1.142487e-04 -9.391368e-05
 7691.800000 -2.374658e-05 -3.709695e-06 -6.019063e-07 -2.274874e-07 -1.501214e-04 -9.641984e-05 -1.066459e-04 -8.907738e-05
 7692.000000 -2.373879e-05 -3.707599e-06 -6.017858e-07 -2.273073e-07 -1.483248e-04 -1.007653e-04 -1.057956e-04 -9.314937e-05
 7692.200000 -2.372798e-05 -3.708995e-06 -6.021520e-07 -2.273970e-07 -1.444993e-04 -1.012760e-04 -1.055485e-04 -9.115280e-05
 7692.400000 -2.374819e-05 -3.712826e-06 -6.024511e-07 -2.276931e-07 -1.411203e-04 -9.717396e-05 -1.140462e-04 -8.905050e-05
 7692.600000 -2.376262e-05 -3.716121e-06 -6.030837e-07 -2.279008e-07 -1.449662e-04 -9.398290e-05 -9.495686e-05 -8.124806e-05
 7692.800000 -2.380937e-05 -3.722158e-06 -6.040305e-07 -2.284957e-07 -1.444766e-04 -9.372035e-05 -9.538165e-05 -7.597638e-05
 7693.000000 -2.378003e-05 -3.718379e-06 -6.033580e-07 -2.282163e-07 -1.513902e-04 -9.285954e-05 -1.021144e-04 -7.836467e-05
 7693.200000 -2.376618e-05 -3.717512e-06 -6.033181e-07 -2.280274e-07 -1.507772e-04 -9.671866e-05 -1.001524e-04 -9.154551e-05
 7693.400000 -2.377112e-05 -3.718607e-06 -6.033546e-07 -2.282961e-07 -1.500643e-04 -9.083423e-05 -9.398496e-05 -8.649236e-05
 7693.600000 -2.374871e-05 -3.716332e-06 -6.029049e-07 -2.280328e-07 -1.497671e-04 -8.287729e-05 -1.055031e-04 -9.221685e-05
 7693.800000 -2.371921e-05 -3.712911e-06 -6.023097e-07 -2.278030e-07 -1.528051e-04 -8.152619e-05 -1.060601e-04 -9.006950e-05
 7694.000000 -2.374625e-05 -3.717533e-06 -6.031007e-07 -2.281406e-07 -1.479503e-04 -8.490106e-05 -9.416312e-05 -9.487423e-05
 7694.200000 -2.383629e-05 -3.733861e-06 -6.055973e-07 -2.291815e-07 -1.385634e-04 -9.301780e-05 -8.390230e-05 -8.143447e-05
 7694.400000 -2.387506e-05 -3.741735e-06 -6.067420e-07 -2.295856e-07 -1.386234e-04 -9.180087e-05 -1.084150e-04 -7.875922e-05
 7694.600000 -2.383823e-05 -3.736352e-06 -6.058615e-07 -2.292084e-07 -1.438784e-04 -8.614618e-05 -9.215362e-05 -7.743666e-05
 7694.800000 -2.386778e-05 -3.740845e-06 -6.064411e-07 -2.295540e-07 -1.471466e-04 -8.733220e-05 -9.398232e-05 -8.833581e-05
 7695.000000 -2.381965e-05 -3.733278e-06 -6.053154e-07 -2.291422e-07 -1.481040e-04 -8.876816e-05 -9.382841e-05 -8.091545e-05
 7695.200000 -2.388384e-05 -3.743645e-06 -6.071030e-07 -2.297007e-07 -1.388799e-04 -8.226348e-05 -1.099007e-04 -8.329954e-05
 7695.400000 -2.389351e-05 -3.746122e-06 -6.071883e-07 -2.298724e-07 -1.452233e-04 -8.183006e-05 -9.819099e-05 -7.701782e-05
 7695.600000 -2.391315e-05 -3.749821e-06 -6.077702e-07 -2.302718e-07 -1.401543e-04 -8.567129e-05 -9.721733e-05 -7.790531e-05
 7695.800000 -2.387806e-05 -3.744496e-06 -6.070119e-07 -2.300636e-07 -1.496018e-04 -9.531297e-05 -9.355211e-05 -7.596163e-05
