# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.8009313911743
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.329177425
# ISS.sample_y_position: 15.69596462
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:37:18
# Scan.end_time: 02/21/2022  13:37:41
# Scan.duration: 00:23
# Scan.transient_id: 196889
# Scan.uid: 7c4ab5d5-de35-49f7-8347-1cbbb49318cd
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.818711e-05 -3.539742e-06 -2.121959e-07 -2.649016e-07 -1.171812e-04 -6.500430e-05 -4.760195e-05 -6.862802e-05
 8238.000000 -2.607883e-05 -5.092155e-06 -3.056766e-07 -3.790773e-07 -1.631574e-04 -9.186472e-05 -6.025891e-05 -1.053295e-04
 8243.000000 -2.609595e-05 -5.115202e-06 -3.073892e-07 -3.798527e-07 -1.650736e-04 -8.787791e-05 -6.177106e-05 -9.726072e-05
 8248.000000 -2.605884e-05 -5.128514e-06 -3.082853e-07 -3.798540e-07 -1.715177e-04 -8.030368e-05 -6.473350e-05 -7.192695e-05
 8253.000000 -2.613467e-05 -5.165256e-06 -3.104145e-07 -3.798544e-07 -1.701635e-04 -7.543476e-05 -6.453571e-05 -6.085277e-05
 8258.000000 -2.625170e-05 -5.211055e-06 -3.129658e-07 -3.798545e-07 -1.768890e-04 -8.385270e-05 -6.281477e-05 -6.162512e-05
 8263.000000 -2.626916e-05 -5.236104e-06 -3.146247e-07 -3.798546e-07 -1.706757e-04 -8.392702e-05 -5.908716e-05 -5.920933e-05
 8268.000000 -2.628133e-05 -5.259518e-06 -3.166862e-07 -3.798551e-07 -1.635825e-04 -7.974011e-05 -5.512648e-05 -6.327817e-05
 8273.000000 -2.630971e-05 -5.285507e-06 -3.194036e-07 -3.798547e-07 -1.650724e-04 -9.557115e-05 -5.412756e-05 -8.150928e-05
 8278.000000 -2.627734e-05 -5.298829e-06 -3.217536e-07 -3.798543e-07 -1.740286e-04 -9.892770e-05 -7.144084e-05 -1.111876e-04
 8283.000000 -2.624752e-05 -5.312246e-06 -3.242942e-07 -3.798544e-07 -1.784973e-04 -9.657851e-05 -7.165963e-05 -1.069842e-04
