# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.33633855458936
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.329139278
# ISS.sample_y_position: 15.6960981345
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:14:27
# Scan.end_time: 02/21/2022  13:14:50
# Scan.duration: 00:23
# Scan.transient_id: 196848
# Scan.uid: a11940b3-985e-4392-88c6-e49fb43846f0
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.497775e-06 -4.830531e-07 -3.855344e-08 -2.576604e-09 -7.288456e-05 -4.852879e-05 -4.203510e-05 -3.392060e-05
 6444.000000 -1.289201e-05 -7.375142e-07 -5.902111e-08 -3.937517e-09 -1.119421e-04 -6.367202e-05 -5.821294e-05 -6.218180e-05
 6449.000000 -1.300268e-05 -7.496031e-07 -6.026408e-08 -4.004399e-09 -1.189673e-04 -6.304698e-05 -6.888273e-05 -6.355076e-05
 6454.000000 -1.301996e-05 -7.566168e-07 -6.101263e-08 -4.054300e-09 -1.167626e-04 -6.589861e-05 -7.612721e-05 -6.094848e-05
 6459.000000 -1.312927e-05 -7.692000e-07 -6.223662e-08 -4.127478e-09 -1.211987e-04 -6.729106e-05 -8.251145e-05 -6.056817e-05
 6464.000000 -1.318315e-05 -7.781104e-07 -6.326176e-08 -4.184599e-09 -1.235848e-04 -7.579687e-05 -8.431049e-05 -6.123896e-05
 6469.000000 -1.321883e-05 -7.864044e-07 -6.418211e-08 -4.236762e-09 -1.268582e-04 -7.531519e-05 -6.919061e-05 -5.844813e-05
 6474.000000 -1.331454e-05 -7.982535e-07 -6.543375e-08 -4.307711e-09 -1.180389e-04 -7.220011e-05 -5.991826e-05 -5.295942e-05
 6479.000000 -1.334445e-05 -8.062096e-07 -6.635240e-08 -4.366271e-09 -1.160736e-04 -6.642955e-05 -7.416992e-05 -5.332957e-05
 6484.000000 -1.340496e-05 -8.165395e-07 -6.741267e-08 -4.433688e-09 -1.158405e-04 -7.688808e-05 -7.870932e-05 -5.762568e-05
 6489.000000 -1.349704e-05 -8.284641e-07 -6.868548e-08 -4.519561e-09 -1.113998e-04 -6.294542e-05 -8.126018e-05 -5.804615e-05
 6494.000000 -1.356208e-05 -8.388717e-07 -6.978641e-08 -4.600053e-09 -1.129643e-04 -5.989375e-05 -6.932969e-05 -5.484329e-05
 6499.000000 -1.361977e-05 -8.487959e-07 -7.088684e-08 -4.679139e-09 -1.231873e-04 -7.562380e-05 -6.267311e-05 -5.632598e-05
 6504.000000 -1.366389e-05 -8.577541e-07 -7.193582e-08 -4.773346e-09 -1.241323e-04 -8.019930e-05 -6.039796e-05 -5.526724e-05
 6509.000000 -1.368025e-05 -8.652409e-07 -7.282224e-08 -4.859855e-09 -1.176334e-04 -7.083809e-05 -5.432677e-05 -5.565589e-05
 6513.000000 -1.367076e-05 -8.703591e-07 -7.346156e-08 -4.936395e-09 -1.128032e-04 -6.173079e-05 -7.431933e-05 -5.836769e-05
 6516.000000 -1.380945e-05 -8.829602e-07 -7.469123e-08 -5.028457e-09 -1.087645e-04 -6.410693e-05 -6.895943e-05 -5.321601e-05
 6518.000000 -1.381241e-05 -8.855860e-07 -7.501309e-08 -5.067967e-09 -1.074951e-04 -6.807521e-05 -7.162114e-05 -5.256699e-05
 6519.000000 -1.381673e-05 -8.878180e-07 -7.521350e-08 -5.091917e-09 -1.090699e-04 -7.815895e-05 -6.315607e-05 -4.595983e-05
 6519.200000 -1.380390e-05 -8.871550e-07 -7.515380e-08 -5.078379e-09 -1.136589e-04 -7.499869e-05 -6.430949e-05 -4.213163e-05
 6519.400000 -1.380476e-05 -8.874408e-07 -7.526492e-08 -5.081006e-09 -1.115903e-04 -9.067359e-05 -5.574091e-05 -3.985550e-05
 6519.600000 -1.380690e-05 -8.874872e-07 -7.526494e-08 -5.093680e-09 -1.077702e-04 -8.183153e-05 -5.073262e-05 -4.333928e-05
 6519.800000 -1.380647e-05 -8.878953e-07 -7.536940e-08 -5.111738e-09 -1.053469e-04 -7.401525e-05 -5.866764e-05 -5.114639e-05
 6520.000000 -1.382935e-05 -8.892062e-07 -7.548071e-08 -5.133491e-09 -1.059416e-04 -8.337878e-05 -6.979786e-05 -5.428687e-05
 6520.200000 -1.381177e-05 -8.881366e-07 -7.543181e-08 -5.123297e-09 -1.159359e-04 -8.655171e-05 -6.955144e-05 -5.164057e-05
 6520.400000 -1.383764e-05 -8.908603e-07 -7.560043e-08 -5.116208e-09 -1.143878e-04 -8.250793e-05 -6.380634e-05 -4.897932e-05
 6520.600000 -1.382537e-05 -8.905516e-07 -7.561305e-08 -5.123835e-09 -1.111308e-04 -8.723860e-05 -7.058455e-05 -5.103782e-05
 6520.800000 -1.382968e-05 -8.904278e-07 -7.559588e-08 -5.118580e-09 -1.059883e-04 -8.782816e-05 -6.984619e-05 -4.922013e-05
 6521.000000 -1.381942e-05 -8.898847e-07 -7.554807e-08 -5.151477e-09 -1.132490e-04 -7.812704e-05 -6.276142e-05 -5.309662e-05
 6521.200000 -1.381644e-05 -8.903595e-07 -7.562729e-08 -5.149109e-09 -1.084962e-04 -7.821593e-05 -6.479539e-05 -5.572460e-05
 6521.400000 -1.378526e-05 -8.884079e-07 -7.547778e-08 -5.152136e-09 -1.191542e-04 -7.553914e-05 -5.259062e-05 -4.771347e-05
 6521.600000 -1.379090e-05 -8.896598e-07 -7.557627e-08 -5.154970e-09 -1.208312e-04 -6.580245e-05 -5.524897e-05 -3.761468e-05
 6521.800000 -1.378211e-05 -8.887103e-07 -7.554933e-08 -5.127246e-09 -1.140398e-04 -7.360213e-05 -4.505662e-05 -3.700973e-05
 6522.000000 -1.379574e-05 -8.899280e-07 -7.566968e-08 -5.150620e-09 -1.148406e-04 -7.489188e-05 -7.477877e-05 -3.934418e-05
 6522.200000 -1.380598e-05 -8.913348e-07 -7.575833e-08 -5.177069e-09 -1.185094e-04 -5.829215e-05 -5.208062e-05 -3.094576e-05
 6522.400000 -1.381110e-05 -8.919666e-07 -7.591516e-08 -5.152534e-09 -1.260818e-04 -5.909394e-05 -5.107951e-05 -4.258231e-05
 6522.600000 -1.382506e-05 -8.930964e-07 -7.604206e-08 -5.177456e-09 -1.278227e-04 -5.608040e-05 -5.004319e-05 -3.775999e-05
 6522.800000 -1.384263e-05 -8.947637e-07 -7.607942e-08 -5.189963e-09 -1.196726e-04 -5.689941e-05 -4.944813e-05 -2.874672e-05
 6523.000000 -1.384110e-05 -8.946088e-07 -7.605729e-08 -5.188760e-09 -1.244131e-04 -6.540433e-05 -5.653314e-05 -4.002383e-05
 6523.200000 -1.385841e-05 -8.966221e-07 -7.614264e-08 -5.222565e-09 -1.120070e-04 -7.303159e-05 -5.641085e-05 -4.386266e-05
 6523.400000 -1.383866e-05 -8.952965e-07 -7.621738e-08 -5.207710e-09 -1.084501e-04 -8.075623e-05 -5.969074e-05 -3.958022e-05
 6523.600000 -1.384902e-05 -8.962043e-07 -7.630418e-08 -5.229134e-09 -1.136259e-04 -8.164124e-05 -7.687511e-05 -6.018938e-05
 6523.800000 -1.385179e-05 -8.967424e-07 -7.630736e-08 -5.238071e-09 -1.185517e-04 -7.856036e-05 -6.619208e-05 -5.088158e-05
 6524.000000 -1.385040e-05 -8.972044e-07 -7.636920e-08 -5.236598e-09 -1.119423e-04 -7.745507e-05 -6.693092e-05 -4.857662e-05
 6524.200000 -1.386968e-05 -8.981298e-07 -7.641251e-08 -5.264590e-09 -1.135280e-04 -8.212329e-05 -8.990056e-05 -5.326174e-05
 6524.400000 -1.388043e-05 -8.992438e-07 -7.660949e-08 -5.274716e-09 -1.098054e-04 -8.343659e-05 -9.318255e-05 -5.806707e-05
 6524.600000 -1.388200e-05 -8.992699e-07 -7.658227e-08 -5.268046e-09 -1.073879e-04 -8.085412e-05 -8.437253e-05 -4.398886e-05
 6524.800000 -1.388974e-05 -8.999354e-07 -7.666594e-08 -5.285093e-09 -1.152056e-04 -8.670729e-05 -7.139710e-05 -3.893194e-05
 6525.000000 -1.388513e-05 -9.004033e-07 -7.664424e-08 -5.264464e-09 -1.103018e-04 -8.324105e-05 -6.165179e-05 -4.327083e-05
 6525.200000 -1.389186e-05 -9.013323e-07 -7.672142e-08 -5.289254e-09 -1.074308e-04 -8.990468e-05 -6.124433e-05 -4.017813e-05
 6525.400000 -1.388828e-05 -9.009728e-07 -7.670901e-08 -5.308347e-09 -9.875771e-05 -8.487956e-05 -6.597860e-05 -4.466619e-05
 6525.600000 -1.389062e-05 -9.017609e-07 -7.683975e-08 -5.319917e-09 -1.004922e-04 -7.805395e-05 -6.753232e-05 -4.174231e-05
 6525.800000 -1.388869e-05 -9.012869e-07 -7.667178e-08 -5.333931e-09 -9.745324e-05 -8.226313e-05 -6.358793e-05 -3.814013e-05
 6526.000000 -1.388639e-05 -9.011379e-07 -7.673455e-08 -5.332829e-09 -1.049343e-04 -8.001904e-05 -6.334429e-05 -5.164787e-05
 6526.200000 -1.390335e-05 -9.027130e-07 -7.700761e-08 -5.340141e-09 -1.151595e-04 -7.160726e-05 -6.971021e-05 -5.153863e-05
 6526.400000 -1.391247e-05 -9.035335e-07 -7.698372e-08 -5.342727e-09 -1.078924e-04 -7.842865e-05 -6.654500e-05 -4.847045e-05
 6526.600000 -1.391237e-05 -9.035337e-07 -7.700235e-08 -5.357958e-09 -1.059537e-04 -8.409495e-05 -6.085693e-05 -4.018280e-05
 6526.800000 -1.390443e-05 -9.030225e-07 -7.708348e-08 -5.355909e-09 -1.037930e-04 -9.218643e-05 -5.570292e-05 -3.689203e-05
 6527.000000 -1.390445e-05 -9.029650e-07 -7.699629e-08 -5.336277e-09 -1.091879e-04 -8.415303e-05 -7.230690e-05 -4.595607e-05
