# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.0088041047957
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.329024837
# ISS.sample_y_position: 15.69596462
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:26:11
# Scan.end_time: 02/21/2022  13:26:34
# Scan.duration: 00:23
# Scan.transient_id: 196869
# Scan.uid: f45ff9b9-48ca-4a7b-9717-ba6260c36353
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.574373e-05 -2.269374e-06 -3.591825e-07 -1.423498e-07 -9.889861e-05 -5.458326e-05 -4.952651e-05 -2.673608e-05
 7614.000000 -2.317953e-05 -3.354616e-06 -5.317156e-07 -2.100029e-07 -1.338854e-04 -8.962597e-05 -6.878283e-05 -4.382387e-05
 7619.000000 -2.319285e-05 -3.373251e-06 -5.357298e-07 -2.107120e-07 -1.365602e-04 -8.555153e-05 -6.937860e-05 -4.419100e-05
 7624.000000 -2.329855e-05 -3.405558e-06 -5.418605e-07 -2.123841e-07 -1.389130e-04 -7.862414e-05 -7.501459e-05 -4.633105e-05
 7629.000000 -2.330292e-05 -3.422496e-06 -5.456505e-07 -2.131184e-07 -1.329288e-04 -8.222629e-05 -7.386502e-05 -4.545836e-05
 7634.000000 -2.339322e-05 -3.453254e-06 -5.515248e-07 -2.146136e-07 -1.325320e-04 -9.007197e-05 -7.928888e-05 -4.368772e-05
 7639.000000 -2.342372e-05 -3.474855e-06 -5.560221e-07 -2.155429e-07 -1.389571e-04 -8.326411e-05 -8.680485e-05 -4.618363e-05
 7644.000000 -2.344398e-05 -3.494568e-06 -5.603039e-07 -2.164375e-07 -1.386833e-04 -8.298865e-05 -9.344670e-05 -6.781537e-05
 7649.000000 -2.344586e-05 -3.510998e-06 -5.639186e-07 -2.171383e-07 -1.390810e-04 -8.592603e-05 -8.869691e-05 -7.894527e-05
 7654.000000 -2.335387e-05 -3.513210e-06 -5.652884e-07 -2.169332e-07 -1.436893e-04 -7.917626e-05 -8.838146e-05 -9.246478e-05
 7659.000000 -2.352673e-05 -3.557351e-06 -5.732649e-07 -2.193869e-07 -1.367327e-04 -7.665000e-05 -7.944254e-05 -9.219802e-05
 7664.000000 -2.367379e-05 -3.597608e-06 -5.806536e-07 -2.215520e-07 -1.393359e-04 -7.910864e-05 -8.562770e-05 -9.073235e-05
 7669.000000 -2.360947e-05 -3.604709e-06 -5.827914e-07 -2.216860e-07 -1.382414e-04 -7.531420e-05 -8.148106e-05 -8.572984e-05
 7674.000000 -2.369706e-05 -3.635884e-06 -5.885841e-07 -2.233732e-07 -1.394083e-04 -7.821854e-05 -8.312636e-05 -8.806592e-05
 7679.000000 -2.377126e-05 -3.664717e-06 -5.939733e-07 -2.250029e-07 -1.322082e-04 -8.059592e-05 -8.701667e-05 -8.194258e-05
 7683.000000 -2.377607e-05 -3.679077e-06 -5.967182e-07 -2.257809e-07 -1.246417e-04 -8.713656e-05 -7.678236e-05 -7.456309e-05
 7686.000000 -2.361387e-05 -3.663008e-06 -5.943983e-07 -2.247746e-07 -1.392073e-04 -8.721907e-05 -7.985656e-05 -7.337558e-05
 7688.000000 -2.375537e-05 -3.693488e-06 -5.994054e-07 -2.265876e-07 -1.361424e-04 -8.639484e-05 -7.580381e-05 -8.120128e-05
 7689.000000 -2.376103e-05 -3.698631e-06 -6.001958e-07 -2.269394e-07 -1.311861e-04 -7.866961e-05 -8.099282e-05 -8.867971e-05
 7689.200000 -2.376808e-05 -3.700571e-06 -6.005562e-07 -2.271512e-07 -1.337706e-04 -8.546393e-05 -8.557556e-05 -9.435236e-05
 7689.400000 -2.373547e-05 -3.697014e-06 -6.000851e-07 -2.267070e-07 -1.358493e-04 -8.326868e-05 -8.278107e-05 -8.883385e-05
 7689.600000 -2.374902e-05 -3.700349e-06 -6.005880e-07 -2.268451e-07 -1.398679e-04 -8.384508e-05 -7.582235e-05 -8.183433e-05
 7689.800000 -2.368917e-05 -3.690662e-06 -5.990321e-07 -2.262892e-07 -1.352646e-04 -7.575374e-05 -8.151079e-05 -8.208440e-05
 7690.000000 -2.367352e-05 -3.690145e-06 -5.989267e-07 -2.261663e-07 -1.403017e-04 -6.155997e-05 -7.256616e-05 -8.141742e-05
 7690.200000 -2.360495e-05 -3.676477e-06 -5.966293e-07 -2.254772e-07 -1.447028e-04 -6.339470e-05 -7.577719e-05 -9.243776e-05
 7690.400000 -2.360410e-05 -3.675480e-06 -5.965615e-07 -2.255730e-07 -1.355138e-04 -6.556624e-05 -8.151333e-05 -8.448644e-05
 7690.600000 -2.346889e-05 -3.654933e-06 -5.933846e-07 -2.242883e-07 -1.316543e-04 -6.496943e-05 -8.811450e-05 -8.922019e-05
 7690.800000 -2.351722e-05 -3.664370e-06 -5.947606e-07 -2.249247e-07 -1.343352e-04 -7.371118e-05 -7.986276e-05 -8.937697e-05
 7691.000000 -2.341155e-05 -3.648377e-06 -5.923788e-07 -2.238361e-07 -1.368795e-04 -8.419476e-05 -7.719806e-05 -9.417013e-05
 7691.200000 -2.346577e-05 -3.659805e-06 -5.941741e-07 -2.245039e-07 -1.353043e-04 -7.274838e-05 -7.374025e-05 -8.982214e-05
 7691.400000 -2.351332e-05 -3.667070e-06 -5.952128e-07 -2.250075e-07 -1.361298e-04 -7.224472e-05 -9.001833e-05 -8.544280e-05
 7691.600000 -2.365063e-05 -3.689573e-06 -5.987011e-07 -2.263301e-07 -1.425791e-04 -7.702475e-05 -7.607752e-05 -9.108226e-05
 7691.800000 -2.366621e-05 -3.691664e-06 -5.992658e-07 -2.266662e-07 -1.417210e-04 -8.014537e-05 -8.508637e-05 -8.828134e-05
 7692.000000 -2.368828e-05 -3.696441e-06 -5.998266e-07 -2.268925e-07 -1.393837e-04 -7.112480e-05 -6.673440e-05 -8.643493e-05
 7692.200000 -2.373515e-05 -3.704579e-06 -6.013020e-07 -2.274357e-07 -1.308738e-04 -6.954308e-05 -7.081308e-05 -8.627456e-05
 7692.400000 -2.372758e-05 -3.703796e-06 -6.010372e-07 -2.273406e-07 -1.294340e-04 -7.806056e-05 -9.305318e-05 -8.962125e-05
 7692.600000 -2.371599e-05 -3.702108e-06 -6.006995e-07 -2.272752e-07 -1.318845e-04 -8.291729e-05 -9.076179e-05 -8.656556e-05
 7692.800000 -2.370936e-05 -3.701674e-06 -6.006560e-07 -2.272592e-07 -1.343734e-04 -8.667628e-05 -8.934156e-05 -8.493002e-05
 7693.000000 -2.374121e-05 -3.707825e-06 -6.015331e-07 -2.275902e-07 -1.228061e-04 -9.213000e-05 -7.807015e-05 -7.610656e-05
 7693.200000 -2.373941e-05 -3.709165e-06 -6.016730e-07 -2.277142e-07 -1.327316e-04 -9.716405e-05 -7.253987e-05 -9.003143e-05
 7693.400000 -2.375764e-05 -3.712783e-06 -6.023436e-07 -2.280810e-07 -1.369052e-04 -8.677260e-05 -9.609725e-05 -9.789755e-05
 7693.600000 -2.380201e-05 -3.719103e-06 -6.034339e-07 -2.284497e-07 -1.353018e-04 -8.268345e-05 -8.857970e-05 -7.742687e-05
 7693.800000 -2.379812e-05 -3.720127e-06 -6.033344e-07 -2.283929e-07 -1.342212e-04 -8.425484e-05 -8.758378e-05 -7.587254e-05
 7694.000000 -2.377555e-05 -3.717677e-06 -6.029465e-07 -2.283178e-07 -1.286166e-04 -8.501274e-05 -7.957097e-05 -7.781296e-05
 7694.200000 -2.379085e-05 -3.721559e-06 -6.036529e-07 -2.285722e-07 -1.335065e-04 -8.282255e-05 -8.673075e-05 -8.476491e-05
 7694.400000 -2.382020e-05 -3.726074e-06 -6.043185e-07 -2.287800e-07 -1.411097e-04 -8.806065e-05 -9.737630e-05 -8.785976e-05
 7694.600000 -2.374439e-05 -3.715625e-06 -6.027594e-07 -2.281909e-07 -1.456549e-04 -8.203012e-05 -9.140730e-05 -8.929074e-05
 7694.800000 -2.375658e-05 -3.717423e-06 -6.029717e-07 -2.281866e-07 -1.445379e-04 -7.841457e-05 -8.857859e-05 -8.904977e-05
 7695.000000 -2.373514e-05 -3.713378e-06 -6.021953e-07 -2.280742e-07 -1.420463e-04 -7.741426e-05 -7.140284e-05 -8.473051e-05
