# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.4818479714009
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.329024837
# ISS.sample_y_position: 15.696002767
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:37:49
# Scan.end_time: 02/21/2022  13:38:13
# Scan.duration: 00:24
# Scan.transient_id: 196890
# Scan.uid: 09c30659-4ed1-4618-8137-0bc0289922d4
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.818693e-05 -3.538858e-06 -2.121868e-07 -2.648815e-07 -1.009432e-04 -4.652382e-05 -6.834289e-05 -5.676103e-05
 8238.000000 -2.599432e-05 -5.073570e-06 -3.045973e-07 -3.790808e-07 -1.414659e-04 -6.621746e-05 -9.884131e-05 -7.827697e-05
 8243.000000 -2.614969e-05 -5.124684e-06 -3.080011e-07 -3.798565e-07 -1.426103e-04 -6.969992e-05 -1.094042e-04 -8.286481e-05
 8248.000000 -2.621664e-05 -5.159009e-06 -3.101911e-07 -3.798571e-07 -1.450551e-04 -6.694612e-05 -9.055786e-05 -8.239714e-05
 8253.000000 -2.617321e-05 -5.172082e-06 -3.108986e-07 -3.798579e-07 -1.450765e-04 -7.281859e-05 -9.287992e-05 -8.035408e-05
 8258.000000 -2.603328e-05 -5.164273e-06 -3.103251e-07 -3.798572e-07 -1.364348e-04 -6.176143e-05 -9.981663e-05 -8.374988e-05
 8263.000000 -2.598937e-05 -5.175706e-06 -3.111192e-07 -3.798576e-07 -1.360786e-04 -6.343235e-05 -1.033582e-04 -8.598759e-05
 8268.000000 -2.618971e-05 -5.238304e-06 -3.155011e-07 -3.798587e-07 -1.424471e-04 -6.567279e-05 -9.325490e-05 -7.376672e-05
 8273.000000 -2.619968e-05 -5.261677e-06 -3.181122e-07 -3.798586e-07 -1.543314e-04 -6.362847e-05 -8.424742e-05 -6.613882e-05
 8278.000000 -2.615751e-05 -5.272914e-06 -3.204002e-07 -3.798589e-07 -1.538483e-04 -6.488804e-05 -9.128736e-05 -1.061212e-04
 8283.000000 -2.623490e-05 -5.309082e-06 -3.242692e-07 -3.798584e-07 -1.484410e-04 -8.170413e-05 -8.924333e-05 -1.088979e-04
 8288.000000 -2.624426e-05 -5.329616e-06 -3.272282e-07 -3.798593e-07 -1.457805e-04 -7.407496e-05 -8.936408e-05 -1.134186e-04
 8293.000000 -2.625694e-05 -5.351896e-06 -3.304484e-07 -3.798580e-07 -1.528092e-04 -7.512270e-05 -1.001524e-04 -1.097771e-04
 8298.000000 -2.625442e-05 -5.369715e-06 -3.333137e-07 -3.798586e-07 -1.492447e-04 -7.419745e-05 -9.722308e-05 -1.043394e-04
 8303.000000 -2.631795e-05 -5.398351e-06 -3.365942e-07 -3.798584e-07 -1.566565e-04 -7.537094e-05 -9.054128e-05 -1.101841e-04
 8307.000000 -2.638206e-05 -5.423458e-06 -3.393287e-07 -3.798601e-07 -1.492215e-04 -8.140230e-05 -9.810986e-05 -1.084432e-04
 8310.000000 -2.637726e-05 -5.430823e-06 -3.405909e-07 -3.798604e-07 -1.484787e-04 -9.030366e-05 -1.025690e-04 -1.045090e-04
