# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.99388056400846
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.329024837
# ISS.sample_y_position: 15.696040914
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:14:59
# Scan.end_time: 02/21/2022  13:15:25
# Scan.duration: 00:25
# Scan.transient_id: 196849
# Scan.uid: 832743a3-6bec-4349-8cbc-a0e6fcbefe4a
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.465551e-06 -4.807109e-07 -3.838161e-08 -2.564525e-09 -8.494580e-05 -6.744932e-05 -4.073126e-05 -7.856716e-05
 6444.000000 -1.285166e-05 -7.344452e-07 -5.882098e-08 -3.924600e-09 -1.260274e-04 -9.962564e-05 -6.748442e-05 -1.080448e-04
 6449.000000 -1.287940e-05 -7.420203e-07 -5.968844e-08 -3.965030e-09 -1.290249e-04 -1.042804e-04 -6.856181e-05 -9.931083e-05
 6454.000000 -1.290583e-05 -7.494893e-07 -6.051827e-08 -4.009351e-09 -1.308642e-04 -1.040676e-04 -6.664508e-05 -1.058736e-04
 6459.000000 -1.299101e-05 -7.606137e-07 -6.164192e-08 -4.080341e-09 -1.257390e-04 -9.669290e-05 -7.064423e-05 -1.110629e-04
 6464.000000 -1.306765e-05 -7.711685e-07 -6.277641e-08 -4.145722e-09 -1.301347e-04 -8.698867e-05 -6.753074e-05 -1.086958e-04
 6469.000000 -1.311570e-05 -7.803913e-07 -6.375822e-08 -4.197053e-09 -1.361182e-04 -1.027897e-04 -7.115664e-05 -1.083683e-04
 6474.000000 -1.319170e-05 -7.906416e-07 -6.482808e-08 -4.269982e-09 -1.390539e-04 -9.730237e-05 -6.266855e-05 -1.060079e-04
 6479.000000 -1.322770e-05 -7.986946e-07 -6.577634e-08 -4.319183e-09 -1.356587e-04 -9.212759e-05 -5.682085e-05 -1.081090e-04
 6484.000000 -1.334333e-05 -8.115967e-07 -6.709506e-08 -4.410392e-09 -1.431860e-04 -9.504877e-05 -6.476384e-05 -9.741387e-05
 6489.000000 -1.337025e-05 -8.195802e-07 -6.799388e-08 -4.466846e-09 -1.463305e-04 -1.023557e-04 -6.745344e-05 -9.047052e-05
 6494.000000 -1.344210e-05 -8.307852e-07 -6.919247e-08 -4.554201e-09 -1.477097e-04 -9.516425e-05 -5.854710e-05 -9.671899e-05
 6499.000000 -1.349293e-05 -8.402839e-07 -7.024850e-08 -4.635126e-09 -1.490661e-04 -9.305789e-05 -6.468321e-05 -1.044101e-04
 6504.000000 -1.356471e-05 -8.511978e-07 -7.145621e-08 -4.729496e-09 -1.463713e-04 -1.027065e-04 -5.812409e-05 -9.806467e-05
 6509.000000 -1.358484e-05 -8.587583e-07 -7.236832e-08 -4.819464e-09 -1.340256e-04 -9.951978e-05 -6.010057e-05 -9.940055e-05
 6513.000000 -1.359007e-05 -8.640223e-07 -7.306046e-08 -4.898899e-09 -1.357416e-04 -1.042843e-04 -6.220379e-05 -1.039108e-04
 6516.000000 -1.369992e-05 -8.747173e-07 -7.409646e-08 -4.981438e-09 -1.453411e-04 -1.025439e-04 -5.618762e-05 -1.042163e-04
 6518.000000 -1.375421e-05 -8.811227e-07 -7.473739e-08 -5.042899e-09 -1.428940e-04 -9.964898e-05 -5.910925e-05 -1.008708e-04
 6519.000000 -1.375426e-05 -8.822647e-07 -7.486153e-08 -5.057588e-09 -1.487664e-04 -1.034688e-04 -5.865108e-05 -1.066470e-04
 6519.200000 -1.378685e-05 -8.845515e-07 -7.495717e-08 -5.076754e-09 -1.525865e-04 -1.011835e-04 -5.641106e-05 -1.079259e-04
 6519.400000 -1.377959e-05 -8.837200e-07 -7.506244e-08 -5.076324e-09 -1.553360e-04 -1.009190e-04 -7.568565e-05 -1.128486e-04
 6519.600000 -1.377810e-05 -8.847128e-07 -7.512941e-08 -5.066657e-09 -1.537994e-04 -1.153609e-04 -6.795949e-05 -1.106496e-04
 6519.800000 -1.377815e-05 -8.848727e-07 -7.520903e-08 -5.057690e-09 -1.428186e-04 -1.107487e-04 -6.187808e-05 -1.144884e-04
 6520.000000 -1.377788e-05 -8.849948e-07 -7.517514e-08 -5.087672e-09 -1.382656e-04 -1.154627e-04 -6.741467e-05 -1.109598e-04
 6520.200000 -1.377483e-05 -8.848096e-07 -7.508898e-08 -5.113544e-09 -1.426842e-04 -1.083539e-04 -7.984359e-05 -1.116008e-04
 6520.400000 -1.378497e-05 -8.853768e-07 -7.531572e-08 -5.117714e-09 -1.408377e-04 -1.146988e-04 -7.957830e-05 -1.018879e-04
 6520.600000 -1.381526e-05 -8.877165e-07 -7.545978e-08 -5.147119e-09 -1.325172e-04 -1.155161e-04 -6.348074e-05 -1.007722e-04
 6520.800000 -1.380183e-05 -8.874180e-07 -7.531465e-08 -5.124380e-09 -1.255309e-04 -1.149750e-04 -6.020577e-05 -1.029484e-04
 6521.000000 -1.380551e-05 -8.879313e-07 -7.548314e-08 -5.159178e-09 -1.283574e-04 -1.060491e-04 -5.113007e-05 -1.061392e-04
 6521.200000 -1.381843e-05 -8.896990e-07 -7.559303e-08 -5.166626e-09 -1.286212e-04 -9.835915e-05 -4.855127e-05 -1.122274e-04
 6521.400000 -1.381478e-05 -8.895789e-07 -7.560931e-08 -5.151053e-09 -1.354745e-04 -9.483944e-05 -4.796843e-05 -1.142844e-04
 6521.600000 -1.381766e-05 -8.898124e-07 -7.573179e-08 -5.182461e-09 -1.342255e-04 -9.423214e-05 -6.415055e-05 -1.100265e-04
 6521.800000 -1.380491e-05 -8.888414e-07 -7.556676e-08 -5.155159e-09 -1.388058e-04 -9.814847e-05 -6.433770e-05 -1.261662e-04
 6522.000000 -1.378951e-05 -8.883664e-07 -7.555401e-08 -5.171780e-09 -1.398720e-04 -9.012751e-05 -6.299048e-05 -1.312319e-04
 6522.200000 -1.377646e-05 -8.869100e-07 -7.545079e-08 -5.163054e-09 -1.393242e-04 -9.357301e-05 -5.129424e-05 -1.196696e-04
 6522.400000 -1.373914e-05 -8.844835e-07 -7.524236e-08 -5.146928e-09 -1.346131e-04 -8.809032e-05 -5.866430e-05 -1.244805e-04
 6522.600000 -1.375881e-05 -8.863778e-07 -7.538692e-08 -5.156209e-09 -1.422410e-04 -9.796098e-05 -5.515152e-05 -1.152414e-04
 6522.800000 -1.370253e-05 -8.830171e-07 -7.510603e-08 -5.147434e-09 -1.526210e-04 -9.352435e-05 -5.148493e-05 -1.078384e-04
 6523.000000 -1.372829e-05 -8.855036e-07 -7.538500e-08 -5.151939e-09 -1.483905e-04 -8.606044e-05 -5.307770e-05 -1.093187e-04
 6523.200000 -1.376641e-05 -8.882362e-07 -7.563038e-08 -5.166500e-09 -1.385606e-04 -8.121773e-05 -4.847302e-05 -1.101460e-04
 6523.400000 -1.375836e-05 -8.873318e-07 -7.574437e-08 -5.189976e-09 -1.335953e-04 -7.522873e-05 -5.712516e-05 -1.217248e-04
 6523.600000 -1.374278e-05 -8.869138e-07 -7.576599e-08 -5.176308e-09 -1.361310e-04 -8.822361e-05 -5.443626e-05 -1.188375e-04
 6523.800000 -1.373531e-05 -8.862425e-07 -7.577810e-08 -5.190517e-09 -1.472867e-04 -9.844383e-05 -6.740266e-05 -1.169464e-04
 6524.000000 -1.376684e-05 -8.890055e-07 -7.593384e-08 -5.197752e-09 -1.429736e-04 -8.968853e-05 -7.606211e-05 -1.164109e-04
 6524.200000 -1.376849e-05 -8.899670e-07 -7.582313e-08 -5.204868e-09 -1.547681e-04 -9.931283e-05 -5.906311e-05 -1.116728e-04
 6524.400000 -1.378493e-05 -8.912680e-07 -7.599492e-08 -5.219865e-09 -1.543518e-04 -9.745001e-05 -5.275197e-05 -1.055351e-04
 6524.600000 -1.378348e-05 -8.909269e-07 -7.592130e-08 -5.201028e-09 -1.460290e-04 -9.169302e-05 -7.401228e-05 -1.099955e-04
 6524.800000 -1.380992e-05 -8.933655e-07 -7.610391e-08 -5.238549e-09 -1.389269e-04 -9.673525e-05 -6.281061e-05 -1.035498e-04
 6525.000000 -1.380783e-05 -8.936419e-07 -7.619847e-08 -5.254953e-09 -1.422120e-04 -8.950127e-05 -6.369883e-05 -1.016802e-04
 6525.200000 -1.384408e-05 -8.956647e-07 -7.635533e-08 -5.281353e-09 -1.405001e-04 -9.646317e-05 -7.177300e-05 -1.013703e-04
 6525.400000 -1.384383e-05 -8.960382e-07 -7.638546e-08 -5.280261e-09 -1.394197e-04 -9.178015e-05 -5.407983e-05 -9.769895e-05
 6525.600000 -1.385631e-05 -8.969239e-07 -7.661346e-08 -5.277926e-09 -1.531149e-04 -8.808179e-05 -4.254633e-05 -9.718338e-05
 6525.800000 -1.385265e-05 -8.967924e-07 -7.661960e-08 -5.300964e-09 -1.493228e-04 -8.571472e-05 -4.350173e-05 -1.157240e-04
 6526.000000 -1.385041e-05 -8.970582e-07 -7.667267e-08 -5.287257e-09 -1.408939e-04 -9.387261e-05 -4.298360e-05 -1.139006e-04
 6526.200000 -1.385498e-05 -8.981860e-07 -7.668909e-08 -5.317834e-09 -1.406430e-04 -8.032303e-05 -3.506701e-05 -1.139560e-04
 6526.400000 -1.386432e-05 -8.986390e-07 -7.672216e-08 -5.327706e-09 -1.343426e-04 -8.708549e-05 -4.842196e-05 -1.020706e-04
 6526.600000 -1.386233e-05 -8.989362e-07 -7.675781e-08 -5.319793e-09 -1.318665e-04 -8.766777e-05 -5.471138e-05 -1.068339e-04
