# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.71480449987433
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.3290057635
# ISS.sample_y_position: 15.6960599875
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:26:43
# Scan.end_time: 02/21/2022  13:27:07
# Scan.duration: 00:24
# Scan.transient_id: 196870
# Scan.uid: 293e7fa4-b018-4048-adca-1b1bd9938447
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.572356e-05 -2.263283e-06 -3.581963e-07 -1.421087e-07 -1.037995e-04 -5.670375e-05 -5.932971e-05 -6.503704e-05
 7614.000000 -2.319296e-05 -3.351989e-06 -5.313229e-07 -2.100915e-07 -1.458124e-04 -8.633762e-05 -9.531215e-05 -1.022188e-04
 7619.000000 -2.330166e-05 -3.385400e-06 -5.376691e-07 -2.117531e-07 -1.441935e-04 -8.909133e-05 -1.052561e-04 -1.129478e-04
 7624.000000 -2.339235e-05 -3.415356e-06 -5.434967e-07 -2.132353e-07 -1.573487e-04 -9.210673e-05 -1.002758e-04 -1.117026e-04
 7629.000000 -2.335508e-05 -3.426346e-06 -5.462075e-07 -2.135498e-07 -1.601862e-04 -9.010716e-05 -9.435927e-05 -1.148556e-04
 7634.000000 -2.340800e-05 -3.451376e-06 -5.512171e-07 -2.146874e-07 -1.614865e-04 -8.788265e-05 -8.588415e-05 -1.036643e-04
 7639.000000 -2.348591e-05 -3.479599e-06 -5.568414e-07 -2.160684e-07 -1.535307e-04 -7.759792e-05 -9.333586e-05 -1.029078e-04
 7644.000000 -2.342974e-05 -3.488214e-06 -5.592852e-07 -2.161534e-07 -1.530487e-04 -6.965823e-05 -8.948945e-05 -1.001492e-04
 7649.000000 -2.342658e-05 -3.504431e-06 -5.629669e-07 -2.168487e-07 -1.506527e-04 -7.610545e-05 -8.142755e-05 -9.661207e-05
 7654.000000 -2.347421e-05 -3.529068e-06 -5.679265e-07 -2.179723e-07 -1.566035e-04 -8.495358e-05 -7.874026e-05 -9.862044e-05
 7659.000000 -2.356850e-05 -3.561115e-06 -5.741549e-07 -2.196691e-07 -1.500926e-04 -9.538680e-05 -7.521771e-05 -1.074503e-04
 7664.000000 -2.357340e-05 -3.579802e-06 -5.780987e-07 -2.204467e-07 -1.523425e-04 -9.054526e-05 -8.499103e-05 -9.618341e-05
 7669.000000 -2.360557e-05 -3.602305e-06 -5.825871e-07 -2.215701e-07 -1.422914e-04 -8.053846e-05 -9.045606e-05 -6.355773e-05
 7674.000000 -2.365951e-05 -3.627395e-06 -5.873757e-07 -2.229165e-07 -1.387253e-04 -8.331354e-05 -9.918233e-05 -5.316116e-05
 7679.000000 -2.372336e-05 -3.655339e-06 -5.926513e-07 -2.244416e-07 -1.324923e-04 -8.613878e-05 -9.760903e-05 -5.941682e-05
 7683.000000 -2.374162e-05 -3.672070e-06 -5.957298e-07 -2.253580e-07 -1.389398e-04 -9.590930e-05 -8.224153e-05 -5.892522e-05
 7686.000000 -2.373898e-05 -3.682378e-06 -5.977057e-07 -2.259352e-07 -1.350228e-04 -9.146712e-05 -8.278425e-05 -5.714437e-05
 7688.000000 -2.378278e-05 -3.696250e-06 -6.000474e-07 -2.267760e-07 -1.339292e-04 -9.559671e-05 -1.097740e-04 -6.462558e-05
 7689.000000 -2.376764e-05 -3.697241e-06 -6.002248e-07 -2.268479e-07 -1.379118e-04 -1.069176e-04 -1.047205e-04 -6.091600e-05
 7689.200000 -2.379183e-05 -3.702092e-06 -6.010422e-07 -2.271700e-07 -1.250106e-04 -1.121478e-04 -1.029755e-04 -5.463497e-05
 7689.400000 -2.372086e-05 -3.690792e-06 -5.991910e-07 -2.265109e-07 -1.307957e-04 -1.041864e-04 -1.133149e-04 -6.883175e-05
 7689.600000 -2.374645e-05 -3.695000e-06 -5.997509e-07 -2.267216e-07 -1.304223e-04 -1.029714e-04 -1.009145e-04 -5.688609e-05
 7689.800000 -2.369509e-05 -3.687931e-06 -5.987329e-07 -2.263426e-07 -1.306975e-04 -1.060504e-04 -8.666463e-05 -4.966024e-05
 7690.000000 -2.369576e-05 -3.688050e-06 -5.987569e-07 -2.264053e-07 -1.276694e-04 -1.013885e-04 -9.233699e-05 -5.377235e-05
 7690.200000 -2.370702e-05 -3.690712e-06 -5.990934e-07 -2.265366e-07 -1.299778e-04 -1.051117e-04 -1.022566e-04 -6.397072e-05
 7690.400000 -2.365706e-05 -3.684352e-06 -5.980788e-07 -2.260705e-07 -1.332698e-04 -9.402573e-05 -9.392272e-05 -6.177012e-05
 7690.600000 -2.359732e-05 -3.674719e-06 -5.962823e-07 -2.254770e-07 -1.346890e-04 -9.582800e-05 -9.250861e-05 -6.435078e-05
 7690.800000 -2.357535e-05 -3.671874e-06 -5.959529e-07 -2.254436e-07 -1.254217e-04 -9.534467e-05 -9.179276e-05 -6.157729e-05
 7691.000000 -2.365485e-05 -3.684693e-06 -5.980857e-07 -2.261451e-07 -1.329357e-04 -1.031908e-04 -8.638191e-05 -5.607368e-05
 7691.200000 -2.371873e-05 -3.696628e-06 -5.999482e-07 -2.269015e-07 -1.363142e-04 -9.216857e-05 -9.194624e-05 -5.663327e-05
 7691.400000 -2.377600e-05 -3.707381e-06 -6.015031e-07 -2.274296e-07 -1.320745e-04 -9.095337e-05 -1.019255e-04 -5.699855e-05
 7691.600000 -2.377076e-05 -3.706091e-06 -6.016067e-07 -2.274591e-07 -1.325283e-04 -8.559652e-05 -9.336288e-05 -5.962169e-05
 7691.800000 -2.380510e-05 -3.712648e-06 -6.025370e-07 -2.279709e-07 -1.398402e-04 -7.925000e-05 -9.143051e-05 -6.010177e-05
 7692.000000 -2.382727e-05 -3.717392e-06 -6.031743e-07 -2.283397e-07 -1.456882e-04 -7.463866e-05 -9.439731e-05 -6.256051e-05
 7692.200000 -2.379035e-05 -3.711453e-06 -6.022907e-07 -2.279269e-07 -1.512162e-04 -8.773832e-05 -7.395878e-05 -5.405862e-05
 7692.400000 -2.379191e-05 -3.712484e-06 -6.025662e-07 -2.279648e-07 -1.454145e-04 -9.651930e-05 -8.417480e-05 -6.290281e-05
 7692.600000 -2.380284e-05 -3.715788e-06 -6.030393e-07 -2.280967e-07 -1.449342e-04 -9.701356e-05 -9.224286e-05 -6.490044e-05
 7692.800000 -2.380745e-05 -3.715992e-06 -6.030118e-07 -2.282199e-07 -1.489071e-04 -9.566159e-05 -9.132407e-05 -7.275586e-05
 7693.000000 -2.376584e-05 -3.709589e-06 -6.021475e-07 -2.279907e-07 -1.491087e-04 -9.672245e-05 -1.070772e-04 -7.826083e-05
 7693.200000 -2.373186e-05 -3.704870e-06 -6.012737e-07 -2.275874e-07 -1.549123e-04 -9.162618e-05 -1.046652e-04 -7.846617e-05
 7693.400000 -2.364919e-05 -3.693707e-06 -5.994302e-07 -2.267368e-07 -1.569280e-04 -9.906732e-05 -1.013204e-04 -7.067495e-05
 7693.600000 -2.373338e-05 -3.707360e-06 -6.016611e-07 -2.277223e-07 -1.499115e-04 -1.001706e-04 -1.015419e-04 -7.535074e-05
 7693.800000 -2.370925e-05 -3.704576e-06 -6.010957e-07 -2.275697e-07 -1.521163e-04 -1.012554e-04 -9.404887e-05 -6.682066e-05
 7694.000000 -2.378520e-05 -3.717447e-06 -6.030596e-07 -2.283041e-07 -1.499454e-04 -1.002394e-04 -8.912486e-05 -6.885153e-05
 7694.200000 -2.378206e-05 -3.718176e-06 -6.031554e-07 -2.283977e-07 -1.479133e-04 -1.009163e-04 -8.082006e-05 -6.560266e-05
 7694.400000 -2.376473e-05 -3.714491e-06 -6.027494e-07 -2.282327e-07 -1.441436e-04 -9.629805e-05 -9.661884e-05 -6.886319e-05
 7694.600000 -2.377068e-05 -3.716179e-06 -6.029869e-07 -2.283358e-07 -1.587694e-04 -9.288478e-05 -9.509437e-05 -6.185519e-05
 7694.800000 -2.376911e-05 -3.716850e-06 -6.029358e-07 -2.283817e-07 -1.637338e-04 -9.405410e-05 -1.024309e-04 -7.344642e-05
 7695.000000 -2.375059e-05 -3.713679e-06 -6.023056e-07 -2.282466e-07 -1.607697e-04 -9.197225e-05 -9.711913e-05 -7.757159e-05
 7695.200000 -2.373184e-05 -3.712391e-06 -6.022443e-07 -2.281564e-07 -1.521020e-04 -9.755251e-05 -9.322806e-05 -7.429104e-05
 7695.400000 -2.370198e-05 -3.707946e-06 -6.014974e-07 -2.278327e-07 -1.436875e-04 -9.725864e-05 -9.774048e-05 -7.039775e-05
 7695.600000 -2.372033e-05 -3.710937e-06 -6.018511e-07 -2.280429e-07 -1.425943e-04 -9.623913e-05 -1.028566e-04 -7.206034e-05
 7695.800000 -2.377370e-05 -3.719888e-06 -6.032113e-07 -2.286503e-07 -1.430608e-04 -9.744734e-05 -1.027907e-04 -7.597718e-05
