# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.14406961288097
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.3290057635
# ISS.sample_y_position: 15.6960599875
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:38:21
# Scan.end_time: 02/21/2022  13:38:45
# Scan.duration: 00:23
# Scan.transient_id: 196891
# Scan.uid: ef51928d-af8b-4e53-97a6-7e254f46d5ef
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.822457e-05 -3.549991e-06 -2.129133e-07 -2.651724e-07 -1.100251e-04 -3.789584e-05 -6.262958e-05 -6.118960e-05
 8238.000000 -2.604699e-05 -5.089080e-06 -3.055915e-07 -3.790903e-07 -1.573240e-04 -5.410639e-05 -9.292228e-05 -8.306304e-05
 8243.000000 -2.614621e-05 -5.129784e-06 -3.083969e-07 -3.798607e-07 -1.546615e-04 -5.249411e-05 -8.654253e-05 -9.004674e-05
 8248.000000 -2.616671e-05 -5.155303e-06 -3.100280e-07 -3.798609e-07 -1.617646e-04 -5.381500e-05 -8.031533e-05 -9.916452e-05
 8253.000000 -2.622183e-05 -5.187236e-06 -3.118142e-07 -3.798613e-07 -1.624292e-04 -5.509283e-05 -8.167914e-05 -9.742924e-05
 8258.000000 -2.617872e-05 -5.199010e-06 -3.124228e-07 -3.798619e-07 -1.626789e-04 -6.265866e-05 -9.569323e-05 -9.097752e-05
 8263.000000 -2.619222e-05 -5.222197e-06 -3.139661e-07 -3.798618e-07 -1.612334e-04 -5.142146e-05 -9.687895e-05 -8.889621e-05
 8268.000000 -2.624600e-05 -5.254485e-06 -3.164910e-07 -3.798614e-07 -1.519225e-04 -5.005145e-05 -9.223942e-05 -6.998945e-05
 8273.000000 -2.629691e-05 -5.285479e-06 -3.195338e-07 -3.798604e-07 -1.513745e-04 -5.959295e-05 -9.401092e-05 -5.503995e-05
 8278.000000 -2.623773e-05 -5.293163e-06 -3.215689e-07 -3.798601e-07 -1.647672e-04 -6.860720e-05 -9.634297e-05 -5.653182e-05
 8283.000000 -2.623066e-05 -5.311239e-06 -3.243843e-07 -3.798611e-07 -1.574575e-04 -6.892547e-05 -8.953693e-05 -5.746654e-05
