# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.63277740286316
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.3290057635
# ISS.sample_y_position: 15.695945546499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:15:34
# Scan.end_time: 02/21/2022  13:15:57
# Scan.duration: 00:22
# Scan.transient_id: 196850
# Scan.uid: b1104151-6cca-4791-8d42-d818cd9993d3
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.430723e-06 -4.786484e-07 -3.823266e-08 -2.552444e-09 -9.918355e-05 -6.594513e-05 -4.086336e-05 -6.628034e-05
 6444.000000 -1.279134e-05 -7.310833e-07 -5.856908e-08 -3.900194e-09 -1.481839e-04 -9.183872e-05 -6.066622e-05 -9.636195e-05
 6449.000000 -1.288660e-05 -7.423770e-07 -5.973124e-08 -3.965689e-09 -1.504714e-04 -9.161065e-05 -6.090090e-05 -9.871626e-05
 6454.000000 -1.288746e-05 -7.484730e-07 -6.043467e-08 -4.003447e-09 -1.403565e-04 -8.606749e-05 -6.288571e-05 -1.027486e-04
 6459.000000 -1.297126e-05 -7.594399e-07 -6.156252e-08 -4.070183e-09 -1.415541e-04 -8.831357e-05 -6.334405e-05 -9.174921e-05
 6464.000000 -1.304003e-05 -7.693900e-07 -6.265262e-08 -4.128271e-09 -1.444010e-04 -8.577300e-05 -4.985850e-05 -9.365340e-05
 6469.000000 -1.305871e-05 -7.761247e-07 -6.347674e-08 -4.179304e-09 -1.375157e-04 -9.648025e-05 -5.680862e-05 -9.728289e-05
 6474.000000 -1.316791e-05 -7.886692e-07 -6.469653e-08 -4.260851e-09 -1.343308e-04 -9.853916e-05 -5.557991e-05 -9.507963e-05
 6479.000000 -1.325078e-05 -8.000309e-07 -6.592472e-08 -4.328210e-09 -1.352353e-04 -9.757997e-05 -6.173138e-05 -8.884388e-05
 6484.000000 -1.328109e-05 -8.081121e-07 -6.680667e-08 -4.395190e-09 -1.345987e-04 -1.013762e-04 -5.178502e-05 -7.813168e-05
 6489.000000 -1.336095e-05 -8.190971e-07 -6.801413e-08 -4.474436e-09 -1.304155e-04 -9.656088e-05 -4.719121e-05 -8.627746e-05
 6494.000000 -1.342304e-05 -8.295640e-07 -6.912263e-08 -4.544834e-09 -1.364748e-04 -9.631778e-05 -5.592203e-05 -9.777541e-05
 6499.000000 -1.348332e-05 -8.395237e-07 -7.020381e-08 -4.635224e-09 -1.339609e-04 -9.552885e-05 -5.966306e-05 -1.026174e-04
 6504.000000 -1.353734e-05 -8.489990e-07 -7.127462e-08 -4.722986e-09 -1.274277e-04 -9.259543e-05 -5.936935e-05 -1.061064e-04
 6509.000000 -1.356407e-05 -8.573543e-07 -7.223604e-08 -4.810954e-09 -1.276117e-04 -9.487883e-05 -6.713228e-05 -1.103836e-04
 6513.000000 -1.353896e-05 -8.607867e-07 -7.277918e-08 -4.882807e-09 -1.256961e-04 -9.757482e-05 -6.751789e-05 -1.128767e-04
 6516.000000 -1.369782e-05 -8.744652e-07 -7.414666e-08 -4.983485e-09 -1.255655e-04 -9.849957e-05 -5.950471e-05 -1.082206e-04
 6518.000000 -1.373186e-05 -8.792082e-07 -7.464956e-08 -5.036900e-09 -1.273925e-04 -9.731369e-05 -6.232673e-05 -9.861917e-05
 6519.000000 -1.374038e-05 -8.809072e-07 -7.478548e-08 -5.065330e-09 -1.319146e-04 -9.186700e-05 -6.677956e-05 -1.061745e-04
 6519.200000 -1.374569e-05 -8.818730e-07 -7.483765e-08 -5.078399e-09 -1.315795e-04 -9.994014e-05 -7.174892e-05 -1.074501e-04
 6519.400000 -1.375274e-05 -8.821336e-07 -7.490547e-08 -5.082130e-09 -1.276003e-04 -1.017493e-04 -7.534900e-05 -1.112214e-04
 6519.600000 -1.376925e-05 -8.839022e-07 -7.505189e-08 -5.106015e-09 -1.358860e-04 -9.596337e-05 -7.869780e-05 -1.099409e-04
 6519.800000 -1.375132e-05 -8.826870e-07 -7.500935e-08 -5.094268e-09 -1.390254e-04 -9.284213e-05 -7.572236e-05 -9.722249e-05
 6520.000000 -1.376353e-05 -8.834376e-07 -7.508053e-08 -5.093217e-09 -1.286586e-04 -9.903593e-05 -7.154407e-05 -1.023216e-04
 6520.200000 -1.378053e-05 -8.850685e-07 -7.524631e-08 -5.086664e-09 -1.167731e-04 -1.004432e-04 -7.554406e-05 -1.016856e-04
 6520.400000 -1.376656e-05 -8.849294e-07 -7.527310e-08 -5.084041e-09 -1.186699e-04 -9.861716e-05 -6.508387e-05 -1.001968e-04
 6520.600000 -1.377992e-05 -8.859542e-07 -7.540073e-08 -5.100631e-09 -1.262049e-04 -9.279754e-05 -6.242809e-05 -1.056588e-04
 6520.800000 -1.377006e-05 -8.854194e-07 -7.532461e-08 -5.121519e-09 -1.263724e-04 -9.531331e-05 -5.849358e-05 -9.614174e-05
 6521.000000 -1.379425e-05 -8.870616e-07 -7.543289e-08 -5.114046e-09 -1.225882e-04 -9.517548e-05 -7.414156e-05 -1.064145e-04
 6521.200000 -1.377545e-05 -8.851809e-07 -7.542365e-08 -5.125391e-09 -1.208414e-04 -9.782881e-05 -6.332810e-05 -9.768610e-05
 6521.400000 -1.377814e-05 -8.861212e-07 -7.532824e-08 -5.144317e-09 -1.172208e-04 -9.519777e-05 -7.479163e-05 -9.944660e-05
 6521.600000 -1.379331e-05 -8.873936e-07 -7.550518e-08 -5.124719e-09 -1.196337e-04 -9.283116e-05 -7.634333e-05 -1.060702e-04
 6521.800000 -1.379553e-05 -8.880356e-07 -7.564240e-08 -5.153975e-09 -1.077312e-04 -9.771573e-05 -5.313760e-05 -9.576663e-05
 6522.000000 -1.379979e-05 -8.890413e-07 -7.561215e-08 -5.171921e-09 -1.136339e-04 -9.890070e-05 -5.256860e-05 -1.034434e-04
 6522.200000 -1.380444e-05 -8.894441e-07 -7.566781e-08 -5.181598e-09 -1.143789e-04 -1.004564e-04 -5.732101e-05 -1.031644e-04
 6522.400000 -1.381168e-05 -8.890456e-07 -7.580770e-08 -5.172853e-09 -1.258184e-04 -1.047345e-04 -6.490044e-05 -9.709532e-05
 6522.600000 -1.381035e-05 -8.895247e-07 -7.583495e-08 -5.195827e-09 -1.191881e-04 -1.068989e-04 -6.592425e-05 -9.812211e-05
 6522.800000 -1.381723e-05 -8.901816e-07 -7.573931e-08 -5.170699e-09 -1.163922e-04 -1.037608e-04 -6.955887e-05 -9.744418e-05
 6523.000000 -1.380664e-05 -8.900684e-07 -7.591487e-08 -5.172673e-09 -1.119644e-04 -1.017510e-04 -6.824531e-05 -1.006983e-04
 6523.200000 -1.378599e-05 -8.894608e-07 -7.567291e-08 -5.189077e-09 -1.163138e-04 -1.018493e-04 -6.491469e-05 -1.093929e-04
