# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.4083938929153
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.3290057635
# ISS.sample_y_position: 15.696040914
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  13:27:15
# Scan.end_time: 02/21/2022  13:27:41
# Scan.duration: 00:26
# Scan.transient_id: 196871
# Scan.uid: 96a1dddf-a23c-405d-a434-116848e2eecf
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.575495e-05 -2.270630e-06 -3.594184e-07 -1.424008e-07 -9.866953e-05 -4.568627e-05 -7.160938e-05 -6.269251e-05
 7614.000000 -2.321295e-05 -3.359236e-06 -5.326570e-07 -2.102693e-07 -1.481752e-04 -6.864782e-05 -9.858267e-05 -9.489954e-05
 7619.000000 -2.335563e-05 -3.398301e-06 -5.400360e-07 -2.122671e-07 -1.428764e-04 -6.201344e-05 -9.627055e-05 -9.897944e-05
 7624.000000 -2.341338e-05 -3.423810e-06 -5.451136e-07 -2.134154e-07 -1.371983e-04 -6.610014e-05 -9.690259e-05 -9.673759e-05
 7629.000000 -2.344578e-05 -3.445320e-06 -5.495879e-07 -2.143713e-07 -1.317925e-04 -6.861095e-05 -8.924600e-05 -9.657202e-05
 7634.000000 -2.344926e-05 -3.462543e-06 -5.534164e-07 -2.150484e-07 -1.365507e-04 -6.774101e-05 -9.431471e-05 -9.559990e-05
 7639.000000 -2.351341e-05 -3.489074e-06 -5.587940e-07 -2.163704e-07 -1.354155e-04 -6.327441e-05 -9.068540e-05 -1.015099e-04
 7644.000000 -2.353403e-05 -3.509986e-06 -5.630530e-07 -2.172017e-07 -1.330329e-04 -6.990336e-05 -9.301431e-05 -1.031755e-04
 7649.000000 -2.355898e-05 -3.530570e-06 -5.673799e-07 -2.181627e-07 -1.362947e-04 -6.538579e-05 -1.066884e-04 -1.009040e-04
 7654.000000 -2.351056e-05 -3.540008e-06 -5.699209e-07 -2.183852e-07 -1.428311e-04 -6.162213e-05 -1.026910e-04 -9.885445e-05
 7659.000000 -2.354136e-05 -3.561636e-06 -5.744222e-07 -2.193774e-07 -1.372865e-04 -6.102971e-05 -1.002287e-04 -9.615688e-05
 7664.000000 -2.360831e-05 -3.589949e-06 -5.799583e-07 -2.207736e-07 -1.361940e-04 -6.801420e-05 -9.726292e-05 -9.359024e-05
 7669.000000 -2.368706e-05 -3.619379e-06 -5.855430e-07 -2.223831e-07 -1.397951e-04 -6.985155e-05 -1.114896e-04 -9.356815e-05
 7674.000000 -2.369038e-05 -3.637367e-06 -5.893318e-07 -2.232307e-07 -1.376461e-04 -6.176254e-05 -1.112404e-04 -9.204712e-05
 7679.000000 -2.367866e-05 -3.652862e-06 -5.924937e-07 -2.239691e-07 -1.371542e-04 -6.073169e-05 -1.072727e-04 -8.619236e-05
 7683.000000 -2.368151e-05 -3.666549e-06 -5.952243e-07 -2.247329e-07 -1.390575e-04 -5.826368e-05 -1.010467e-04 -9.029700e-05
 7686.000000 -2.370670e-05 -3.681276e-06 -5.978331e-07 -2.255944e-07 -1.435276e-04 -5.984081e-05 -1.009741e-04 -9.379277e-05
 7688.000000 -2.368946e-05 -3.684663e-06 -5.984548e-07 -2.258543e-07 -1.415607e-04 -4.776082e-05 -1.106071e-04 -1.009160e-04
 7689.000000 -2.360285e-05 -3.674429e-06 -5.968678e-07 -2.251465e-07 -1.388431e-04 -4.281210e-05 -1.168910e-04 -9.489784e-05
 7689.200000 -2.360070e-05 -3.675030e-06 -5.972072e-07 -2.251612e-07 -1.479719e-04 -4.882743e-05 -1.127266e-04 -9.625659e-05
 7689.400000 -2.362250e-05 -3.681811e-06 -5.982225e-07 -2.253985e-07 -1.478874e-04 -4.839492e-05 -1.084409e-04 -1.081418e-04
 7689.600000 -2.359405e-05 -3.677492e-06 -5.974608e-07 -2.252095e-07 -1.513586e-04 -4.839165e-05 -1.040747e-04 -9.455524e-05
 7689.800000 -2.371438e-05 -3.698556e-06 -6.007665e-07 -2.265219e-07 -1.488481e-04 -5.587924e-05 -9.819858e-05 -9.192117e-05
 7690.000000 -2.369870e-05 -3.696376e-06 -6.004792e-07 -2.264105e-07 -1.476657e-04 -6.130918e-05 -9.604029e-05 -9.396338e-05
 7690.200000 -2.378237e-05 -3.711158e-06 -6.028021e-07 -2.272983e-07 -1.477036e-04 -6.055995e-05 -9.745215e-05 -8.620990e-05
 7690.400000 -2.374808e-05 -3.705158e-06 -6.019786e-07 -2.270274e-07 -1.457267e-04 -5.606173e-05 -1.072796e-04 -8.373647e-05
 7690.600000 -2.374120e-05 -3.705783e-06 -6.020756e-07 -2.270442e-07 -1.382399e-04 -5.830080e-05 -1.066674e-04 -8.513260e-05
