# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.9554199758636
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.3290057635
# ISS.sample_y_position: 15.695945546499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:38:53
# Scan.end_time: 02/21/2022  13:39:17
# Scan.duration: 00:23
# Scan.transient_id: 196892
# Scan.uid: 19bebbab-66fa-4bc7-8f7d-9cdae471ccb3
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.815492e-05 -3.533733e-06 -2.120239e-07 -2.650719e-07 -9.663195e-05 -5.785747e-05 -7.448265e-05 -3.501595e-05
 8238.000000 -2.608670e-05 -5.094296e-06 -3.061063e-07 -3.790885e-07 -1.318697e-04 -7.340133e-05 -1.036205e-04 -5.192363e-05
 8243.000000 -2.613875e-05 -5.124695e-06 -3.082632e-07 -3.798620e-07 -1.261555e-04 -7.099122e-05 -1.032776e-04 -5.074866e-05
 8248.000000 -2.606786e-05 -5.131937e-06 -3.088373e-07 -3.798627e-07 -1.267617e-04 -7.754897e-05 -9.609049e-05 -5.053982e-05
 8253.000000 -2.618288e-05 -5.177091e-06 -3.114568e-07 -3.798619e-07 -1.293144e-04 -7.108047e-05 -9.694814e-05 -6.625660e-05
 8258.000000 -2.617941e-05 -5.197491e-06 -3.125812e-07 -3.798625e-07 -1.362830e-04 -7.327334e-05 -1.006209e-04 -9.847440e-05
 8263.000000 -2.615249e-05 -5.212870e-06 -3.136788e-07 -3.798623e-07 -1.354593e-04 -7.005660e-05 -1.132884e-04 -1.007044e-04
 8268.000000 -2.603259e-05 -5.209023e-06 -3.141095e-07 -3.798634e-07 -1.449589e-04 -6.111798e-05 -1.121774e-04 -9.500111e-05
 8273.000000 -2.608310e-05 -5.240380e-06 -3.171261e-07 -3.798647e-07 -1.457530e-04 -6.109828e-05 -1.083255e-04 -9.238729e-05
 8278.000000 -2.618089e-05 -5.281577e-06 -3.211534e-07 -3.798640e-07 -1.442507e-04 -6.359354e-05 -1.038850e-04 -9.327320e-05
 8283.000000 -2.626825e-05 -5.318788e-06 -3.251086e-07 -3.798643e-07 -1.446897e-04 -6.586566e-05 -1.031329e-04 -8.486183e-05
 8288.000000 -2.631297e-05 -5.346462e-06 -3.285224e-07 -3.798634e-07 -1.501303e-04 -6.150581e-05 -1.056103e-04 -7.584500e-05
 8293.000000 -2.625327e-05 -5.351596e-06 -3.305598e-07 -3.798639e-07 -1.557388e-04 -6.668733e-05 -9.510263e-05 -1.049160e-04
 8298.000000 -2.627594e-05 -5.372965e-06 -3.335077e-07 -3.798644e-07 -1.550047e-04 -7.139983e-05 -9.010755e-05 -1.156442e-04
 8303.000000 -2.625374e-05 -5.384161e-06 -3.358382e-07 -3.798649e-07 -1.582811e-04 -8.133494e-05 -9.200155e-05 -1.157815e-04
 8307.000000 -2.626084e-05 -5.396715e-06 -3.377415e-07 -3.798654e-07 -1.549404e-04 -8.169322e-05 -8.953416e-05 -1.122572e-04
 8310.000000 -2.637976e-05 -5.430054e-06 -3.405460e-07 -3.798657e-07 -1.582171e-04 -7.982932e-05 -9.622217e-05 -1.083221e-04
 8312.000000 -2.625975e-05 -5.408767e-06 -3.397003e-07 -3.798658e-07 -1.581691e-04 -6.492140e-05 -1.052299e-04 -1.062398e-04
 8313.000000 -2.621896e-05 -5.402012e-06 -3.395384e-07 -3.798649e-07 -1.636863e-04 -6.775361e-05 -1.047514e-04 -1.039655e-04
 8313.200000 -2.624571e-05 -5.408284e-06 -3.400411e-07 -3.798832e-07 -1.605064e-04 -6.970682e-05 -9.616898e-05 -1.010971e-04
 8313.400000 -2.628553e-05 -5.417707e-06 -3.406087e-07 -3.798652e-07 -1.501143e-04 -6.608678e-05 -1.089102e-04 -9.841536e-05
 8313.600000 -2.627144e-05 -5.415210e-06 -3.405089e-07 -3.798406e-07 -1.523699e-04 -7.186307e-05 -1.104333e-04 -9.817513e-05
 8313.800000 -2.628810e-05 -5.419207e-06 -3.408630e-07 -3.798955e-07 -1.543146e-04 -6.569239e-05 -9.878456e-05 -1.045606e-04
 8314.000000 -2.628189e-05 -5.418446e-06 -3.408719e-07 -3.798372e-07 -1.579947e-04 -6.744196e-05 -1.071891e-04 -1.024340e-04
 8314.200000 -2.638433e-05 -5.439482e-06 -3.421842e-07 -3.798925e-07 -1.517020e-04 -7.024725e-05 -1.028962e-04 -9.701215e-05
 8314.400000 -2.641208e-05 -5.445082e-06 -3.426559e-07 -3.798457e-07 -1.574871e-04 -5.776570e-05 -1.033209e-04 -9.389198e-05
 8314.600000 -2.645768e-05 -5.455006e-06 -3.433976e-07 -3.798866e-07 -1.563926e-04 -6.213192e-05 -1.085793e-04 -1.068931e-04
 8314.800000 -2.645833e-05 -5.457095e-06 -3.434147e-07 -3.798503e-07 -1.531650e-04 -5.956190e-05 -1.015246e-04 -1.090595e-04
 8315.000000 -2.646513e-05 -5.458357e-06 -3.434865e-07 -3.798841e-07 -1.591882e-04 -6.500698e-05 -1.140328e-04 -1.016888e-04
 8315.200000 -2.646916e-05 -5.459004e-06 -3.434993e-07 -3.798504e-07 -1.656335e-04 -7.069907e-05 -1.025682e-04 -1.003386e-04
 8315.400000 -2.644780e-05 -5.454345e-06 -3.431524e-07 -3.798707e-07 -1.577491e-04 -6.888326e-05 -1.093856e-04 -9.946975e-05
 8315.600000 -2.647352e-05 -5.459944e-06 -3.436760e-07 -3.798735e-07 -1.585935e-04 -5.748573e-05 -1.343485e-04 -1.008885e-04
 8315.800000 -2.648021e-05 -5.461200e-06 -3.439686e-07 -3.798721e-07 -1.550084e-04 -6.042765e-05 -1.215103e-04 -9.780563e-05
 8316.000000 -2.646207e-05 -5.457303e-06 -3.437606e-07 -3.798464e-07 -1.499842e-04 -5.178207e-05 -1.067109e-04 -1.003866e-04
 8316.200000 -2.644707e-05 -5.454348e-06 -3.435564e-07 -3.798572e-07 -1.511671e-04 -5.237876e-05 -1.050578e-04 -9.274967e-05
