# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.31362349603614
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.3290057635
# ISS.sample_y_position: 15.6959073995
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  13:16:06
# Scan.end_time: 02/21/2022  13:16:29
# Scan.duration: 00:23
# Scan.transient_id: 196851
# Scan.uid: d0d4d767-7eda-4b60-84f8-89a86f7255f2
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.398912e-06 -4.766426e-07 -3.809136e-08 -2.540135e-09 -9.942882e-05 -5.282738e-05 -3.209324e-05 -5.697422e-05
 6444.000000 -1.275990e-05 -7.290080e-07 -5.847372e-08 -3.889283e-09 -1.527951e-04 -8.317727e-05 -5.875424e-05 -8.360399e-05
 6449.000000 -1.283644e-05 -7.393362e-07 -5.956409e-08 -3.946482e-09 -1.440389e-04 -7.860978e-05 -6.179281e-05 -8.066784e-05
 6454.000000 -1.284037e-05 -7.457490e-07 -6.026249e-08 -3.984973e-09 -1.493700e-04 -6.987053e-05 -5.269528e-05 -7.490762e-05
 6459.000000 -1.299705e-05 -7.609041e-07 -6.169387e-08 -4.068375e-09 -1.556894e-04 -7.685787e-05 -5.915962e-05 -7.998474e-05
 6464.000000 -1.305029e-05 -7.700965e-07 -6.267372e-08 -4.128718e-09 -1.603538e-04 -7.980070e-05 -5.413541e-05 -9.128147e-05
 6469.000000 -1.306403e-05 -7.769064e-07 -6.348485e-08 -4.182458e-09 -1.579619e-04 -7.836820e-05 -4.980721e-05 -9.380973e-05
 6474.000000 -1.310208e-05 -7.851252e-07 -6.438309e-08 -4.234445e-09 -1.453895e-04 -7.029312e-05 -5.788866e-05 -9.082725e-05
 6479.000000 -1.317500e-05 -7.953198e-07 -6.550993e-08 -4.297148e-09 -1.441865e-04 -6.818883e-05 -6.543609e-05 -8.871327e-05
 6484.000000 -1.327478e-05 -8.074217e-07 -6.673348e-08 -4.380943e-09 -1.425536e-04 -6.487098e-05 -6.148855e-05 -8.693779e-05
 6489.000000 -1.335401e-05 -8.184163e-07 -6.794030e-08 -4.461488e-09 -1.469964e-04 -7.076028e-05 -5.350290e-05 -7.527341e-05
