# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.6032873806634
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 2nd 4_8V Co (pos   1) 0006
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -31.3290057635
# ISS.sample_y_position: 15.695945546499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  13:39:25
# Scan.end_time: 02/21/2022  13:39:48
# Scan.duration: 00:23
# Scan.transient_id: 196893
# Scan.uid: 47ea645c-83eb-466e-b02e-8c6c3e3c0f89
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.819984e-05 -3.543172e-06 -2.126942e-07 -2.651743e-07 -1.061932e-04 -6.136594e-05 -7.886756e-05 -6.287435e-05
 8238.000000 -2.607480e-05 -5.091719e-06 -3.060151e-07 -3.790919e-07 -1.502237e-04 -7.750882e-05 -1.182979e-04 -9.454337e-05
 8243.000000 -2.616942e-05 -5.130380e-06 -3.085511e-07 -3.798629e-07 -1.470430e-04 -8.322262e-05 -1.193512e-04 -9.234732e-05
 8248.000000 -2.618330e-05 -5.153456e-06 -3.099658e-07 -3.798634e-07 -1.500785e-04 -8.546918e-05 -1.172187e-04 -8.763101e-05
 8253.000000 -2.610630e-05 -5.159275e-06 -3.102860e-07 -3.798643e-07 -1.470485e-04 -8.145309e-05 -1.187010e-04 -7.483291e-05
 8258.000000 -2.608191e-05 -5.176153e-06 -3.112429e-07 -3.798640e-07 -1.512676e-04 -9.001399e-05 -1.304259e-04 -8.286220e-05
 8263.000000 -2.615768e-05 -5.212652e-06 -3.135484e-07 -3.798650e-07 -1.503909e-04 -9.010080e-05 -1.348457e-04 -8.660228e-05
 8268.000000 -2.624454e-05 -5.251340e-06 -3.164644e-07 -3.798649e-07 -1.494017e-04 -9.760710e-05 -1.333891e-04 -1.029864e-04
 8273.000000 -2.628167e-05 -5.279552e-06 -3.193049e-07 -3.798653e-07 -1.479412e-04 -9.848924e-05 -1.277175e-04 -9.801757e-05
 8278.000000 -2.620144e-05 -5.283087e-06 -3.211236e-07 -3.798646e-07 -1.523150e-04 -9.101019e-05 -1.201743e-04 -9.512000e-05
 8283.000000 -2.609988e-05 -5.281786e-06 -3.228177e-07 -3.798649e-07 -1.533493e-04 -8.871627e-05 -1.140573e-04 -9.405939e-05
 8288.000000 -2.620243e-05 -5.321777e-06 -3.269695e-07 -3.798651e-07 -1.596752e-04 -9.050095e-05 -1.096547e-04 -9.211822e-05
 8293.000000 -2.623183e-05 -5.345338e-06 -3.300583e-07 -3.798658e-07 -1.551301e-04 -8.192872e-05 -1.135230e-04 -9.901233e-05
 8298.000000 -2.619812e-05 -5.356528e-06 -3.325397e-07 -3.798658e-07 -1.559065e-04 -7.119359e-05 -1.134726e-04 -9.278660e-05
 8303.000000 -2.617800e-05 -5.369008e-06 -3.349940e-07 -3.798668e-07 -1.470362e-04 -8.168730e-05 -1.136469e-04 -9.601748e-05
 8307.000000 -2.629101e-05 -5.405416e-06 -3.384670e-07 -3.798685e-07 -1.374244e-04 -6.961347e-05 -1.066131e-04 -8.795484e-05
 8310.000000 -2.628801e-05 -5.413159e-06 -3.398123e-07 -3.798686e-07 -1.336599e-04 -6.668558e-05 -1.033975e-04 -8.762242e-05
 8312.000000 -2.630203e-05 -5.421605e-06 -3.408231e-07 -3.798684e-07 -1.387528e-04 -6.577396e-05 -1.099783e-04 -8.739853e-05
 8313.000000 -2.635129e-05 -5.433963e-06 -3.418337e-07 -3.798700e-07 -1.394336e-04 -6.919843e-05 -1.095965e-04 -7.916600e-05
 8313.200000 -2.631755e-05 -5.427552e-06 -3.414606e-07 -3.798691e-07 -1.400460e-04 -6.312851e-05 -1.009600e-04 -8.033835e-05
 8313.400000 -2.630387e-05 -5.424832e-06 -3.412198e-07 -3.798678e-07 -1.400399e-04 -7.167711e-05 -1.002571e-04 -9.190973e-05
 8313.600000 -2.636090e-05 -5.437526e-06 -3.421225e-07 -3.798841e-07 -1.383132e-04 -7.125253e-05 -1.129132e-04 -9.590877e-05
 8313.800000 -2.632729e-05 -5.430811e-06 -3.418902e-07 -3.798639e-07 -1.430259e-04 -8.310558e-05 -1.217882e-04 -9.846612e-05
 8314.000000 -2.636291e-05 -5.437405e-06 -3.423068e-07 -3.798673e-07 -1.493803e-04 -8.266403e-05 -1.267435e-04 -9.724321e-05
 8314.200000 -2.627754e-05 -5.420918e-06 -3.412226e-07 -3.798321e-07 -1.527465e-04 -8.180636e-05 -1.332189e-04 -9.717586e-05
 8314.400000 -2.634843e-05 -5.434605e-06 -3.421722e-07 -3.799478e-07 -1.515100e-04 -6.992137e-05 -1.215499e-04 -9.208962e-05
 8314.600000 -2.633802e-05 -5.433393e-06 -3.421728e-07 -3.798072e-07 -1.531901e-04 -7.345462e-05 -1.384516e-04 -1.046434e-04
 8314.800000 -2.636299e-05 -5.439968e-06 -3.426467e-07 -3.798810e-07 -1.495087e-04 -7.051135e-05 -1.315597e-04 -9.944344e-05
 8315.000000 -2.638379e-05 -5.444904e-06 -3.431221e-07 -3.798687e-07 -1.532847e-04 -7.393482e-05 -1.136651e-04 -9.368144e-05
 8315.200000 -2.639605e-05 -5.447823e-06 -3.432606e-07 -3.798946e-07 -1.526803e-04 -7.532427e-05 -1.308325e-04 -1.020214e-04
 8315.400000 -2.640021e-05 -5.448188e-06 -3.432821e-07 -3.797957e-07 -1.630378e-04 -7.971030e-05 -1.266479e-04 -1.047095e-04
 8315.600000 -2.637424e-05 -5.443308e-06 -3.431341e-07 -3.799222e-07 -1.700377e-04 -7.544495e-05 -1.233859e-04 -1.088937e-04
 8315.800000 -2.632833e-05 -5.434028e-06 -3.426005e-07 -3.798963e-07 -1.652829e-04 -7.965280e-05 -1.269417e-04 -1.149289e-04
 8316.000000 -2.620432e-05 -5.407594e-06 -3.409718e-07 -3.798493e-07 -1.645761e-04 -8.144338e-05 -1.103160e-04 -1.097325e-04
 8316.200000 -2.625640e-05 -5.418469e-06 -3.416401e-07 -3.798551e-07 -1.645596e-04 -8.410136e-05 -1.201986e-04 -1.039110e-04
 8316.400000 -2.623962e-05 -5.415871e-06 -3.415339e-07 -3.799005e-07 -1.599020e-04 -9.037631e-05 -1.083025e-04 -1.012763e-04
 8316.600000 -2.629212e-05 -5.426456e-06 -3.423668e-07 -3.798377e-07 -1.491636e-04 -8.107127e-05 -1.178826e-04 -9.140192e-05
 8316.800000 -2.632586e-05 -5.434618e-06 -3.428342e-07 -3.799063e-07 -1.512673e-04 -7.161435e-05 -1.117380e-04 -9.356457e-05
 8317.000000 -2.629436e-05 -5.428461e-06 -3.423973e-07 -3.798588e-07 -1.462038e-04 -7.466805e-05 -1.039843e-04 -9.448805e-05
 8317.200000 -2.633192e-05 -5.436205e-06 -3.431778e-07 -3.798358e-07 -1.563507e-04 -7.165283e-05 -1.197832e-04 -9.353716e-05
 8317.400000 -2.629877e-05 -5.429067e-06 -3.426892e-07 -3.798839e-07 -1.497682e-04 -7.183146e-05 -1.141411e-04 -8.516456e-05
 8317.600000 -2.634726e-05 -5.438480e-06 -3.433143e-07 -3.799262e-07 -1.467215e-04 -7.174526e-05 -1.283117e-04 -9.969088e-05
 8317.800000 -2.637290e-05 -5.444628e-06 -3.438212e-07 -3.798259e-07 -1.481232e-04 -8.497785e-05 -1.299613e-04 -1.046718e-04
 8318.000000 -2.638981e-05 -5.448723e-06 -3.440819e-07 -3.798818e-07 -1.653668e-04 -8.361342e-05 -1.420196e-04 -1.002837e-04
 8318.200000 -2.639664e-05 -5.452507e-06 -3.443214e-07 -3.798799e-07 -1.676711e-04 -7.903081e-05 -1.391899e-04 -9.587592e-05
 8318.400000 -2.640171e-05 -5.453275e-06 -3.444371e-07 -3.798659e-07 -1.598371e-04 -8.295368e-05 -1.251364e-04 -8.152983e-05
 8318.600000 -2.641609e-05 -5.456202e-06 -3.446656e-07 -3.798599e-07 -1.681098e-04 -8.689868e-05 -1.195416e-04 -8.827207e-05
 8318.800000 -2.640451e-05 -5.453695e-06 -3.447969e-07 -3.798902e-07 -1.593819e-04 -8.667395e-05 -1.260232e-04 -1.015274e-04
 8319.000000 -2.637794e-05 -5.448772e-06 -3.445206e-07 -3.798617e-07 -1.485594e-04 -9.037071e-05 -1.214544e-04 -9.059165e-05
 8319.200000 -2.634389e-05 -5.440980e-06 -3.441075e-07 -3.798934e-07 -1.525298e-04 -8.460945e-05 -1.227669e-04 -9.083519e-05
 8319.400000 -2.635320e-05 -5.443911e-06 -3.442458e-07 -3.798293e-07 -1.602547e-04 -7.930900e-05 -1.282248e-04 -9.129481e-05
 8319.600000 -2.635934e-05 -5.443587e-06 -3.442074e-07 -3.799181e-07 -1.525950e-04 -8.253302e-05 -1.038851e-04 -8.545275e-05
 8319.800000 -2.630424e-05 -5.432940e-06 -3.435886e-07 -3.798355e-07 -1.503389e-04 -8.087348e-05 -1.216571e-04 -8.311396e-05
 8320.000000 -2.633795e-05 -5.439199e-06 -3.440118e-07 -3.799087e-07 -1.480517e-04 -7.896916e-05 -1.290207e-04 -7.987956e-05
 8320.200000 -2.631709e-05 -5.434887e-06 -3.439128e-07 -3.798221e-07 -1.441353e-04 -7.998644e-05 -1.327201e-04 -8.693358e-05
 8320.400000 -2.631755e-05 -5.434939e-06 -3.440040e-07 -3.799117e-07 -1.522293e-04 -7.221013e-05 -1.221754e-04 -8.911180e-05
 8320.600000 -2.634655e-05 -5.441945e-06 -3.444922e-07 -3.798519e-07 -1.615417e-04 -6.669658e-05 -1.223535e-04 -1.050011e-04
 8320.800000 -2.634424e-05 -5.441261e-06 -3.444608e-07 -3.798654e-07 -1.561457e-04 -7.307208e-05 -1.146143e-04 -1.006787e-04
 8321.000000 -2.634741e-05 -5.442529e-06 -3.446222e-07 -3.798315e-07 -1.490467e-04 -7.802408e-05 -1.111345e-04 -8.676030e-05
 8321.200000 -2.630543e-05 -5.431495e-06 -3.439506e-07 -3.799602e-07 -1.471053e-04 -7.412390e-05 -1.240855e-04 -8.909825e-05
 8321.400000 -2.630924e-05 -5.431593e-06 -3.440017e-07 -3.797891e-07 -1.474411e-04 -8.068079e-05 -1.206512e-04 -9.479376e-05
 8321.600000 -2.623797e-05 -5.417018e-06 -3.432894e-07 -3.798760e-07 -1.450413e-04 -8.519485e-05 -1.176522e-04 -8.563996e-05
 8321.800000 -2.631005e-05 -5.432141e-06 -3.441117e-07 -3.798916e-07 -1.331329e-04 -9.280477e-05 -1.199618e-04 -9.188953e-05
 8322.000000 -2.625051e-05 -5.419373e-06 -3.434049e-07 -3.798909e-07 -1.324262e-04 -7.633038e-05 -1.080192e-04 -8.869277e-05
 8322.200000 -2.627150e-05 -5.423679e-06 -3.436453e-07 -3.798113e-07 -1.329430e-04 -8.012231e-05 -1.203181e-04 -9.459712e-05
 8322.400000 -2.628610e-05 -5.427043e-06 -3.438912e-07 -3.798911e-07 -1.356882e-04 -7.791637e-05 -1.288560e-04 -9.787968e-05
 8322.600000 -2.627209e-05 -5.424068e-06 -3.438885e-07 -3.798532e-07 -1.297525e-04 -8.177489e-05 -1.159657e-04 -8.899570e-05
 8322.800000 -2.629436e-05 -5.427330e-06 -3.440690e-07 -3.798802e-07 -1.352096e-04 -8.282211e-05 -1.191399e-04 -8.148034e-05
 8323.000000 -2.630385e-05 -5.430193e-06 -3.444203e-07 -3.798821e-07 -1.509459e-04 -8.478369e-05 -1.234334e-04 -9.516127e-05
 8323.200000 -2.629237e-05 -5.425718e-06 -3.441161e-07 -3.798646e-07 -1.488852e-04 -7.979685e-05 -1.196580e-04 -9.072550e-05
