# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.0467723168755
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 3V  Co 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -12.628678791
# ISS.sample_y_position: 14.7960959635
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  11:54:28
# Scan.end_time: 02/21/2022  11:54:54
# Scan.duration: 00:26
# Scan.transient_id: 196793
# Scan.uid: 6576ffc5-5b50-4597-840d-971c79143097
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.559057e-05 -1.350349e-06 -2.295748e-07 -9.203197e-08 -5.890965e-05 -1.985140e-05 -4.652933e-05 -5.407920e-05
 7614.000000 -2.314325e-05 -2.011224e-06 -3.423564e-07 -1.371079e-07 -7.567605e-05 -3.346190e-05 -6.715595e-05 -7.895894e-05
 7619.000000 -2.314313e-05 -2.025562e-06 -3.453056e-07 -1.376368e-07 -7.444598e-05 -2.904826e-05 -7.396255e-05 -8.011733e-05
 7624.000000 -2.318345e-05 -2.040168e-06 -3.484654e-07 -1.385056e-07 -7.879827e-05 -2.769391e-05 -7.653711e-05 -7.327200e-05
 7629.000000 -2.333666e-05 -2.058938e-06 -3.522451e-07 -1.401390e-07 -7.544711e-05 -2.614460e-05 -6.669472e-05 -6.945584e-05
 7634.000000 -2.339689e-05 -2.074687e-06 -3.555005e-07 -1.411669e-07 -7.493985e-05 -3.601994e-05 -6.776321e-05 -6.751049e-05
 7639.000000 -2.338529e-05 -2.087428e-06 -3.582539e-07 -1.417156e-07 -7.668217e-05 -4.040442e-05 -7.126471e-05 -7.469421e-05
 7644.000000 -2.331572e-05 -2.096522e-06 -3.603809e-07 -1.418719e-07 -7.443685e-05 -3.203263e-05 -6.787235e-05 -7.920347e-05
 7649.000000 -2.338675e-05 -2.112244e-06 -3.635898e-07 -1.430129e-07 -7.739936e-05 -2.506236e-05 -7.448772e-05 -7.843173e-05
 7654.000000 -2.344969e-05 -2.126366e-06 -3.664908e-07 -1.440860e-07 -8.072248e-05 -2.909762e-05 -7.259111e-05 -7.807225e-05
 7659.000000 -2.351466e-05 -2.145272e-06 -3.702762e-07 -1.451647e-07 -8.281535e-05 -2.717543e-05 -6.741971e-05 -6.632982e-05
 7664.000000 -2.352184e-05 -2.160045e-06 -3.734957e-07 -1.458810e-07 -8.137646e-05 -2.720988e-05 -5.811065e-05 -6.801256e-05
 7669.000000 -2.356556e-05 -2.174508e-06 -3.764445e-07 -1.468454e-07 -8.901953e-05 -2.368138e-05 -5.992186e-05 -6.179540e-05
 7674.000000 -2.351911e-05 -2.184298e-06 -3.785380e-07 -1.472325e-07 -7.985869e-05 -2.826232e-05 -6.158648e-05 -6.383144e-05
 7679.000000 -2.356159e-05 -2.201015e-06 -3.818829e-07 -1.482629e-07 -8.144814e-05 -2.779942e-05 -6.388690e-05 -6.136440e-05
 7683.000000 -2.362681e-05 -2.215147e-06 -3.844925e-07 -1.493611e-07 -8.140477e-05 -2.601826e-05 -6.108229e-05 -6.044702e-05
