# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.64975860950256
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 3V  Co 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -12.6301093035
# ISS.sample_y_position: 14.7960959635
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  11:55:02
# Scan.end_time: 02/21/2022  11:55:26
# Scan.duration: 00:24
# Scan.transient_id: 196794
# Scan.uid: b459fb06-c8c0-47ce-b8d3-c5bc32077988
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.567552e-05 -1.361548e-06 -2.313896e-07 -9.233862e-08 -5.067169e-05 -2.466052e-05 -5.403250e-05 -5.054653e-05
 7614.000000 -2.320717e-05 -2.025229e-06 -3.445779e-07 -1.371834e-07 -7.139594e-05 -3.541471e-05 -8.295783e-05 -7.369589e-05
 7619.000000 -2.325825e-05 -2.041660e-06 -3.479800e-07 -1.380974e-07 -6.699241e-05 -3.515945e-05 -7.501479e-05 -6.953801e-05
 7624.000000 -2.332455e-05 -2.059607e-06 -3.516794e-07 -1.390891e-07 -6.519632e-05 -3.330180e-05 -6.399500e-05 -6.706216e-05
 7629.000000 -2.342145e-05 -2.078930e-06 -3.556684e-07 -1.402546e-07 -7.161575e-05 -4.194340e-05 -6.384170e-05 -6.339810e-05
 7634.000000 -2.340237e-05 -2.090697e-06 -3.582631e-07 -1.407348e-07 -7.303826e-05 -4.830812e-05 -6.480686e-05 -6.472206e-05
 7639.000000 -2.343368e-05 -2.105185e-06 -3.613238e-07 -1.415639e-07 -7.254833e-05 -3.914272e-05 -6.296568e-05 -5.842217e-05
 7644.000000 -2.344558e-05 -2.116381e-06 -3.638164e-07 -1.423141e-07 -6.784048e-05 -3.926158e-05 -6.320720e-05 -5.188800e-05
 7649.000000 -2.345873e-05 -2.129157e-06 -3.665901e-07 -1.430479e-07 -6.731002e-05 -4.584259e-05 -5.746877e-05 -5.664666e-05
 7654.000000 -2.346673e-05 -2.142090e-06 -3.693479e-07 -1.437026e-07 -6.425036e-05 -4.749636e-05 -5.394029e-05 -6.443443e-05
 7659.000000 -2.347930e-05 -2.158415e-06 -3.728451e-07 -1.443888e-07 -6.410202e-05 -5.144532e-05 -5.691449e-05 -6.873497e-05
