# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.900514484701
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 3V  Co 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -12.630052082999999
# ISS.sample_y_position: 14.796115037
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  11:55:35
# Scan.end_time: 02/21/2022  11:56:01
# Scan.duration: 00:26
# Scan.transient_id: 196795
# Scan.uid: d09b3706-f0c2-425e-bdda-8da40f347b9c
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.566301e-05 -1.358760e-06 -2.309948e-07 -9.222705e-08 -4.685193e-05 -3.606592e-05 -4.115991e-05 -3.677039e-05
 7614.000000 -2.314411e-05 -2.019258e-06 -3.437800e-07 -1.366884e-07 -7.535467e-05 -5.220813e-05 -5.764562e-05 -4.729325e-05
 7619.000000 -2.323979e-05 -2.041700e-06 -3.483936e-07 -1.377635e-07 -7.949064e-05 -5.378515e-05 -5.735739e-05 -3.993536e-05
 7624.000000 -2.330842e-05 -2.058447e-06 -3.519191e-07 -1.388192e-07 -7.065446e-05 -4.164998e-05 -6.004946e-05 -3.079461e-05
 7629.000000 -2.337893e-05 -2.074294e-06 -3.551344e-07 -1.399024e-07 -6.736139e-05 -3.767326e-05 -5.340651e-05 -2.527218e-05
 7634.000000 -2.343062e-05 -2.089582e-06 -3.582027e-07 -1.408839e-07 -7.132269e-05 -3.937387e-05 -5.654062e-05 -2.708267e-05
 7639.000000 -2.342274e-05 -2.102546e-06 -3.610181e-07 -1.414062e-07 -6.997643e-05 -3.940301e-05 -5.123382e-05 -3.488899e-05
 7644.000000 -2.347986e-05 -2.118423e-06 -3.644544e-07 -1.424237e-07 -7.739794e-05 -4.242821e-05 -4.268087e-05 -3.556717e-05
 7649.000000 -2.348379e-05 -2.130021e-06 -3.671191e-07 -1.430771e-07 -8.314726e-05 -3.557722e-05 -5.872440e-05 -3.667040e-05
 7654.000000 -2.347972e-05 -2.139482e-06 -3.692479e-07 -1.437374e-07 -7.510254e-05 -4.057225e-05 -5.919383e-05 -4.258631e-05
 7659.000000 -2.355900e-05 -2.158775e-06 -3.730662e-07 -1.449245e-07 -6.628375e-05 -4.069521e-05 -6.152983e-05 -5.134315e-05
