# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.5185053929102
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 3V  Co 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -12.6300330095
# ISS.sample_y_position: 14.7960959635
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  11:56:09
# Scan.end_time: 02/21/2022  11:56:32
# Scan.duration: 00:23
# Scan.transient_id: 196796
# Scan.uid: 524c89ea-a842-4497-b925-56f3670d1349
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.563402e-05 -1.355746e-06 -2.305442e-07 -9.204385e-08 -4.896571e-05 -4.291047e-05 -5.083176e-05 -3.509115e-05
 7614.000000 -2.313981e-05 -2.018045e-06 -3.437513e-07 -1.366274e-07 -7.705944e-05 -6.754474e-05 -7.799683e-05 -5.307875e-05
 7619.000000 -2.318925e-05 -2.036689e-06 -3.475571e-07 -1.374533e-07 -7.659054e-05 -6.125317e-05 -7.474908e-05 -5.551226e-05
 7624.000000 -2.319471e-05 -2.049161e-06 -3.503131e-07 -1.380877e-07 -7.835717e-05 -5.622241e-05 -7.298755e-05 -6.011927e-05
 7629.000000 -2.332527e-05 -2.068390e-06 -3.542015e-07 -1.395934e-07 -8.529201e-05 -5.248470e-05 -6.240636e-05 -5.600293e-05
 7634.000000 -2.338626e-05 -2.084260e-06 -3.575152e-07 -1.405909e-07 -8.796201e-05 -5.199182e-05 -6.376072e-05 -5.270010e-05
 7639.000000 -2.337429e-05 -2.098112e-06 -3.604432e-07 -1.410795e-07 -8.039930e-05 -5.569882e-05 -6.234137e-05 -5.216849e-05
 7644.000000 -2.338672e-05 -2.110607e-06 -3.631071e-07 -1.417742e-07 -8.225214e-05 -6.148652e-05 -6.867928e-05 -4.927111e-05
 7649.000000 -2.338503e-05 -2.122428e-06 -3.656753e-07 -1.424770e-07 -8.094954e-05 -4.966344e-05 -7.756499e-05 -4.756577e-05
 7654.000000 -2.346061e-05 -2.135841e-06 -3.685578e-07 -1.436575e-07 -8.087617e-05 -4.521930e-05 -9.028211e-05 -4.945228e-05
 7659.000000 -2.350356e-05 -2.152131e-06 -3.718827e-07 -1.446029e-07 -7.995252e-05 -4.894484e-05 -7.273666e-05 -5.290317e-05
