# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.2014454843379
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 3V  Co 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -12.6300330095
# ISS.sample_y_position: 14.796134110499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  11:56:41
# Scan.end_time: 02/21/2022  11:57:06
# Scan.duration: 00:25
# Scan.transient_id: 196797
# Scan.uid: c2dfd422-8550-4831-ae8a-3cef48a04a67
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.566936e-05 -1.360277e-06 -2.312283e-07 -9.206157e-08 -3.133889e-05 -3.259047e-05 -4.111862e-05 -3.537330e-05
 7614.000000 -2.315882e-05 -2.022494e-06 -3.443021e-07 -1.364897e-07 -4.854574e-05 -3.539555e-05 -6.090542e-05 -6.628811e-05
 7619.000000 -2.329485e-05 -2.044620e-06 -3.487140e-07 -1.378977e-07 -5.109444e-05 -3.776976e-05 -6.439883e-05 -6.440240e-05
 7624.000000 -2.331063e-05 -2.057184e-06 -3.514095e-07 -1.386110e-07 -5.124949e-05 -4.022944e-05 -5.656227e-05 -6.149127e-05
 7629.000000 -2.323044e-05 -2.063934e-06 -3.531420e-07 -1.387110e-07 -5.152226e-05 -3.395400e-05 -6.185386e-05 -6.368537e-05
 7634.000000 -2.338869e-05 -2.086081e-06 -3.574354e-07 -1.404028e-07 -5.844637e-05 -3.740608e-05 -5.481414e-05 -6.073184e-05
 7639.000000 -2.346858e-05 -2.103922e-06 -3.610394e-07 -1.414919e-07 -6.401915e-05 -3.909580e-05 -5.406127e-05 -6.792405e-05
 7644.000000 -2.350701e-05 -2.118801e-06 -3.642916e-07 -1.423429e-07 -5.879627e-05 -3.621791e-05 -7.185129e-05 -6.783116e-05
 7649.000000 -2.353045e-05 -2.132164e-06 -3.671804e-07 -1.431513e-07 -5.147127e-05 -3.413719e-05 -7.131994e-05 -6.837217e-05
 7654.000000 -2.350624e-05 -2.142149e-06 -3.694228e-07 -1.436569e-07 -5.376339e-05 -3.705883e-05 -7.434603e-05 -6.950521e-05
 7659.000000 -2.360923e-05 -2.161888e-06 -3.733697e-07 -1.450118e-07 -5.270884e-05 -2.609874e-05 -7.411542e-05 -6.590353e-05
 7664.000000 -2.363557e-05 -2.175971e-06 -3.762171e-07 -1.458644e-07 -5.455231e-05 -2.630062e-05 -7.829247e-05 -5.905197e-05
 7669.000000 -2.369252e-05 -2.191914e-06 -3.794508e-07 -1.469625e-07 -6.384542e-05 -3.256984e-05 -7.713619e-05 -5.749795e-05
 7674.000000 -2.367285e-05 -2.203831e-06 -3.819571e-07 -1.475384e-07 -6.127540e-05 -3.881034e-05 -7.414596e-05 -5.391038e-05
 7679.000000 -2.371478e-05 -2.219873e-06 -3.851065e-07 -1.485547e-07 -5.542082e-05 -4.116439e-05 -7.829078e-05 -3.483833e-05
