# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.50266747235827
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 3V  Mn 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -13.729601211
# ISS.sample_y_position: 14.7960959635
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  11:50:46
# Scan.end_time: 02/21/2022  11:51:09
# Scan.duration: 00:23
# Scan.transient_id: 196788
# Scan.uid: cd847a87-a38d-45c9-9742-36be48f47c48
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.418227e-06 -2.870693e-07 -2.626791e-08 -2.413516e-09 -4.654318e-05 -4.182930e-05 -5.825040e-06 -3.237813e-05
 6444.000000 -1.274431e-05 -4.382677e-07 -4.022985e-08 -3.684964e-09 -7.081707e-05 -6.386715e-05 -7.393886e-06 -4.380561e-05
 6449.000000 -1.282564e-05 -4.446528e-07 -4.095681e-08 -3.747013e-09 -8.166913e-05 -5.784347e-05 -1.019871e-05 -3.889160e-05
 6454.000000 -1.293563e-05 -4.516647e-07 -4.176427e-08 -3.822102e-09 -8.149469e-05 -4.851906e-05 -5.984988e-06 -3.877949e-05
 6459.000000 -1.299801e-05 -4.577791e-07 -4.246109e-08 -3.877790e-09 -7.507737e-05 -4.504126e-05 -1.238781e-05 -4.234135e-05
 6464.000000 -1.305141e-05 -4.639384e-07 -4.320703e-08 -3.934325e-09 -7.262962e-05 -5.031109e-05 -2.335191e-05 -4.435276e-05
 6469.000000 -1.309680e-05 -4.696350e-07 -4.391582e-08 -3.998628e-09 -6.755395e-05 -5.793726e-05 -2.258520e-05 -5.070407e-05
 6474.000000 -1.321742e-05 -4.775724e-07 -4.478153e-08 -4.084559e-09 -5.119712e-05 -6.354605e-05 -3.598605e-05 -4.121675e-05
 6479.000000 -1.330066e-05 -4.845475e-07 -4.558057e-08 -4.161550e-09 -5.313359e-05 -7.186872e-05 -3.524327e-05 -3.862681e-05
 6484.000000 -1.335921e-05 -4.906582e-07 -4.632197e-08 -4.232787e-09 -5.526794e-05 -6.100327e-05 -3.427670e-05 -4.992481e-05
 6489.000000 -1.343420e-05 -4.976607e-07 -4.714645e-08 -4.301081e-09 -5.798729e-05 -5.439382e-05 -3.398769e-05 -5.379900e-05
 6494.000000 -1.347031e-05 -5.029388e-07 -4.777588e-08 -4.366139e-09 -5.815876e-05 -5.905926e-05 -2.550954e-05 -4.991696e-05
