# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.1524096852036
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 3V  Mn 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -13.730020827999999
# ISS.sample_y_position: 14.796115037
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  11:51:18
# Scan.end_time: 02/21/2022  11:51:44
# Scan.duration: 00:25
# Scan.transient_id: 196789
# Scan.uid: 77672920-221c-45f7-bd9f-194c83ac1919
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.472302e-06 -2.885353e-07 -2.640416e-08 -2.430605e-09 -4.991085e-05 -3.306709e-05 -2.657675e-05 -7.044342e-06
 6444.000000 -1.283568e-05 -4.403067e-07 -4.044927e-08 -3.708710e-09 -7.594686e-05 -4.176083e-05 -3.769695e-05 -1.955261e-05
 6449.000000 -1.294348e-05 -4.480329e-07 -4.129009e-08 -3.783768e-09 -7.163015e-05 -4.363366e-05 -4.257198e-05 -5.319779e-05
 6454.000000 -1.297715e-05 -4.530442e-07 -4.182891e-08 -3.831644e-09 -7.170459e-05 -4.123812e-05 -4.078359e-05 -5.123089e-05
 6459.000000 -1.306426e-05 -4.597786e-07 -4.261868e-08 -3.898541e-09 -7.361014e-05 -4.665930e-05 -3.839159e-05 -4.299965e-05
 6464.000000 -1.315208e-05 -4.662541e-07 -4.342767e-08 -3.976137e-09 -6.674412e-05 -3.888596e-05 -4.128212e-05 -4.365095e-05
 6469.000000 -1.317865e-05 -4.713564e-07 -4.401886e-08 -4.029642e-09 -6.773319e-05 -4.621539e-05 -3.041265e-05 -3.665891e-05
 6474.000000 -1.324718e-05 -4.781938e-07 -4.481356e-08 -4.091197e-09 -7.111258e-05 -4.667098e-05 -2.310160e-05 -3.723704e-05
 6479.000000 -1.332000e-05 -4.844465e-07 -4.555060e-08 -4.160899e-09 -6.315732e-05 -4.905580e-05 -2.712650e-05 -4.444926e-05
 6484.000000 -1.339426e-05 -4.910054e-07 -4.629503e-08 -4.244511e-09 -6.684664e-05 -4.777413e-05 -4.668287e-05 -4.345736e-05
 6489.000000 -1.345888e-05 -4.971762e-07 -4.699363e-08 -4.317900e-09 -7.711596e-05 -4.649503e-05 -4.699741e-05 -3.973553e-05
 6494.000000 -1.349518e-05 -5.029511e-07 -4.772841e-08 -4.378774e-09 -6.963722e-05 -4.667416e-05 -3.479939e-05 -4.289071e-05
 6499.000000 -1.353927e-05 -5.086624e-07 -4.844415e-08 -4.452212e-09 -6.776315e-05 -5.018949e-05 -3.469333e-05 -2.711204e-05
 6504.000000 -1.360487e-05 -5.151919e-07 -4.928146e-08 -4.526181e-09 -7.616486e-05 -4.734277e-05 -2.652014e-05 -5.945586e-06
 6509.000000 -1.362487e-05 -5.205551e-07 -4.998452e-08 -4.603229e-09 -7.573848e-05 -3.975401e-05 -2.587855e-05 -6.532288e-06
 6513.000000 -1.360501e-05 -5.237408e-07 -5.037677e-08 -4.661169e-09 -8.442372e-05 -4.202994e-05 -3.257431e-05 -7.807923e-06
 6516.000000 -1.373564e-05 -5.316221e-07 -5.129883e-08 -4.731389e-09 -8.192483e-05 -3.763280e-05 -3.545678e-05 -1.620305e-05
 6518.000000 -1.374860e-05 -5.341475e-07 -5.165817e-08 -4.760318e-09 -7.745673e-05 -3.651058e-05 -3.030488e-05 -1.855947e-05
 6519.000000 -1.377082e-05 -5.360713e-07 -5.186174e-08 -4.777183e-09 -7.473395e-05 -2.748287e-05 -2.261974e-05 -1.313346e-05
 6519.200000 -1.377719e-05 -5.361584e-07 -5.187404e-08 -4.770359e-09 -7.424754e-05 -2.710576e-05 -1.288320e-05 -9.966569e-06
 6519.400000 -1.377593e-05 -5.361517e-07 -5.176923e-08 -4.787389e-09 -7.285562e-05 -2.686795e-05 -2.920075e-05 -8.542135e-06
 6519.600000 -1.378319e-05 -5.370678e-07 -5.199146e-08 -4.786605e-09 -7.306917e-05 -3.782790e-05 -3.154337e-05 -1.023873e-05
 6519.800000 -1.377826e-05 -5.366810e-07 -5.199123e-08 -4.790381e-09 -6.954657e-05 -4.235211e-05 -3.552999e-05 -1.289809e-05
 6520.000000 -1.378619e-05 -5.367093e-07 -5.193536e-08 -4.815496e-09 -6.491221e-05 -3.754761e-05 -4.394237e-05 -1.261124e-05
 6520.200000 -1.378801e-05 -5.370869e-07 -5.194063e-08 -4.816826e-09 -6.421764e-05 -3.729931e-05 -3.448239e-05 -1.792632e-05
 6520.400000 -1.378805e-05 -5.377474e-07 -5.201876e-08 -4.819038e-09 -6.277360e-05 -3.272839e-05 -3.453376e-05 -1.872882e-05
 6520.600000 -1.377607e-05 -5.375044e-07 -5.198205e-08 -4.824172e-09 -6.055501e-05 -2.338438e-05 -1.858052e-05 -6.910356e-06
