# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.8119936079354
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 3V  Mn 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -13.730020827999999
# ISS.sample_y_position: 14.796134110499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  11:51:53
# Scan.end_time: 02/21/2022  11:52:15
# Scan.duration: 00:22
# Scan.transient_id: 196790
# Scan.uid: e490211c-f88f-4086-b428-e654abb14018
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.362360e-06 -2.871619e-07 -2.637678e-08 -2.396412e-09 -4.523289e-05 -3.967652e-05 -2.520207e-05 -1.264305e-05
 6444.000000 -1.273597e-05 -4.404770e-07 -4.051361e-08 -3.679206e-09 -6.797044e-05 -6.047747e-05 -3.486482e-05 -1.462219e-05
 6449.000000 -1.279750e-05 -4.462027e-07 -4.117636e-08 -3.733392e-09 -6.510359e-05 -5.660598e-05 -2.754341e-05 -1.220585e-05
 6454.000000 -1.282619e-05 -4.505610e-07 -4.169421e-08 -3.786228e-09 -5.344811e-05 -6.004018e-05 -2.459574e-05 -8.184810e-06
 6459.000000 -1.293747e-05 -4.577342e-07 -4.249619e-08 -3.858893e-09 -5.801369e-05 -6.436219e-05 -2.430847e-05 -7.285375e-06
 6464.000000 -1.303348e-05 -4.649960e-07 -4.329029e-08 -3.935603e-09 -5.439689e-05 -6.530041e-05 -2.027276e-05 -6.287198e-06
 6469.000000 -1.307580e-05 -4.699192e-07 -4.394139e-08 -3.998137e-09 -5.760066e-05 -6.121128e-05 -1.183838e-05 -7.060499e-06
 6474.000000 -1.317146e-05 -4.767841e-07 -4.472341e-08 -4.068052e-09 -5.460096e-05 -5.879123e-05 -2.566305e-05 -1.326623e-05
 6479.000000 -1.326559e-05 -4.842671e-07 -4.558327e-08 -4.154001e-09 -6.339000e-05 -5.812172e-05 -2.781580e-05 -8.467097e-06
 6484.000000 -1.332094e-05 -4.903884e-07 -4.628131e-08 -4.224219e-09 -6.471155e-05 -6.292961e-05 -3.222897e-05 -6.836203e-06
 6489.000000 -1.336441e-05 -4.954688e-07 -4.692444e-08 -4.286919e-09 -5.978461e-05 -6.067976e-05 -4.067118e-05 -1.407396e-05
 6494.000000 -1.335856e-05 -4.990269e-07 -4.739850e-08 -4.338943e-09 -6.290889e-05 -5.848928e-05 -3.707191e-05 -4.463715e-05
 6499.000000 -1.343658e-05 -5.057084e-07 -4.818352e-08 -4.419261e-09 -5.799571e-05 -5.837854e-05 -3.093931e-05 -2.456218e-05
 6504.000000 -1.352495e-05 -5.130271e-07 -4.903053e-08 -4.505931e-09 -5.750116e-05 -6.626189e-05 -3.322003e-05 -2.313053e-05
 6509.000000 -1.352153e-05 -5.177143e-07 -4.964676e-08 -4.570746e-09 -5.232590e-05 -6.730343e-05 -4.911178e-05 -4.300498e-05
 6513.000000 -1.351522e-05 -5.206278e-07 -5.008073e-08 -4.632924e-09 -4.448217e-05 -5.618609e-05 -5.451972e-05 -1.446644e-05
 6516.000000 -1.367771e-05 -5.295804e-07 -5.103725e-08 -4.707670e-09 -6.023699e-05 -5.679010e-05 -4.747141e-05 -1.952405e-05
 6518.000000 -1.374107e-05 -5.334227e-07 -5.151552e-08 -4.760864e-09 -5.896266e-05 -6.559262e-05 -4.684377e-05 -2.529096e-05
 6519.000000 -1.377792e-05 -5.350194e-07 -5.172541e-08 -4.790446e-09 -5.681639e-05 -6.388237e-05 -4.037994e-05 -1.832725e-05
 6519.200000 -1.378016e-05 -5.346674e-07 -5.167211e-08 -4.800635e-09 -5.700614e-05 -5.559890e-05 -3.369053e-05 -1.911547e-05
 6519.400000 -1.377581e-05 -5.355457e-07 -5.176705e-08 -4.786163e-09 -6.421113e-05 -6.288158e-05 -3.516645e-05 -2.300842e-05
 6519.600000 -1.373028e-05 -5.345990e-07 -5.162310e-08 -4.788808e-09 -6.640306e-05 -5.360492e-05 -3.468640e-05 -2.779648e-05
 6519.800000 -1.374425e-05 -5.348419e-07 -5.170591e-08 -4.790660e-09 -6.223254e-05 -5.896090e-05 -3.820580e-05 -1.716186e-05
 6520.000000 -1.371960e-05 -5.345051e-07 -5.169866e-08 -4.787129e-09 -6.341412e-05 -6.573116e-05 -5.087267e-05 -1.764901e-05
 6520.200000 -1.372800e-05 -5.349612e-07 -5.170195e-08 -4.794206e-09 -5.621140e-05 -6.236712e-05 -4.231693e-05 -1.691944e-05
 6520.400000 -1.372680e-05 -5.354601e-07 -5.168165e-08 -4.792345e-09 -5.675313e-05 -6.079676e-05 -4.494374e-05 -2.849457e-05
 6520.600000 -1.372621e-05 -5.349558e-07 -5.174675e-08 -4.813980e-09 -6.503405e-05 -6.481319e-05 -5.033556e-05 -3.146370e-05
 6520.800000 -1.374232e-05 -5.352004e-07 -5.169316e-08 -4.791408e-09 -6.209486e-05 -6.860366e-05 -3.351257e-05 -3.008086e-05
 6521.000000 -1.373167e-05 -5.358424e-07 -5.187913e-08 -4.814120e-09 -6.341030e-05 -6.916395e-05 -4.652547e-05 -3.359430e-05
 6521.200000 -1.376942e-05 -5.374693e-07 -5.204844e-08 -4.822964e-09 -6.058829e-05 -6.870384e-05 -5.510081e-05 -2.957918e-05
 6521.400000 -1.371866e-05 -5.352494e-07 -5.188138e-08 -4.792338e-09 -5.432632e-05 -6.736600e-05 -5.491997e-05 -2.937095e-05
 6521.600000 -1.372776e-05 -5.366999e-07 -5.198594e-08 -4.808238e-09 -5.763448e-05 -6.899728e-05 -5.593784e-05 -2.877258e-05
 6521.800000 -1.368077e-05 -5.353095e-07 -5.181706e-08 -4.805504e-09 -5.489535e-05 -6.992112e-05 -4.941476e-05 -2.493892e-05
 6522.000000 -1.367606e-05 -5.342035e-07 -5.169480e-08 -4.807470e-09 -5.978591e-05 -6.643083e-05 -5.557214e-05 -2.478755e-05
 6522.200000 -1.368946e-05 -5.358262e-07 -5.187463e-08 -4.811426e-09 -7.215256e-05 -6.207057e-05 -6.854714e-05 -3.172124e-05
 6522.400000 -1.370534e-05 -5.366248e-07 -5.198373e-08 -4.825079e-09 -6.669265e-05 -6.898375e-05 -4.667495e-05 -2.005583e-05
 6522.600000 -1.372488e-05 -5.374606e-07 -5.202505e-08 -4.840498e-09 -6.711497e-05 -7.475042e-05 -4.693544e-05 -2.799158e-05
 6522.800000 -1.371140e-05 -5.361340e-07 -5.191895e-08 -4.824270e-09 -5.575394e-05 -7.843567e-05 -5.274819e-05 -3.436744e-05
 6523.000000 -1.375415e-05 -5.388314e-07 -5.224613e-08 -4.848189e-09 -5.014271e-05 -7.191891e-05 -3.905882e-05 -1.816685e-05
 6523.200000 -1.374727e-05 -5.387095e-07 -5.216020e-08 -4.839559e-09 -5.106815e-05 -7.475250e-05 -4.379292e-05 -2.182768e-05
 6523.400000 -1.378715e-05 -5.409407e-07 -5.231320e-08 -4.862602e-09 -5.668686e-05 -6.683057e-05 -4.259639e-05 -2.983466e-05
 6523.600000 -1.378544e-05 -5.401590e-07 -5.222951e-08 -4.886033e-09 -5.166647e-05 -6.298639e-05 -4.317942e-05 -3.192909e-05
 6523.800000 -1.381628e-05 -5.412517e-07 -5.241132e-08 -4.890715e-09 -5.561835e-05 -6.585992e-05 -4.463203e-05 -2.037927e-05
 6524.000000 -1.381334e-05 -5.410553e-07 -5.239664e-08 -4.905719e-09 -6.490409e-05 -6.743999e-05 -2.909711e-05 -1.506918e-05
 6524.200000 -1.381855e-05 -5.417059e-07 -5.249693e-08 -4.891672e-09 -6.183379e-05 -6.788746e-05 -3.128133e-05 -1.710094e-05
 6524.400000 -1.381985e-05 -5.420787e-07 -5.252038e-08 -4.895534e-09 -6.411415e-05 -5.799188e-05 -2.752135e-05 -2.153683e-05
 6524.600000 -1.380219e-05 -5.418175e-07 -5.250152e-08 -4.908977e-09 -6.418482e-05 -5.482499e-05 -3.659244e-05 -2.365631e-05
 6524.800000 -1.376217e-05 -5.396714e-07 -5.232489e-08 -4.902247e-09 -5.800350e-05 -5.258846e-05 -4.407252e-05 -1.580462e-05
 6525.000000 -1.379239e-05 -5.407953e-07 -5.238423e-08 -4.918375e-09 -6.024790e-05 -6.121535e-05 -4.698574e-05 -1.147518e-05
 6525.200000 -1.379221e-05 -5.418904e-07 -5.248561e-08 -4.903078e-09 -7.092685e-05 -6.517378e-05 -4.443021e-05 -2.733787e-05
 6525.400000 -1.381335e-05 -5.426253e-07 -5.254442e-08 -4.925923e-09 -7.017999e-05 -6.602570e-05 -3.830363e-05 -1.956727e-05
 6525.600000 -1.381429e-05 -5.430086e-07 -5.264631e-08 -4.916969e-09 -6.393340e-05 -6.500384e-05 -2.607162e-05 -1.750531e-05
 6525.800000 -1.381058e-05 -5.428420e-07 -5.260330e-08 -4.914217e-09 -6.826461e-05 -5.501499e-05 -4.104157e-05 -2.613509e-05
 6526.000000 -1.381171e-05 -5.417905e-07 -5.260073e-08 -4.936833e-09 -7.143502e-05 -5.528176e-05 -7.492618e-05 -2.895415e-05
 6526.200000 -1.378794e-05 -5.413730e-07 -5.257914e-08 -4.933848e-09 -6.275366e-05 -5.453439e-05 -5.521580e-05 -2.458325e-05
 6526.400000 -1.382204e-05 -5.434733e-07 -5.282408e-08 -4.951722e-09 -6.086229e-05 -5.584573e-05 -5.075317e-05 -2.658097e-05
 6526.600000 -1.377042e-05 -5.426542e-07 -5.270428e-08 -4.929724e-09 -6.616358e-05 -5.489756e-05 -5.229418e-05 -2.552968e-05
 6526.800000 -1.378297e-05 -5.422961e-07 -5.262144e-08 -4.938442e-09 -6.909464e-05 -5.867719e-05 -5.536328e-05 -3.046424e-05
 6527.000000 -1.371907e-05 -5.400732e-07 -5.243289e-08 -4.910226e-09 -6.809871e-05 -5.269601e-05 -4.801850e-05 -2.619013e-05
 6527.200000 -1.379248e-05 -5.432764e-07 -5.269916e-08 -4.939282e-09 -7.094367e-05 -6.062550e-05 -5.950437e-05 -2.929545e-05
 6527.400000 -1.376826e-05 -5.423157e-07 -5.264508e-08 -4.925482e-09 -7.217035e-05 -6.142311e-05 -6.856834e-05 -3.164553e-05
 6527.600000 -1.377898e-05 -5.433841e-07 -5.281215e-08 -4.924078e-09 -7.257043e-05 -6.577394e-05 -5.656851e-05 -3.358077e-05
 6527.800000 -1.380271e-05 -5.443485e-07 -5.287936e-08 -4.962671e-09 -7.912095e-05 -5.867016e-05 -4.567189e-05 -2.994499e-05
 6528.000000 -1.383427e-05 -5.450702e-07 -5.293756e-08 -4.969144e-09 -7.988213e-05 -5.089166e-05 -4.948654e-05 -2.884719e-05
 6528.200000 -1.384981e-05 -5.463140e-07 -5.308935e-08 -4.975788e-09 -6.746126e-05 -4.822329e-05 -3.813551e-05 -2.275603e-05
 6528.400000 -1.385105e-05 -5.469533e-07 -5.317702e-08 -4.998591e-09 -7.321265e-05 -5.807866e-05 -3.379286e-05 -2.564510e-05
 6528.600000 -1.387755e-05 -5.483760e-07 -5.330339e-08 -5.014172e-09 -7.477832e-05 -5.200052e-05 -3.482125e-05 -2.264252e-05
 6528.800000 -1.387548e-05 -5.475647e-07 -5.322071e-08 -5.017753e-09 -6.793681e-05 -5.510127e-05 -2.878869e-05 -1.678909e-05
 6529.000000 -1.386532e-05 -5.471844e-07 -5.323874e-08 -5.024040e-09 -6.928327e-05 -4.449551e-05 -4.357760e-05 -2.431922e-05
 6529.200000 -1.384674e-05 -5.478883e-07 -5.328767e-08 -5.030021e-09 -6.658715e-05 -4.080534e-05 -4.702810e-05 -2.588997e-05
 6529.400000 -1.382251e-05 -5.462354e-07 -5.316248e-08 -5.021648e-09 -6.804004e-05 -3.962552e-05 -4.518878e-05 -2.334469e-05
 6529.600000 -1.384866e-05 -5.476765e-07 -5.335188e-08 -5.023701e-09 -5.776480e-05 -4.582658e-05 -4.105387e-05 -2.342146e-05
 6529.800000 -1.383297e-05 -5.478385e-07 -5.339701e-08 -5.033071e-09 -6.067836e-05 -5.596952e-05 -4.205676e-05 -2.183716e-05
 6530.000000 -1.384628e-05 -5.475241e-07 -5.328075e-08 -5.024612e-09 -5.748410e-05 -5.556165e-05 -4.135065e-05 -2.096914e-05
 6530.200000 -1.385525e-05 -5.479644e-07 -5.343862e-08 -5.040405e-09 -6.964767e-05 -4.166057e-05 -4.036031e-05 -1.935069e-05
