# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.4570346657337
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 3V  Mn 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -13.730020827999999
# ISS.sample_y_position: 14.796134110499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  11:52:24
# Scan.end_time: 02/21/2022  11:52:49
# Scan.duration: 00:25
# Scan.transient_id: 196791
# Scan.uid: 5cc49891-ad94-41cc-8ded-5c6b5bc7d756
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.472720e-06 -2.891214e-07 -2.644168e-08 -2.436691e-09 -5.042004e-05 -3.515488e-05 -2.516350e-05 -1.810903e-05
 6444.000000 -1.288568e-05 -4.425889e-07 -4.062280e-08 -3.733670e-09 -8.132058e-05 -4.852373e-05 -3.861905e-05 -5.679667e-05
 6449.000000 -1.295663e-05 -4.490437e-07 -4.140457e-08 -3.796975e-09 -8.687844e-05 -5.903544e-05 -3.505361e-05 -7.754816e-05
 6454.000000 -1.297762e-05 -4.536174e-07 -4.194097e-08 -3.844934e-09 -8.142572e-05 -5.630177e-05 -3.911140e-05 -7.690854e-05
 6459.000000 -1.309606e-05 -4.613606e-07 -4.282468e-08 -3.922530e-09 -8.468889e-05 -5.645601e-05 -5.198850e-05 -7.163209e-05
 6464.000000 -1.317372e-05 -4.678739e-07 -4.358479e-08 -3.988426e-09 -7.726378e-05 -5.041047e-05 -5.034251e-05 -7.105226e-05
 6469.000000 -1.319279e-05 -4.728055e-07 -4.413303e-08 -4.040069e-09 -7.466955e-05 -4.842634e-05 -4.490571e-05 -7.298460e-05
 6474.000000 -1.324952e-05 -4.791546e-07 -4.487837e-08 -4.108181e-09 -7.920501e-05 -4.634538e-05 -4.194133e-05 -4.200607e-05
 6479.000000 -1.334198e-05 -4.859785e-07 -4.565380e-08 -4.179861e-09 -8.272137e-05 -4.696954e-05 -4.195051e-05 -3.766963e-05
 6484.000000 -1.342889e-05 -4.928238e-07 -4.648858e-08 -4.248727e-09 -8.175425e-05 -4.424751e-05 -3.854927e-05 -3.776766e-05
 6489.000000 -1.349119e-05 -4.989834e-07 -4.722283e-08 -4.328969e-09 -7.835703e-05 -4.630482e-05 -3.800547e-05 -4.470035e-05
 6494.000000 -1.355209e-05 -5.054334e-07 -4.797432e-08 -4.399655e-09 -8.356100e-05 -3.466580e-05 -3.828450e-05 -7.124733e-05
 6499.000000 -1.359733e-05 -5.111019e-07 -4.871806e-08 -4.473266e-09 -8.388242e-05 -3.750482e-05 -3.696465e-05 -7.154990e-05
 6504.000000 -1.364150e-05 -5.168995e-07 -4.940104e-08 -4.549013e-09 -7.092335e-05 -3.493662e-05 -4.339299e-05 -6.910659e-05
 6509.000000 -1.366720e-05 -5.222384e-07 -5.006477e-08 -4.626224e-09 -7.467460e-05 -3.763606e-05 -5.511942e-05 -7.015819e-05
 6513.000000 -1.364505e-05 -5.248413e-07 -5.044716e-08 -4.676489e-09 -7.234613e-05 -5.097392e-05 -5.001244e-05 -6.527788e-05
 6516.000000 -1.379377e-05 -5.333682e-07 -5.141153e-08 -4.756448e-09 -6.561411e-05 -5.559715e-05 -4.805470e-05 -6.293153e-05
 6518.000000 -1.380694e-05 -5.353477e-07 -5.167893e-08 -4.792935e-09 -6.502461e-05 -5.910926e-05 -5.398047e-05 -6.826259e-05
 6519.000000 -1.383549e-05 -5.372428e-07 -5.189759e-08 -4.816987e-09 -7.855034e-05 -5.638335e-05 -4.996057e-05 -7.283023e-05
 6519.200000 -1.384489e-05 -5.380211e-07 -5.202514e-08 -4.820365e-09 -7.772476e-05 -6.195113e-05 -4.979626e-05 -7.179430e-05
 6519.400000 -1.384300e-05 -5.384719e-07 -5.205977e-08 -4.825337e-09 -6.901531e-05 -6.289007e-05 -3.363149e-05 -6.641965e-05
 6519.600000 -1.383126e-05 -5.373648e-07 -5.206443e-08 -4.835444e-09 -6.420468e-05 -4.992607e-05 -3.773978e-05 -6.798629e-05
 6519.800000 -1.381273e-05 -5.369991e-07 -5.198987e-08 -4.818711e-09 -6.192295e-05 -4.665342e-05 -4.185975e-05 -8.561050e-05
 6520.000000 -1.381159e-05 -5.372421e-07 -5.184875e-08 -4.838388e-09 -6.466863e-05 -5.395065e-05 -4.921153e-05 -9.016968e-05
 6520.200000 -1.381821e-05 -5.376752e-07 -5.198401e-08 -4.839507e-09 -6.760347e-05 -6.277253e-05 -5.531187e-05 -8.634234e-05
 6520.400000 -1.381662e-05 -5.379213e-07 -5.200729e-08 -4.842947e-09 -6.753227e-05 -5.451968e-05 -4.298849e-05 -7.595780e-05
 6520.600000 -1.382329e-05 -5.391423e-07 -5.215487e-08 -4.835407e-09 -6.631185e-05 -5.896474e-05 -5.296200e-05 -7.335899e-05
 6520.800000 -1.383660e-05 -5.391756e-07 -5.214006e-08 -4.845618e-09 -5.650493e-05 -5.775350e-05 -6.468052e-05 -7.813416e-05
 6521.000000 -1.384412e-05 -5.405208e-07 -5.222056e-08 -4.834723e-09 -6.139415e-05 -5.985236e-05 -4.925858e-05 -8.046279e-05
 6521.200000 -1.384936e-05 -5.399227e-07 -5.222442e-08 -4.861809e-09 -6.679177e-05 -5.720981e-05 -3.805013e-05 -7.826870e-05
 6521.400000 -1.385687e-05 -5.409985e-07 -5.231673e-08 -4.884196e-09 -5.710393e-05 -5.849825e-05 -3.573634e-05 -7.186222e-05
 6521.600000 -1.386392e-05 -5.415491e-07 -5.231209e-08 -4.869096e-09 -5.877800e-05 -5.177210e-05 -4.312160e-05 -7.552089e-05
 6521.800000 -1.385616e-05 -5.411536e-07 -5.228608e-08 -4.876866e-09 -6.193897e-05 -5.147309e-05 -3.311130e-05 -7.644160e-05
 6522.000000 -1.383291e-05 -5.406298e-07 -5.236015e-08 -4.882331e-09 -6.876795e-05 -4.771891e-05 -4.749531e-05 -7.618822e-05
 6522.200000 -1.382584e-05 -5.399900e-07 -5.227644e-08 -4.871000e-09 -7.104242e-05 -5.583809e-05 -4.975946e-05 -7.022377e-05
 6522.400000 -1.383533e-05 -5.405897e-07 -5.233928e-08 -4.863698e-09 -7.063080e-05 -5.062974e-05 -4.214031e-05 -6.557503e-05
 6522.600000 -1.382415e-05 -5.397653e-07 -5.242089e-08 -4.876153e-09 -7.239257e-05 -4.528443e-05 -6.148830e-05 -7.018147e-05
 6522.800000 -1.384600e-05 -5.414617e-07 -5.242699e-08 -4.894948e-09 -7.027058e-05 -5.239209e-05 -5.313245e-05 -7.803676e-05
 6523.000000 -1.385719e-05 -5.421298e-07 -5.254407e-08 -4.897271e-09 -7.244616e-05 -6.201790e-05 -3.747325e-05 -7.411517e-05
 6523.200000 -1.388548e-05 -5.428840e-07 -5.254520e-08 -4.903389e-09 -6.710799e-05 -5.810373e-05 -4.211218e-05 -6.575380e-05
 6523.400000 -1.388958e-05 -5.436610e-07 -5.264628e-08 -4.908275e-09 -6.581638e-05 -5.080105e-05 -5.867018e-05 -6.615976e-05
