# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.92949745805674
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 3V  Mn 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -13.730020827999999
# ISS.sample_y_position: 14.796134110499999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  11:52:58
# Scan.end_time: 02/21/2022  11:53:23
# Scan.duration: 00:24
# Scan.transient_id: 196792
# Scan.uid: b59892d2-55cb-4a63-b2f8-4f5e12a891b0
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.453800e-06 -2.886822e-07 -2.641327e-08 -2.426775e-09 -5.038079e-05 -3.405040e-05 -3.623283e-05 -3.363759e-05
 6444.000000 -1.277889e-05 -4.400060e-07 -4.041781e-08 -3.696077e-09 -7.759426e-05 -5.186142e-05 -5.885105e-05 -3.866289e-05
 6449.000000 -1.291029e-05 -4.490879e-07 -4.139900e-08 -3.779942e-09 -6.616572e-05 -5.626027e-05 -5.850421e-05 -1.844350e-05
 6454.000000 -1.291946e-05 -4.529017e-07 -4.190327e-08 -3.823023e-09 -6.776831e-05 -5.758071e-05 -6.625229e-05 -4.544613e-05
 6459.000000 -1.298555e-05 -4.589436e-07 -4.260100e-08 -3.883057e-09 -7.235095e-05 -4.897133e-05 -6.463239e-05 -5.839463e-05
 6464.000000 -1.310774e-05 -4.671396e-07 -4.349376e-08 -3.971474e-09 -7.571831e-05 -4.293979e-05 -8.016491e-05 -5.802479e-05
 6469.000000 -1.310457e-05 -4.708793e-07 -4.396465e-08 -4.013485e-09 -7.254548e-05 -3.650381e-05 -7.871926e-05 -5.317503e-05
 6474.000000 -1.316929e-05 -4.774071e-07 -4.476561e-08 -4.088482e-09 -6.281515e-05 -3.498967e-05 -6.560506e-05 -5.188847e-05
 6479.000000 -1.328159e-05 -4.848340e-07 -4.560864e-08 -4.162884e-09 -6.473883e-05 -4.194910e-05 -6.315172e-05 -2.269557e-05
 6484.000000 -1.329405e-05 -4.887942e-07 -4.615986e-08 -4.213888e-09 -6.631944e-05 -4.353882e-05 -6.704949e-05 -6.074385e-06
 6489.000000 -1.334022e-05 -4.946523e-07 -4.682435e-08 -4.282380e-09 -6.773633e-05 -3.265749e-05 -6.316190e-05 -1.173140e-05
