# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.9665262383823
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 3V  Ni 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -12.6300330095
# ISS.sample_y_position: 15.696117208
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:58:13
# Scan.end_time: 02/21/2022  11:58:37
# Scan.duration: 00:23
# Scan.transient_id: 196798
# Scan.uid: 340e6e7c-c392-4aea-8874-fdd1106caed1
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.805394e-05 -2.304330e-06 -1.448250e-07 -2.635527e-07 -3.797453e-05 -3.322199e-05 -5.521845e-05 -3.550054e-05
 8238.000000 -2.593255e-05 -3.325286e-06 -2.092427e-07 -3.789102e-07 -5.089979e-05 -4.674093e-05 -8.401927e-05 -5.088002e-05
 8243.000000 -2.594289e-05 -3.346046e-06 -2.108172e-07 -3.797096e-07 -4.323455e-05 -4.832978e-05 -9.388508e-05 -4.491175e-05
 8248.000000 -2.604204e-05 -3.371518e-06 -2.125209e-07 -3.797106e-07 -4.236594e-05 -6.332461e-05 -9.505905e-05 -5.348089e-05
 8253.000000 -2.599892e-05 -3.386419e-06 -2.132855e-07 -3.797119e-07 -4.981434e-05 -6.500477e-05 -8.389975e-05 -5.337305e-05
 8258.000000 -2.601230e-05 -3.405467e-06 -2.143325e-07 -3.797128e-07 -4.628069e-05 -6.339039e-05 -8.374796e-05 -5.121843e-05
 8263.000000 -2.597586e-05 -3.420331e-06 -2.154456e-07 -3.797129e-07 -3.471110e-05 -5.785898e-05 -9.630015e-05 -5.149014e-05
 8268.000000 -2.617035e-05 -3.453862e-06 -2.179339e-07 -3.797194e-07 -4.130947e-05 -6.032523e-05 -9.384657e-05 -5.216094e-05
 8273.000000 -2.623192e-05 -3.474612e-06 -2.200420e-07 -3.797236e-07 -4.744481e-05 -5.314769e-05 -1.019678e-04 -5.581436e-05
 8278.000000 -2.617975e-05 -3.484828e-06 -2.217443e-07 -3.797240e-07 -4.137035e-05 -5.147967e-05 -9.398505e-05 -5.470901e-05
 8283.000000 -2.630151e-05 -3.513133e-06 -2.246631e-07 -3.797287e-07 -4.631950e-05 -6.041346e-05 -9.647150e-05 -6.409833e-05
 8288.000000 -2.636933e-05 -3.537218e-06 -2.272694e-07 -3.797323e-07 -4.650744e-05 -5.131098e-05 -8.911477e-05 -6.241303e-05
 8293.000000 -2.635698e-05 -3.552198e-06 -2.293911e-07 -3.797339e-07 -4.666874e-05 -4.887135e-05 -8.799451e-05 -6.450658e-05
 8298.000000 -2.624475e-05 -3.556458e-06 -2.308567e-07 -3.797358e-07 -4.221859e-05 -4.836586e-05 -8.925760e-05 -6.922223e-05
 8303.000000 -2.628661e-05 -3.572239e-06 -2.330369e-07 -3.797382e-07 -4.426460e-05 -4.436788e-05 -9.584156e-05 -6.553084e-05
 8307.000000 -2.633810e-05 -3.587272e-06 -2.347952e-07 -3.797402e-07 -5.435239e-05 -4.616002e-05 -8.544887e-05 -7.050711e-05
 8310.000000 -2.630293e-05 -3.589478e-06 -2.355660e-07 -3.797404e-07 -5.428530e-05 -3.985919e-05 -7.706364e-05 -7.477745e-05
 8312.000000 -2.643515e-05 -3.606569e-06 -2.369569e-07 -3.797417e-07 -4.656694e-05 -3.187197e-05 -6.681532e-05 -6.884676e-05
 8313.000000 -2.635354e-05 -3.601201e-06 -2.366925e-07 -3.797412e-07 -4.374411e-05 -2.810627e-05 -6.381760e-05 -6.782906e-05
 8313.200000 -2.634290e-05 -3.598990e-06 -2.366597e-07 -3.797409e-07 -4.416760e-05 -2.752644e-05 -5.991868e-05 -6.962505e-05
 8313.400000 -2.640019e-05 -3.606025e-06 -2.371589e-07 -3.797242e-07 -3.737344e-05 -3.475813e-05 -6.902211e-05 -4.764914e-05
