# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.623656960372
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 3V  Ni 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -12.6300330095
# ISS.sample_y_position: 15.696079060999999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:58:45
# Scan.end_time: 02/21/2022  11:59:08
# Scan.duration: 00:23
# Scan.transient_id: 196799
# Scan.uid: 690f92b2-0f5c-4f7f-a7e2-37c32c1981c4
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.813823e-05 -2.308798e-06 -1.450652e-07 -2.634817e-07 -3.362666e-05 -3.732160e-05 -6.060656e-05 -5.724996e-05
 8238.000000 -2.610252e-05 -3.333522e-06 -2.097684e-07 -3.789341e-07 -4.825454e-05 -5.629592e-05 -9.460357e-05 -7.837119e-05
 8243.000000 -2.622812e-05 -3.364934e-06 -2.118846e-07 -3.797353e-07 -4.610183e-05 -5.752582e-05 -9.085636e-05 -7.486384e-05
 8248.000000 -2.625088e-05 -3.387140e-06 -2.133023e-07 -3.797368e-07 -4.477934e-05 -5.437579e-05 -9.577026e-05 -7.386284e-05
 8253.000000 -2.625065e-05 -3.407067e-06 -2.144086e-07 -3.797394e-07 -4.972798e-05 -5.047285e-05 -9.299530e-05 -7.495244e-05
 8258.000000 -2.624110e-05 -3.423641e-06 -2.153176e-07 -3.797412e-07 -5.813078e-05 -3.776481e-05 -8.987028e-05 -8.350360e-05
 8263.000000 -2.627253e-05 -3.446484e-06 -2.168027e-07 -3.797449e-07 -5.583906e-05 -3.467424e-05 -8.836846e-05 -8.610692e-05
 8268.000000 -2.629423e-05 -3.466182e-06 -2.184464e-07 -3.797479e-07 -5.416194e-05 -4.679255e-05 -8.334748e-05 -9.006957e-05
 8273.000000 -2.629881e-05 -3.483059e-06 -2.202955e-07 -3.797509e-07 -5.280309e-05 -5.796577e-05 -9.641837e-05 -9.342044e-05
 8278.000000 -2.631365e-05 -3.497311e-06 -2.222439e-07 -3.797540e-07 -5.197844e-05 -5.683254e-05 -9.202022e-05 -8.302426e-05
 8283.000000 -2.626118e-05 -3.509113e-06 -2.241610e-07 -3.797553e-07 -5.615007e-05 -5.223238e-05 -9.290858e-05 -7.913986e-05
