# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.3160286450373
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 3V  Ni 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -12.6300330095
# ISS.sample_y_position: 15.6961362815
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:59:16
# Scan.end_time: 02/21/2022  11:59:42
# Scan.duration: 00:25
# Scan.transient_id: 196800
# Scan.uid: 8f89103e-dd96-4766-9aa8-898661e67c17
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.793625e-05 -2.287371e-06 -1.439069e-07 -2.635812e-07 -3.983159e-05 -2.780266e-05 -2.830904e-05 -6.531995e-05
 8238.000000 -2.588772e-05 -3.309258e-06 -2.084949e-07 -3.789505e-07 -6.452040e-05 -4.219659e-05 -4.646430e-05 -8.982039e-05
 8243.000000 -2.601144e-05 -3.341089e-06 -2.105970e-07 -3.797498e-07 -5.829271e-05 -5.194976e-05 -6.107303e-05 -8.744544e-05
 8248.000000 -2.587508e-05 -3.350574e-06 -2.111891e-07 -3.797512e-07 -5.023548e-05 -5.367276e-05 -5.748547e-05 -8.976729e-05
 8253.000000 -2.608765e-05 -3.388080e-06 -2.133792e-07 -3.797541e-07 -5.433179e-05 -4.636080e-05 -5.717864e-05 -9.616721e-05
 8258.000000 -2.612433e-05 -3.408564e-06 -2.144919e-07 -3.797561e-07 -5.403921e-05 -5.069842e-05 -4.081190e-05 -1.057281e-04
 8263.000000 -2.615645e-05 -3.430487e-06 -2.159189e-07 -3.797588e-07 -5.049169e-05 -5.276660e-05 -5.509134e-05 -1.070589e-04
 8268.000000 -2.618522e-05 -3.450083e-06 -2.175542e-07 -3.797621e-07 -4.920128e-05 -5.679723e-05 -6.160246e-05 -1.009463e-04
 8273.000000 -2.622594e-05 -3.471394e-06 -2.196027e-07 -3.797657e-07 -5.910563e-05 -5.413809e-05 -6.271603e-05 -9.469516e-05
 8278.000000 -2.616735e-05 -3.482964e-06 -2.213782e-07 -3.797668e-07 -6.517294e-05 -4.599618e-05 -6.080298e-05 -9.781912e-05
 8283.000000 -2.624436e-05 -3.505189e-06 -2.239661e-07 -3.797709e-07 -5.776991e-05 -4.692721e-05 -5.800552e-05 -9.743786e-05
 8288.000000 -2.621178e-05 -3.518530e-06 -2.260391e-07 -3.797723e-07 -5.258447e-05 -5.190783e-05 -5.636288e-05 -1.029781e-04
 8293.000000 -2.616844e-05 -3.528109e-06 -2.278605e-07 -3.797733e-07 -5.098332e-05 -5.484781e-05 -5.040709e-05 -9.122775e-05
 8298.000000 -2.624165e-05 -3.548451e-06 -2.303117e-07 -3.797755e-07 -6.271081e-05 -4.863562e-05 -6.615770e-05 -8.950922e-05
 8303.000000 -2.625001e-05 -3.560924e-06 -2.323307e-07 -3.797775e-07 -6.956953e-05 -4.971505e-05 -7.604217e-05 -9.210752e-05
 8307.000000 -2.626976e-05 -3.572514e-06 -2.339349e-07 -3.797785e-07 -7.163177e-05 -4.664726e-05 -7.225896e-05 -8.929464e-05
 8310.000000 -2.629109e-05 -3.580059e-06 -2.349201e-07 -3.797810e-07 -7.144245e-05 -4.784623e-05 -6.745945e-05 -9.432960e-05
 8312.000000 -2.629354e-05 -3.585875e-06 -2.355679e-07 -3.797808e-07 -7.316054e-05 -5.710227e-05 -6.565463e-05 -9.377660e-05
 8313.000000 -2.616337e-05 -3.577341e-06 -2.352003e-07 -3.797798e-07 -7.810420e-05 -5.441434e-05 -6.379022e-05 -8.529394e-05
