# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.9364389429
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 3V  Ni 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -12.6300330095
# ISS.sample_y_position: 15.6961362815
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  11:59:50
# Scan.end_time: 02/21/2022  12:00:16
# Scan.duration: 00:26
# Scan.transient_id: 196801
# Scan.uid: 70f4ad3c-17bd-45df-9fe1-a6fdb492981f
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.804208e-05 -2.298269e-06 -1.445058e-07 -2.627774e-07 -4.290839e-05 -3.701652e-05 -2.613178e-05 -4.949484e-05
 8238.000000 -2.602205e-05 -3.326996e-06 -2.095486e-07 -3.789458e-07 -5.952518e-05 -5.174546e-05 -4.570995e-05 -7.447900e-05
 8243.000000 -2.602843e-05 -3.348378e-06 -2.110704e-07 -3.797618e-07 -5.113479e-05 -4.827093e-05 -5.288901e-05 -7.828254e-05
 8248.000000 -2.609898e-05 -3.372955e-06 -2.126959e-07 -3.797622e-07 -4.899137e-05 -4.832559e-05 -6.617002e-05 -7.675452e-05
 8253.000000 -2.619235e-05 -3.398679e-06 -2.142093e-07 -3.797631e-07 -4.869658e-05 -5.334212e-05 -7.984228e-05 -6.813328e-05
 8258.000000 -2.619488e-05 -3.416764e-06 -2.152040e-07 -3.797657e-07 -4.332224e-05 -5.963152e-05 -6.434921e-05 -7.201490e-05
 8263.000000 -2.612274e-05 -3.430495e-06 -2.161031e-07 -3.797675e-07 -5.377310e-05 -6.592471e-05 -5.964815e-05 -7.356939e-05
 8268.000000 -2.612085e-05 -3.448323e-06 -2.176072e-07 -3.797706e-07 -6.193320e-05 -5.476044e-05 -6.047204e-05 -6.389609e-05
 8273.000000 -2.626141e-05 -3.478157e-06 -2.201931e-07 -3.797768e-07 -5.941776e-05 -6.014422e-05 -6.192413e-05 -7.012559e-05
 8278.000000 -2.621985e-05 -3.489939e-06 -2.219638e-07 -3.797782e-07 -5.295263e-05 -5.548976e-05 -5.762906e-05 -6.679884e-05
 8283.000000 -2.614662e-05 -3.500289e-06 -2.237117e-07 -3.797783e-07 -5.899140e-05 -5.359816e-05 -5.937375e-05 -6.434386e-05
 8288.000000 -2.620645e-05 -3.523381e-06 -2.263622e-07 -3.797811e-07 -7.647370e-05 -6.064093e-05 -6.173182e-05 -7.252362e-05
 8293.000000 -2.631187e-05 -3.549013e-06 -2.291090e-07 -3.797856e-07 -7.313000e-05 -6.313992e-05 -6.825712e-05 -7.701047e-05
 8298.000000 -2.633332e-05 -3.567116e-06 -2.313546e-07 -3.797875e-07 -7.206175e-05 -6.149830e-05 -6.182416e-05 -7.178293e-05
 8303.000000 -2.629924e-05 -3.578439e-06 -2.331916e-07 -3.797889e-07 -6.263925e-05 -6.751752e-05 -6.157223e-05 -7.551511e-05
 8307.000000 -2.636609e-05 -3.593587e-06 -2.350009e-07 -3.797907e-07 -6.779887e-05 -6.753891e-05 -6.048563e-05 -7.556268e-05
 8310.000000 -2.635564e-05 -3.598971e-06 -2.359351e-07 -3.797924e-07 -7.011038e-05 -6.243823e-05 -5.685288e-05 -7.196892e-05
 8312.000000 -2.642131e-05 -3.608482e-06 -2.369235e-07 -3.797932e-07 -6.324030e-05 -6.476750e-05 -6.102561e-05 -6.553884e-05
 8313.000000 -2.642424e-05 -3.610350e-06 -2.371749e-07 -3.797960e-07 -5.847966e-05 -6.854867e-05 -6.024781e-05 -6.255332e-05
 8313.200000 -2.643789e-05 -3.611219e-06 -2.372770e-07 -3.798092e-07 -6.194580e-05 -6.481020e-05 -6.880083e-05 -6.224193e-05
 8313.400000 -2.643035e-05 -3.611593e-06 -2.372337e-07 -3.797771e-07 -6.451292e-05 -7.165613e-05 -5.137360e-05 -5.461267e-05
 8313.600000 -2.642148e-05 -3.612996e-06 -2.373638e-07 -3.798174e-07 -5.474285e-05 -6.740908e-05 -4.636819e-05 -5.839182e-05
 8313.800000 -2.637853e-05 -3.609439e-06 -2.371557e-07 -3.797993e-07 -4.999304e-05 -7.471564e-05 -6.526964e-05 -6.254558e-05
 8314.000000 -2.630329e-05 -3.600420e-06 -2.366973e-07 -3.797617e-07 -4.272034e-05 -8.574889e-05 -5.582744e-05 -5.864983e-05
 8314.200000 -2.627640e-05 -3.598514e-06 -2.366426e-07 -3.797985e-07 -4.500957e-05 -9.066833e-05 -6.353297e-05 -6.371817e-05
 8314.400000 -2.632292e-05 -3.603493e-06 -2.370625e-07 -3.798302e-07 -4.135834e-05 -7.736888e-05 -6.918448e-05 -6.291898e-05
 8314.600000 -2.626309e-05 -3.596355e-06 -2.367962e-07 -3.797605e-07 -4.108236e-05 -6.899847e-05 -5.901517e-05 -6.162901e-05
 8314.800000 -2.631808e-05 -3.601849e-06 -2.368794e-07 -3.798049e-07 -4.945790e-05 -6.932379e-05 -7.184299e-05 -6.850742e-05
 8315.000000 -2.616533e-05 -3.587316e-06 -2.361043e-07 -3.798001e-07 -5.684696e-05 -7.351226e-05 -7.930398e-05 -7.541122e-05
 8315.200000 -2.624997e-05 -3.595474e-06 -2.368617e-07 -3.798100e-07 -4.434714e-05 -7.159130e-05 -6.881441e-05 -6.862514e-05
 8315.400000 -2.610421e-05 -3.581857e-06 -2.358920e-07 -3.797928e-07 -4.072321e-05 -8.608413e-05 -7.103363e-05 -5.819682e-05
 8315.600000 -2.624067e-05 -3.591291e-06 -2.365561e-07 -3.797947e-07 -3.099300e-05 -8.698961e-05 -7.845551e-05 -6.687698e-05
 8315.800000 -2.633970e-05 -3.602917e-06 -2.372692e-07 -3.797962e-07 -4.577583e-05 -8.947487e-05 -7.500136e-05 -6.601578e-05
 8316.000000 -2.635951e-05 -3.602820e-06 -2.374032e-07 -3.798300e-07 -4.696978e-05 -8.081896e-05 -7.140252e-05 -7.259608e-05
 8316.200000 -2.629314e-05 -3.598477e-06 -2.371384e-07 -3.797808e-07 -4.670573e-05 -8.054795e-05 -6.341578e-05 -7.001026e-05
