# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.8915455398961
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_3V Ni 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -1.63002131
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  12:13:52
# Scan.end_time: 02/21/2022  12:14:16
# Scan.duration: 00:23
# Scan.transient_id: 196815
# Scan.uid: 95552ddd-898f-49e9-995b-30d83a427313
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.800942e-05 -4.124304e-06 -2.596229e-07 -2.585410e-07 -4.147443e-05 -8.968316e-06 -3.753024e-05 -5.030504e-05
 8238.000000 -2.599857e-05 -5.963407e-06 -3.757806e-07 -3.731892e-07 -6.282113e-05 -1.307522e-05 -5.173855e-05 -6.985649e-05
 8243.000000 -2.605729e-05 -5.998975e-06 -3.783615e-07 -3.743926e-07 -6.322012e-05 -1.893479e-05 -5.006828e-05 -6.727322e-05
 8248.000000 -2.609581e-05 -6.027562e-06 -3.803650e-07 -3.750085e-07 -6.162848e-05 -1.513093e-05 -3.729054e-05 -7.240776e-05
 8253.000000 -2.602294e-05 -6.049514e-06 -3.817510e-07 -3.745120e-07 -6.332507e-05 -1.574798e-05 -3.859267e-05 -6.438800e-05
 8258.000000 -2.612224e-05 -6.077339e-06 -3.830699e-07 -3.757356e-07 -6.634728e-05 -2.050349e-05 -5.433619e-05 -5.548244e-05
 8263.000000 -2.621335e-05 -6.115425e-06 -3.854695e-07 -3.764630e-07 -6.390248e-05 -2.214908e-05 -5.144481e-05 -5.911391e-05
 8268.000000 -2.622265e-05 -6.140780e-06 -3.878017e-07 -3.767514e-07 -6.257794e-05 -1.759485e-05 -4.410686e-05 -6.240596e-05
 8273.000000 -2.614147e-05 -6.155056e-06 -3.903393e-07 -3.765354e-07 -6.535168e-05 -1.994323e-05 -3.107079e-05 -6.142025e-05
 8278.000000 -2.613834e-05 -6.176853e-06 -3.935532e-07 -3.767663e-07 -7.328084e-05 -2.581314e-05 -3.236903e-05 -6.725203e-05
 8283.000000 -2.624194e-05 -6.210249e-06 -3.974802e-07 -3.776440e-07 -6.773604e-05 -2.351149e-05 -3.164519e-05 -6.951270e-05
