# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.7079432963698
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_3V Ni 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -1.63002131
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  12:14:24
# Scan.end_time: 02/21/2022  12:14:48
# Scan.duration: 00:23
# Scan.transient_id: 196816
# Scan.uid: 090a7890-4fd0-453e-bf37-96670907f6e5
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.801188e-05 -4.136959e-06 -2.602126e-07 -2.579442e-07 -4.468548e-05 -2.482901e-05 -5.263279e-05 -7.367720e-06
 8238.000000 -2.606408e-05 -5.996598e-06 -3.775527e-07 -3.730814e-07 -6.337801e-05 -3.070201e-05 -7.312540e-05 -1.021154e-05
 8243.000000 -2.598816e-05 -6.015508e-06 -3.794617e-07 -3.731229e-07 -5.820635e-05 -3.576501e-05 -6.650866e-05 -7.476800e-06
 8248.000000 -2.587668e-05 -6.028141e-06 -3.804091e-07 -3.723194e-07 -5.093772e-05 -2.987755e-05 -5.305405e-05 -8.123493e-06
 8253.000000 -2.614088e-05 -6.085386e-06 -3.834623e-07 -3.749122e-07 -6.364069e-05 -2.143493e-05 -5.614250e-05 -5.819141e-06
 8258.000000 -2.612888e-05 -6.108242e-06 -3.846971e-07 -3.750190e-07 -6.104487e-05 -1.647156e-05 -5.361134e-05 -3.659553e-06
 8263.000000 -2.609049e-05 -6.129072e-06 -3.862993e-07 -3.750733e-07 -5.143059e-05 -1.600937e-05 -6.418373e-05 -7.843768e-06
 8268.000000 -2.616829e-05 -6.163167e-06 -3.890684e-07 -3.759099e-07 -5.128261e-05 -1.443197e-05 -6.059629e-05 -1.847104e-05
 8273.000000 -2.623388e-05 -6.197113e-06 -3.924314e-07 -3.765188e-07 -5.032253e-05 -1.895131e-05 -5.435087e-05 -1.199852e-05
 8278.000000 -2.606924e-05 -6.195451e-06 -3.943414e-07 -3.758728e-07 -4.418081e-05 -1.105914e-05 -5.923017e-05 -5.601689e-06
 8283.000000 -2.609235e-05 -6.221277e-06 -3.980679e-07 -3.763856e-07 -5.291960e-05 -5.226585e-06 -6.391196e-05 -6.290257e-07
 8288.000000 -2.624879e-05 -6.268975e-06 -4.031264e-07 -3.774377e-07 -4.418144e-05 -1.112137e-05 -6.534506e-05 -3.087983e-06
 8293.000000 -2.629653e-05 -6.298507e-06 -4.069573e-07 -3.779703e-07 -4.943774e-05 -6.193991e-06 -7.066899e-05 -4.467309e-06
 8298.000000 -2.625408e-05 -6.315271e-06 -4.101453e-07 -3.780822e-07 -5.208075e-05 -1.010220e-05 -5.635653e-05 -5.335245e-06
