# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.37497123735756
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_3V Ni 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -1.63002131
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  12:14:56
# Scan.end_time: 02/21/2022  12:15:20
# Scan.duration: 00:24
# Scan.transient_id: 196817
# Scan.uid: 15345fba-4a21-4c56-a4de-0473e5459805
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.811293e-05 -4.168269e-06 -2.626993e-07 -2.588310e-07 -5.093547e-05 -1.950201e-05 -3.408769e-05 -3.620706e-05
 8238.000000 -2.608472e-05 -6.016890e-06 -3.795899e-07 -3.728978e-07 -7.731946e-05 -1.635646e-05 -5.942786e-05 -7.260314e-05
 8243.000000 -2.617686e-05 -6.057670e-06 -3.824256e-07 -3.743374e-07 -7.611884e-05 -1.068943e-05 -5.704410e-05 -7.820138e-05
 8248.000000 -2.615330e-05 -6.080016e-06 -3.840379e-07 -3.744396e-07 -8.129063e-05 -2.101954e-05 -4.755746e-05 -8.033912e-05
 8253.000000 -2.615223e-05 -6.104207e-06 -3.854826e-07 -3.747397e-07 -8.784578e-05 -2.782573e-05 -5.367550e-05 -8.050714e-05
 8258.000000 -2.613469e-05 -6.123289e-06 -3.865101e-07 -3.749225e-07 -8.997616e-05 -2.690863e-05 -4.307707e-05 -7.594811e-05
 8263.000000 -2.615035e-05 -6.152782e-06 -3.884492e-07 -3.751854e-07 -9.081797e-05 -2.439094e-05 -4.466273e-05 -7.280642e-05
 8268.000000 -2.618618e-05 -6.181297e-06 -3.908926e-07 -3.757818e-07 -8.176146e-05 -3.057381e-05 -4.707187e-05 -6.998372e-05
 8273.000000 -2.615446e-05 -6.202363e-06 -3.936033e-07 -3.758056e-07 -7.744279e-05 -2.842251e-05 -3.727878e-05 -7.428607e-05
 8278.000000 -2.616156e-05 -6.222969e-06 -3.967146e-07 -3.762346e-07 -7.899621e-05 -2.485351e-05 -4.362712e-05 -7.303501e-05
 8283.000000 -2.615642e-05 -6.245068e-06 -4.001654e-07 -3.765398e-07 -7.864610e-05 -2.666237e-05 -4.960346e-05 -8.058616e-05
 8288.000000 -2.627483e-05 -6.288216e-06 -4.048126e-07 -3.773948e-07 -7.577923e-05 -2.268829e-05 -5.153958e-05 -9.096659e-05
 8293.000000 -2.626936e-05 -6.310345e-06 -4.083066e-07 -3.777084e-07 -7.693397e-05 -2.347422e-05 -5.570150e-05 -9.021640e-05
 8298.000000 -2.625636e-05 -6.329949e-06 -4.116714e-07 -3.779858e-07 -7.675080e-05 -1.280944e-05 -5.282584e-05 -8.814617e-05
 8303.000000 -2.621236e-05 -6.345227e-06 -4.148748e-07 -3.781737e-07 -7.459053e-05 -2.399861e-05 -5.080597e-05 -7.381127e-05
 8307.000000 -2.613626e-05 -6.348524e-06 -4.166302e-07 -3.782555e-07 -7.670165e-05 -2.563519e-05 -4.684446e-05 -7.436170e-05
 8310.000000 -2.620135e-05 -6.368432e-06 -4.186795e-07 -3.787795e-07 -8.141431e-05 -3.126996e-05 -5.274190e-05 -8.880281e-05
 8312.000000 -2.630723e-05 -6.390167e-06 -4.204843e-07 -3.792915e-07 -8.418792e-05 -4.008017e-05 -6.582842e-05 -9.199235e-05
 8313.000000 -2.624524e-05 -6.386026e-06 -4.206741e-07 -3.791831e-07 -7.487368e-05 -4.964579e-05 -6.858770e-05 -8.684993e-05
 8313.200000 -2.618243e-05 -6.379514e-06 -4.203198e-07 -3.790081e-07 -7.526615e-05 -5.498955e-05 -6.657778e-05 -8.756425e-05
 8313.400000 -2.618613e-05 -6.382555e-06 -4.209113e-07 -3.789826e-07 -8.142897e-05 -4.599536e-05 -6.941768e-05 -8.286902e-05
 8313.600000 -2.615895e-05 -6.382236e-06 -4.207695e-07 -3.788965e-07 -8.242522e-05 -3.767247e-05 -6.651913e-05 -8.135457e-05
 8313.800000 -2.615636e-05 -6.377623e-06 -4.205740e-07 -3.789439e-07 -7.368009e-05 -3.633236e-05 -6.113062e-05 -8.620143e-05
 8314.000000 -2.620393e-05 -6.384607e-06 -4.207803e-07 -3.791425e-07 -7.291223e-05 -3.547663e-05 -7.372741e-05 -8.418315e-05
 8314.200000 -2.616256e-05 -6.378398e-06 -4.205841e-07 -3.790481e-07 -6.886325e-05 -3.036255e-05 -8.283005e-05 -8.186137e-05
 8314.400000 -2.630517e-05 -6.397883e-06 -4.215852e-07 -3.794404e-07 -7.541315e-05 -3.235050e-05 -7.080807e-05 -7.819574e-05
 8314.600000 -2.624717e-05 -6.391032e-06 -4.215694e-07 -3.793442e-07 -9.018169e-05 -3.712789e-05 -7.918883e-05 -8.400639e-05
 8314.800000 -2.627418e-05 -6.398113e-06 -4.220651e-07 -3.793273e-07 -8.742171e-05 -3.462108e-05 -7.436877e-05 -7.567755e-05
 8315.000000 -2.612692e-05 -6.381507e-06 -4.213412e-07 -3.788843e-07 -8.465398e-05 -3.829411e-05 -7.736022e-05 -8.161732e-05
 8315.200000 -2.631494e-05 -6.402778e-06 -4.224975e-07 -3.794858e-07 -7.872960e-05 -3.406433e-05 -7.080142e-05 -7.589443e-05
 8315.400000 -2.625774e-05 -6.395824e-06 -4.221710e-07 -3.793567e-07 -8.538554e-05 -3.657990e-05 -7.121350e-05 -8.076076e-05
 8315.600000 -2.627045e-05 -6.397451e-06 -4.220396e-07 -3.794529e-07 -7.598719e-05 -3.780692e-05 -6.871149e-05 -8.451973e-05
 8315.800000 -2.622189e-05 -6.387971e-06 -4.216377e-07 -3.794372e-07 -7.057016e-05 -3.896548e-05 -7.530877e-05 -8.280284e-05
 8316.000000 -2.627413e-05 -6.396748e-06 -4.222986e-07 -3.795629e-07 -7.450509e-05 -3.567665e-05 -6.161212e-05 -8.802695e-05
 8316.200000 -2.629366e-05 -6.400286e-06 -4.227476e-07 -3.796285e-07 -7.135844e-05 -2.881672e-05 -4.800330e-05 -8.357008e-05
 8316.400000 -2.635279e-05 -6.409718e-06 -4.231446e-07 -3.796594e-07 -8.618704e-05 -2.433082e-05 -6.031976e-05 -9.198003e-05
 8316.600000 -2.639961e-05 -6.418748e-06 -4.237690e-07 -3.797352e-07 -8.759689e-05 -1.961160e-05 -7.036153e-05 -9.300516e-05
 8316.800000 -2.637396e-05 -6.415218e-06 -4.234504e-07 -3.797043e-07 -8.911270e-05 -3.582221e-05 -4.948466e-05 -9.749133e-05
 8317.000000 -2.640662e-05 -6.421447e-06 -4.239273e-07 -3.797195e-07 -9.012569e-05 -3.176251e-05 -5.231272e-05 -8.738537e-05
 8317.200000 -2.641187e-05 -6.422941e-06 -4.240876e-07 -3.797481e-07 -9.560989e-05 -2.886360e-05 -7.110265e-05 -8.974210e-05
 8317.400000 -2.642541e-05 -6.425120e-06 -4.244548e-07 -3.797530e-07 -8.250821e-05 -2.357242e-05 -7.086900e-05 -9.363450e-05
 8317.600000 -2.641146e-05 -6.420983e-06 -4.241655e-07 -3.797089e-07 -7.687013e-05 -2.157265e-05 -6.410714e-05 -8.822325e-05
 8317.800000 -2.641365e-05 -6.423394e-06 -4.243877e-07 -3.797544e-07 -8.117786e-05 -3.100518e-05 -5.047102e-05 -9.638419e-05
