# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.01997302195326
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_3V Ni 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -1.63002131
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  12:15:28
# Scan.end_time: 02/21/2022  12:15:51
# Scan.duration: 00:23
# Scan.transient_id: 196818
# Scan.uid: 161630d6-bec1-4b11-a629-526e727d0a93
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.804822e-05 -4.140906e-06 -2.604650e-07 -2.587092e-07 -5.108670e-05 -3.507474e-05 -3.716542e-05 -1.528256e-05
 8238.000000 -2.598570e-05 -5.974025e-06 -3.765534e-07 -3.728096e-07 -7.834921e-05 -5.274895e-05 -5.834683e-05 -2.408564e-05
 8243.000000 -2.608695e-05 -6.013003e-06 -3.795224e-07 -3.744688e-07 -8.166111e-05 -5.652078e-05 -6.678645e-05 -2.348265e-05
 8248.000000 -2.607724e-05 -6.038360e-06 -3.811374e-07 -3.746010e-07 -6.900774e-05 -4.734615e-05 -6.029246e-05 -3.545227e-05
 8253.000000 -2.611205e-05 -6.068267e-06 -3.827785e-07 -3.750871e-07 -7.541174e-05 -4.340483e-05 -5.164210e-05 -3.619260e-05
 8258.000000 -2.607860e-05 -6.086058e-06 -3.838337e-07 -3.752023e-07 -8.732314e-05 -4.208965e-05 -4.754559e-05 -2.959455e-05
 8263.000000 -2.597917e-05 -6.102661e-06 -3.852560e-07 -3.745202e-07 -7.324149e-05 -3.816715e-05 -5.800680e-05 -3.081708e-05
 8268.000000 -2.604389e-05 -6.133569e-06 -3.878412e-07 -3.754046e-07 -6.678275e-05 -3.227948e-05 -5.724969e-05 -2.928759e-05
 8273.000000 -2.615412e-05 -6.170785e-06 -3.914977e-07 -3.764247e-07 -7.218770e-05 -2.795814e-05 -5.954648e-05 -2.221160e-05
 8278.000000 -2.608735e-05 -6.182193e-06 -3.942040e-07 -3.764104e-07 -8.127131e-05 -2.738611e-05 -6.278172e-05 -2.147591e-05
 8283.000000 -2.608738e-05 -6.205092e-06 -3.977370e-07 -3.767389e-07 -8.215350e-05 -3.177627e-05 -5.110751e-05 -2.335138e-05
 8288.000000 -2.605964e-05 -6.229401e-06 -4.013783e-07 -3.768302e-07 -7.524692e-05 -2.502716e-05 -4.495176e-05 -3.153039e-05
 8293.000000 -2.611321e-05 -6.258021e-06 -4.051109e-07 -3.774653e-07 -8.406890e-05 -2.565133e-05 -4.747315e-05 -2.824982e-05
 8298.000000 -2.611612e-05 -6.279221e-06 -4.084854e-07 -3.778248e-07 -8.198263e-05 -2.984504e-05 -5.100955e-05 -3.221098e-05
 8303.000000 -2.617957e-05 -6.309925e-06 -4.123621e-07 -3.784412e-07 -8.201534e-05 -3.157302e-05 -4.719695e-05 -3.663205e-05
 8307.000000 -2.624885e-05 -6.335208e-06 -4.153169e-07 -3.789635e-07 -7.580137e-05 -3.434505e-05 -4.366462e-05 -2.420647e-05
