# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.69498128473157
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_3V Ni 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -1.63002131
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/21/2022  12:15:59
# Scan.end_time: 02/21/2022  12:16:23
# Scan.duration: 00:24
# Scan.transient_id: 196819
# Scan.uid: d2ead980-05a6-41a1-b517-5f7b61df0405
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.804960e-05 -4.153538e-06 -2.613602e-07 -2.580310e-07 -6.300474e-05 -1.107339e-05 -4.161958e-05 -2.413632e-05
 8238.000000 -2.604825e-05 -6.009048e-06 -3.785994e-07 -3.726048e-07 -9.967314e-05 -1.654757e-05 -6.622234e-05 -3.013379e-05
 8243.000000 -2.609151e-05 -6.043849e-06 -3.811840e-07 -3.736566e-07 -9.554030e-05 -2.462603e-05 -7.297671e-05 -3.365946e-05
 8248.000000 -2.607424e-05 -6.068595e-06 -3.828271e-07 -3.737627e-07 -9.375999e-05 -1.765348e-05 -7.372105e-05 -3.719508e-05
 8253.000000 -2.609235e-05 -6.097279e-06 -3.845494e-07 -3.740827e-07 -1.021159e-04 -1.277182e-05 -8.645500e-05 -3.821168e-05
 8258.000000 -2.607767e-05 -6.114901e-06 -3.855315e-07 -3.744969e-07 -9.913194e-05 -1.651365e-05 -8.182083e-05 -3.089594e-05
 8263.000000 -2.606073e-05 -6.139639e-06 -3.872442e-07 -3.745579e-07 -9.819167e-05 -2.720729e-05 -8.137845e-05 -4.044884e-05
 8268.000000 -2.608316e-05 -6.167922e-06 -3.896255e-07 -3.749855e-07 -9.002172e-05 -2.129323e-05 -7.424027e-05 -3.816993e-05
 8273.000000 -2.610536e-05 -6.195232e-06 -3.925540e-07 -3.754479e-07 -7.809753e-05 -2.529185e-05 -7.867202e-05 -3.965178e-05
 8278.000000 -2.612640e-05 -6.218492e-06 -3.958154e-07 -3.760144e-07 -7.570304e-05 -2.204427e-05 -7.120140e-05 -3.999960e-05
 8283.000000 -2.618414e-05 -6.250755e-06 -3.997946e-07 -3.766309e-07 -8.177433e-05 -2.574116e-05 -7.702145e-05 -3.438376e-05
 8288.000000 -2.620914e-05 -6.280176e-06 -4.037323e-07 -3.770484e-07 -9.007568e-05 -1.711571e-05 -7.148846e-05 -3.595617e-05
 8293.000000 -2.624700e-05 -6.308134e-06 -4.077158e-07 -3.775927e-07 -9.869867e-05 -2.306332e-05 -5.969134e-05 -2.968105e-05
 8298.000000 -2.625051e-05 -6.332295e-06 -4.113304e-07 -3.779221e-07 -9.724296e-05 -2.564736e-05 -6.710609e-05 -2.042115e-05
 8303.000000 -2.625568e-05 -6.354278e-06 -4.148013e-07 -3.783017e-07 -8.799492e-05 -2.143668e-05 -7.054875e-05 -3.256783e-05
 8307.000000 -2.632190e-05 -6.380564e-06 -4.178858e-07 -3.788533e-07 -8.895156e-05 -2.255332e-05 -7.496155e-05 -3.331146e-05
 8310.000000 -2.623650e-05 -6.379772e-06 -4.190136e-07 -3.788194e-07 -8.999230e-05 -2.348980e-05 -7.770299e-05 -2.486037e-05
 8312.000000 -2.632690e-05 -6.398504e-06 -4.208455e-07 -3.792904e-07 -8.320050e-05 -3.145635e-05 -7.383442e-05 -2.644879e-05
 8313.000000 -2.640658e-05 -6.414147e-06 -4.221253e-07 -3.795503e-07 -8.140613e-05 -2.819677e-05 -6.379713e-05 -2.349680e-05
 8313.200000 -2.640991e-05 -6.415337e-06 -4.223031e-07 -3.795857e-07 -7.704417e-05 -2.831782e-05 -6.448589e-05 -2.616869e-05
 8313.400000 -2.640927e-05 -6.414788e-06 -4.223589e-07 -3.795602e-07 -8.322940e-05 -2.145525e-05 -6.181434e-05 -2.122540e-05
 8313.600000 -2.638378e-05 -6.411782e-06 -4.223916e-07 -3.795595e-07 -8.786723e-05 -2.648037e-05 -6.862695e-05 -2.064486e-05
 8313.800000 -2.633302e-05 -6.404195e-06 -4.218439e-07 -3.794612e-07 -7.931071e-05 -1.945843e-05 -7.163403e-05 -2.070307e-05
 8314.000000 -2.631568e-05 -6.402277e-06 -4.218373e-07 -3.794959e-07 -7.366162e-05 -2.648218e-05 -6.042928e-05 -1.852380e-05
 8314.200000 -2.626606e-05 -6.394247e-06 -4.215318e-07 -3.793375e-07 -8.037574e-05 -1.575504e-05 -5.164098e-05 -1.044215e-05
 8314.400000 -2.629241e-05 -6.400122e-06 -4.218432e-07 -3.794217e-07 -8.401656e-05 -1.410710e-05 -6.779594e-05 -2.578358e-05
 8314.600000 -2.625779e-05 -6.397465e-06 -4.218652e-07 -3.793243e-07 -8.191146e-05 -9.398921e-06 -5.836671e-05 -1.973374e-05
 8314.800000 -2.634658e-05 -6.410686e-06 -4.226335e-07 -3.795733e-07 -9.564987e-05 -9.562775e-06 -6.427510e-05 -1.102061e-05
 8315.000000 -2.636514e-05 -6.413957e-06 -4.228908e-07 -3.796488e-07 -9.458764e-05 -1.557685e-05 -6.414923e-05 -1.879615e-05
 8315.200000 -2.637559e-05 -6.416020e-06 -4.232119e-07 -3.796367e-07 -7.975835e-05 -8.825149e-06 -5.179853e-05 -1.252870e-05
 8315.400000 -2.636629e-05 -6.414210e-06 -4.230889e-07 -3.796549e-07 -7.727648e-05 -1.314769e-05 -5.557816e-05 -1.411974e-05
 8315.600000 -2.636495e-05 -6.414431e-06 -4.232134e-07 -3.796458e-07 -6.943160e-05 -2.076559e-05 -6.401212e-05 -1.888497e-05
 8315.800000 -2.626881e-05 -6.401539e-06 -4.225262e-07 -3.794920e-07 -7.089918e-05 -2.288549e-05 -5.469289e-05 -1.483100e-05
 8316.000000 -2.631857e-05 -6.408908e-06 -4.230619e-07 -3.795426e-07 -7.369051e-05 -2.041361e-05 -5.810392e-05 -2.086713e-05
 8316.200000 -2.631582e-05 -6.409463e-06 -4.231637e-07 -3.795658e-07 -7.993927e-05 -1.239484e-05 -5.615223e-05 -1.929716e-05
 8316.400000 -2.630465e-05 -6.408277e-06 -4.232304e-07 -3.796381e-07 -7.018681e-05 -1.845246e-05 -4.838704e-05 -1.009917e-05
 8316.600000 -2.635205e-05 -6.416130e-06 -4.235398e-07 -3.796652e-07 -7.218664e-05 -1.926298e-05 -5.889496e-05 -2.152286e-05
 8316.800000 -2.630006e-05 -6.410602e-06 -4.232474e-07 -3.796015e-07 -7.737232e-05 -2.113609e-05 -5.171412e-05 -2.578163e-05
 8317.000000 -2.637383e-05 -6.420498e-06 -4.237874e-07 -3.797549e-07 -7.543207e-05 -8.000560e-06 -5.753882e-05 -1.024701e-05
 8317.200000 -2.632756e-05 -6.413471e-06 -4.237214e-07 -3.796540e-07 -7.872326e-05 -1.032187e-05 -5.687139e-05 8.838440e-06
 8317.400000 -2.636642e-05 -6.421315e-06 -4.241208e-07 -3.797308e-07 -8.897536e-05 -1.675399e-05 -4.242702e-05 1.119540e-05
