# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.170160922825
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_3V  Co 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -1.63002131
# ISS.sample_y_position: 16.5961384525
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  12:10:27
# Scan.end_time: 02/21/2022  12:10:51
# Scan.duration: 00:23
# Scan.transient_id: 196810
# Scan.uid: cd6fe3de-a06e-4562-83f7-72c08f529f91
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.547459e-05 -2.434363e-06 -4.114702e-07 -6.821495e-08 -6.624827e-05 -1.810873e-05 -2.717509e-05 -1.656235e-05
 7614.000000 -2.301036e-05 -3.628953e-06 -6.142661e-07 -1.019545e-07 -9.578341e-05 -3.150716e-05 -4.340274e-05 -2.876262e-05
 7619.000000 -2.313013e-05 -3.663475e-06 -6.210658e-07 -1.030210e-07 -8.360828e-05 -3.907119e-05 -4.763053e-05 -3.822379e-05
 7624.000000 -2.322725e-05 -3.692207e-06 -6.267138e-07 -1.040799e-07 -7.918863e-05 -3.314700e-05 -3.338139e-05 -3.817240e-05
 7629.000000 -2.324703e-05 -3.714028e-06 -6.315046e-07 -1.045736e-07 -8.785759e-05 -3.334582e-05 -3.790013e-05 -3.538273e-05
 7634.000000 -2.328618e-05 -3.738617e-06 -6.367041e-07 -1.052450e-07 -9.254379e-05 -3.730518e-05 -4.003007e-05 -3.465678e-05
 7639.000000 -2.328821e-05 -3.758363e-06 -6.412461e-07 -1.056932e-07 -8.874092e-05 -4.526797e-05 -4.894913e-05 -3.334602e-05
 7644.000000 -2.330479e-05 -3.780003e-06 -6.459668e-07 -1.062365e-07 -8.336565e-05 -4.926956e-05 -5.306308e-05 -3.578252e-05
 7649.000000 -2.342546e-05 -3.809314e-06 -6.519206e-07 -1.074964e-07 -8.329376e-05 -4.174426e-05 -4.180779e-05 -4.003002e-05
 7654.000000 -2.344155e-05 -3.828289e-06 -6.560854e-07 -1.081049e-07 -8.480283e-05 -3.931883e-05 -5.438742e-05 -4.125589e-05
 7659.000000 -2.351320e-05 -3.859356e-06 -6.623150e-07 -1.088936e-07 -8.207656e-05 -2.871253e-05 -5.610311e-05 -3.276406e-05
