# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.8268065834771
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_3V  Co 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -1.63002131
# ISS.sample_y_position: 16.5961384525
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  12:10:59
# Scan.end_time: 02/21/2022  12:11:22
# Scan.duration: 00:23
# Scan.transient_id: 196811
# Scan.uid: e8691cba-62f4-4090-be78-798aa92773da
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.552880e-05 -2.445281e-06 -4.133945e-07 -6.827253e-08 -4.601432e-05 -2.941569e-05 -2.289693e-05 -4.210674e-05
 7614.000000 -2.304550e-05 -3.641380e-06 -6.164657e-07 -1.017521e-07 -6.860579e-05 -4.907426e-05 -4.160354e-05 -6.240513e-05
 7619.000000 -2.311494e-05 -3.671951e-06 -6.226085e-07 -1.024582e-07 -6.529940e-05 -4.491294e-05 -4.804003e-05 -5.396370e-05
 7624.000000 -2.316249e-05 -3.696496e-06 -6.277643e-07 -1.031923e-07 -5.914205e-05 -4.334946e-05 -4.897412e-05 -5.175886e-05
 7629.000000 -2.323363e-05 -3.721963e-06 -6.331837e-07 -1.040838e-07 -5.565032e-05 -4.897160e-05 -5.099218e-05 -5.170125e-05
 7634.000000 -2.327561e-05 -3.745965e-06 -6.383612e-07 -1.048481e-07 -4.901081e-05 -5.022720e-05 -4.380059e-05 -5.277502e-05
 7639.000000 -2.325193e-05 -3.764282e-06 -6.426186e-07 -1.050823e-07 -6.203938e-05 -3.272951e-05 -4.892520e-05 -4.964553e-05
 7644.000000 -2.331505e-05 -3.789335e-06 -6.476969e-07 -1.059246e-07 -6.962773e-05 -3.839612e-05 -4.345444e-05 -5.029416e-05
 7649.000000 -2.335488e-05 -3.811296e-06 -6.524319e-07 -1.066767e-07 -6.636823e-05 -4.667308e-05 -4.446634e-05 -5.235119e-05
 7654.000000 -2.333812e-05 -3.826720e-06 -6.562954e-07 -1.071147e-07 -6.342926e-05 -5.198143e-05 -5.391822e-05 -5.807295e-05
 7659.000000 -2.341982e-05 -3.857694e-06 -6.626079e-07 -1.080017e-07 -6.823186e-05 -3.996581e-05 -5.489087e-05 -5.132611e-05
 7664.000000 -2.338540e-05 -3.875032e-06 -6.665361e-07 -1.081772e-07 -6.286136e-05 -2.429918e-05 -4.566266e-05 -5.188154e-05
 7669.000000 -2.346491e-05 -3.902292e-06 -6.718370e-07 -1.091634e-07 -6.001430e-05 -2.612787e-05 -4.797108e-05 -5.536356e-05
 7674.000000 -2.344669e-05 -3.920406e-06 -6.756752e-07 -1.095181e-07 -6.483787e-05 -2.656978e-05 -4.786503e-05 -5.182083e-05
 7679.000000 -2.345011e-05 -3.940760e-06 -6.802038e-07 -1.101030e-07 -6.806088e-05 -3.459867e-05 -5.041446e-05 -6.089191e-05
 7683.000000 -2.354291e-05 -3.964086e-06 -6.846825e-07 -1.112332e-07 -7.530698e-05 -3.871071e-05 -4.846618e-05 -6.941576e-05
 7686.000000 -2.358207e-05 -3.979595e-06 -6.874604e-07 -1.118409e-07 -8.489966e-05 -3.514510e-05 -4.683053e-05 -7.585944e-05
 7688.000000 -2.360950e-05 -3.990971e-06 -6.894209e-07 -1.122436e-07 -8.258592e-05 -3.845807e-05 -4.519964e-05 -7.105064e-05
 7689.000000 -2.368153e-05 -4.002570e-06 -6.912277e-07 -1.128476e-07 -7.978737e-05 -3.916912e-05 -4.833682e-05 -6.078269e-05
 7689.200000 -2.369404e-05 -4.005264e-06 -6.914029e-07 -1.128950e-07 -8.181385e-05 -3.299539e-05 -4.551226e-05 -5.801381e-05
 7689.400000 -2.369673e-05 -4.005514e-06 -6.916902e-07 -1.129751e-07 -9.604468e-05 -4.332984e-05 -4.901250e-05 -5.965322e-05
 7689.600000 -2.371567e-05 -4.007729e-06 -6.921455e-07 -1.132212e-07 -9.454839e-05 -4.458791e-05 -5.102113e-05 -5.535942e-05
 7689.800000 -2.367882e-05 -4.004638e-06 -6.914246e-07 -1.129105e-07 -9.683881e-05 -4.235795e-05 -4.289291e-05 -4.995657e-05
 7690.000000 -2.370836e-05 -4.008804e-06 -6.922583e-07 -1.130933e-07 -8.722818e-05 -3.555824e-05 -4.171968e-05 -6.166451e-05
 7690.200000 -2.366888e-05 -4.006328e-06 -6.916339e-07 -1.128036e-07 -8.361268e-05 -2.888961e-05 -4.132951e-05 -5.753599e-05
 7690.400000 -2.369417e-05 -4.009359e-06 -6.922287e-07 -1.131590e-07 -8.321062e-05 -3.556999e-05 -3.290451e-05 -5.379597e-05
 7690.600000 -2.371859e-05 -4.012005e-06 -6.927076e-07 -1.133487e-07 -8.156206e-05 -3.927231e-05 -3.800413e-05 -6.180378e-05
 7690.800000 -2.370349e-05 -4.010845e-06 -6.921700e-07 -1.131839e-07 -7.968228e-05 -4.076959e-05 -3.787043e-05 -5.842442e-05
 7691.000000 -2.366220e-05 -4.005889e-06 -6.917118e-07 -1.129498e-07 -7.943307e-05 -3.675965e-05 -2.818190e-05 -5.801114e-05
 7691.200000 -2.361464e-05 -4.002890e-06 -6.914644e-07 -1.127037e-07 -8.548800e-05 -3.808858e-05 -4.799555e-05 -6.422468e-05
 7691.400000 -2.357607e-05 -4.000381e-06 -6.908510e-07 -1.124096e-07 -8.911172e-05 -4.155161e-05 -4.223457e-05 -7.014736e-05
 7691.600000 -2.343845e-05 -3.988530e-06 -6.887690e-07 -1.116557e-07 -9.198098e-05 -4.540421e-05 -4.926008e-05 -7.717870e-05
 7691.800000 -2.351166e-05 -3.994737e-06 -6.895874e-07 -1.121198e-07 -8.876509e-05 -4.685586e-05 -4.847670e-05 -6.972114e-05
 7692.000000 -2.339243e-05 -3.985060e-06 -6.885712e-07 -1.113487e-07 -9.397816e-05 -4.701862e-05 -4.558507e-05 -6.527068e-05
 7692.200000 -2.350752e-05 -3.996013e-06 -6.902026e-07 -1.121209e-07 -9.087068e-05 -4.808120e-05 -5.210862e-05 -6.736844e-05
 7692.400000 -2.355042e-05 -4.001033e-06 -6.909129e-07 -1.125338e-07 -8.679034e-05 -4.976099e-05 -4.882700e-05 -6.811866e-05
 7692.600000 -2.362721e-05 -4.008751e-06 -6.921117e-07 -1.130918e-07 -8.397426e-05 -4.728700e-05 -4.843553e-05 -6.369055e-05
 7692.800000 -2.356535e-05 -4.003962e-06 -6.912391e-07 -1.126946e-07 -7.189299e-05 -4.782233e-05 -4.680121e-05 -4.937736e-05
 7693.000000 -2.352422e-05 -4.001952e-06 -6.910478e-07 -1.123351e-07 -6.936609e-05 -4.903326e-05 -3.589697e-05 -5.471418e-05
 7693.200000 -2.353505e-05 -4.003327e-06 -6.912274e-07 -1.124159e-07 -7.753858e-05 -5.566318e-05 -4.512139e-05 -6.611828e-05
 7693.400000 -2.355673e-05 -4.005676e-06 -6.915812e-07 -1.127184e-07 -8.159661e-05 -5.136639e-05 -5.034246e-05 -7.394827e-05
 7693.600000 -2.358585e-05 -4.009700e-06 -6.922150e-07 -1.129428e-07 -8.071864e-05 -4.740308e-05 -5.254286e-05 -7.122168e-05
 7693.800000 -2.354026e-05 -4.005207e-06 -6.914269e-07 -1.126415e-07 -7.900503e-05 -4.481588e-05 -4.764748e-05 -6.888882e-05
 7694.000000 -2.363261e-05 -4.015615e-06 -6.927881e-07 -1.132239e-07 -8.357656e-05 -4.499233e-05 -5.179521e-05 -6.356552e-05
 7694.200000 -2.352333e-05 -4.006409e-06 -6.913603e-07 -1.124727e-07 -8.310780e-05 -5.009528e-05 -5.467395e-05 -6.021045e-05
 7694.400000 -2.363772e-05 -4.018128e-06 -6.931022e-07 -1.133129e-07 -8.083737e-05 -5.047722e-05 -5.694945e-05 -6.536815e-05
 7694.600000 -2.362247e-05 -4.017559e-06 -6.932345e-07 -1.132705e-07 -9.165257e-05 -4.706570e-05 -5.826199e-05 -5.607749e-05
 7694.800000 -2.370317e-05 -4.026283e-06 -6.942140e-07 -1.138115e-07 -9.459870e-05 -3.992433e-05 -5.460532e-05 -5.806917e-05
 7695.000000 -2.371787e-05 -4.028807e-06 -6.947251e-07 -1.139075e-07 -9.901457e-05 -3.304641e-05 -6.077837e-05 -6.017617e-05
 7695.200000 -2.375220e-05 -4.031840e-06 -6.952493e-07 -1.142238e-07 -7.767323e-05 -3.395770e-05 -5.741738e-05 -4.393511e-05
 7695.400000 -2.374657e-05 -4.032602e-06 -6.951931e-07 -1.142795e-07 -7.922608e-05 -3.069975e-05 -7.125006e-05 -6.052302e-05
 7695.600000 -2.372171e-05 -4.029506e-06 -6.948469e-07 -1.140819e-07 -8.111208e-05 -3.366006e-05 -6.616575e-05 -6.774897e-05
 7695.800000 -2.367852e-05 -4.026624e-06 -6.941995e-07 -1.138754e-07 -8.295273e-05 -3.522711e-05 -6.915863e-05 -6.909538e-05
 7696.000000 -2.363504e-05 -4.022263e-06 -6.933892e-07 -1.136867e-07 -8.151562e-05 -3.429421e-05 -6.707186e-05 -5.717153e-05
 7696.200000 -2.359732e-05 -4.018957e-06 -6.929841e-07 -1.134270e-07 -8.538174e-05 -3.736916e-05 -7.462729e-05 -6.927083e-05
 7696.400000 -2.354305e-05 -4.013315e-06 -6.919345e-07 -1.131245e-07 -8.387574e-05 -3.687166e-05 -5.019169e-05 -5.492233e-05
 7696.600000 -2.354137e-05 -4.012265e-06 -6.913888e-07 -1.130599e-07 -7.629777e-05 -3.719283e-05 -5.290730e-05 -5.332945e-05
