# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.5100881816792
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_3V  Co 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -1.63002131
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  12:11:31
# Scan.end_time: 02/21/2022  12:11:54
# Scan.duration: 00:23
# Scan.transient_id: 196812
# Scan.uid: c7165d12-a449-4393-a309-c5712ff2b37f
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.562801e-05 -2.447078e-06 -4.133948e-07 -6.919682e-08 -5.356825e-05 -3.439314e-05 -4.432371e-05 -3.799200e-05
 7614.000000 -2.317173e-05 -3.638857e-06 -6.155743e-07 -1.030681e-07 -7.745849e-05 -5.146295e-05 -6.580354e-05 -6.002844e-05
 7619.000000 -2.328670e-05 -3.672140e-06 -6.222862e-07 -1.041516e-07 -8.417399e-05 -5.030546e-05 -6.046497e-05 -5.771993e-05
 7624.000000 -2.333809e-05 -3.697133e-06 -6.275995e-07 -1.048953e-07 -8.277758e-05 -3.999587e-05 -6.457142e-05 -5.813629e-05
 7629.000000 -2.336486e-05 -3.720282e-06 -6.324689e-07 -1.054563e-07 -8.478062e-05 -4.332377e-05 -6.688380e-05 -5.810073e-05
 7634.000000 -2.333635e-05 -3.738967e-06 -6.367890e-07 -1.056620e-07 -9.850137e-05 -3.770687e-05 -6.798678e-05 -6.085454e-05
 7639.000000 -2.340356e-05 -3.765223e-06 -6.422088e-07 -1.065115e-07 -9.735962e-05 -3.578846e-05 -6.856519e-05 -6.813412e-05
 7644.000000 -2.343329e-05 -3.786131e-06 -6.466957e-07 -1.072003e-07 -9.216597e-05 -3.847660e-05 -7.030766e-05 -6.560066e-05
 7649.000000 -2.331395e-05 -3.796110e-06 -6.497211e-07 -1.068185e-07 -8.684010e-05 -3.886857e-05 -6.786658e-05 -6.232973e-05
 7654.000000 -2.342005e-05 -3.822147e-06 -6.549510e-07 -1.081026e-07 -8.566198e-05 -4.079687e-05 -6.533321e-05 -6.921428e-05
 7659.000000 -2.355040e-05 -3.857700e-06 -6.618460e-07 -1.092986e-07 -8.099375e-05 -3.949844e-05 -6.496470e-05 -6.663124e-05
 7664.000000 -2.360370e-05 -3.883799e-06 -6.671176e-07 -1.100785e-07 -7.264486e-05 -3.806417e-05 -7.397437e-05 -6.772481e-05
 7669.000000 -2.355072e-05 -3.899976e-06 -6.709284e-07 -1.101596e-07 -7.189942e-05 -3.260276e-05 -8.776451e-05 -7.261788e-05
 7674.000000 -2.361701e-05 -3.924839e-06 -6.758598e-07 -1.111425e-07 -7.342482e-05 -3.830349e-05 -7.992829e-05 -6.909239e-05
 7679.000000 -2.369985e-05 -3.951237e-06 -6.810669e-07 -1.122802e-07 -7.427699e-05 -4.408876e-05 -7.138068e-05 -6.121104e-05
 7683.000000 -2.364982e-05 -3.963126e-06 -6.837761e-07 -1.123874e-07 -7.423775e-05 -3.467162e-05 -7.227379e-05 -6.553774e-05
 7686.000000 -2.369180e-05 -3.978190e-06 -6.867591e-07 -1.130633e-07 -7.736048e-05 -2.636106e-05 -7.263869e-05 -6.229595e-05
 7688.000000 -2.370519e-05 -3.987669e-06 -6.884282e-07 -1.133819e-07 -8.562113e-05 -3.049236e-05 -7.306076e-05 -6.117321e-05
 7689.000000 -2.368880e-05 -3.990408e-06 -6.889427e-07 -1.133494e-07 -8.394863e-05 -3.334469e-05 -7.845812e-05 -7.401253e-05
 7689.200000 -2.371865e-05 -3.993098e-06 -6.893240e-07 -1.136267e-07 -8.608979e-05 -3.935442e-05 -7.777411e-05 -7.981954e-05
 7689.400000 -2.375486e-05 -3.996962e-06 -6.900903e-07 -1.138814e-07 -8.308369e-05 -3.203021e-05 -8.106135e-05 -7.970236e-05
 7689.600000 -2.376295e-05 -4.000077e-06 -6.903393e-07 -1.139920e-07 -7.984804e-05 -3.023648e-05 -8.020200e-05 -7.269519e-05
 7689.800000 -2.374873e-05 -4.000182e-06 -6.906361e-07 -1.138858e-07 -9.013134e-05 -2.638939e-05 -7.774955e-05 -6.357165e-05
