# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.0406333927256
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_3V  Co 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -1.63002131
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  12:12:03
# Scan.end_time: 02/21/2022  12:12:26
# Scan.duration: 00:23
# Scan.transient_id: 196813
# Scan.uid: f205a7c4-f612-4639-bd96-37f1ef4b0102
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.556828e-05 -2.444552e-06 -4.130045e-07 -6.867722e-08 -4.349603e-05 -3.022924e-05 -2.734218e-05 -4.072601e-05
 7614.000000 -2.298758e-05 -3.628640e-06 -6.144026e-07 -1.016405e-07 -7.036403e-05 -4.056267e-05 -4.416757e-05 -5.659087e-05
 7619.000000 -2.310800e-05 -3.662664e-06 -6.211830e-07 -1.027589e-07 -6.821031e-05 -4.835178e-05 -3.737917e-05 -5.245150e-05
 7624.000000 -2.325379e-05 -3.694324e-06 -6.273250e-07 -1.041397e-07 -5.547480e-05 -4.289042e-05 -3.742288e-05 -5.273866e-05
 7629.000000 -2.333958e-05 -3.721485e-06 -6.328272e-07 -1.051340e-07 -4.895772e-05 -4.027236e-05 -5.412085e-05 -5.053722e-05
 7634.000000 -2.328472e-05 -3.738147e-06 -6.369028e-07 -1.051536e-07 -4.770256e-05 -4.632328e-05 -4.986384e-05 -4.941721e-05
 7639.000000 -2.322354e-05 -3.753230e-06 -6.409069e-07 -1.052102e-07 -6.612606e-05 -5.575934e-05 -4.897015e-05 -5.244850e-05
 7644.000000 -2.328370e-05 -3.777323e-06 -6.461229e-07 -1.060482e-07 -6.854454e-05 -5.006511e-05 -4.077482e-05 -5.210861e-05
 7649.000000 -2.346378e-05 -3.811699e-06 -6.524203e-07 -1.076834e-07 -7.441778e-05 -4.936014e-05 -4.263915e-05 -4.775484e-05
 7654.000000 -2.345606e-05 -3.828912e-06 -6.562665e-07 -1.081030e-07 -7.929688e-05 -4.487874e-05 -3.237787e-05 -3.727488e-05
 7659.000000 -2.349007e-05 -3.858084e-06 -6.622829e-07 -1.086625e-07 -7.657910e-05 -4.255278e-05 -3.466007e-05 -4.249365e-05
 7664.000000 -2.345041e-05 -3.876241e-06 -6.663732e-07 -1.088219e-07 -7.573478e-05 -4.071659e-05 -3.523716e-05 -5.340774e-05
 7669.000000 -2.358350e-05 -3.908915e-06 -6.725233e-07 -1.101319e-07 -7.479837e-05 -3.898533e-05 -3.799408e-05 -5.728892e-05
 7674.000000 -2.354250e-05 -3.925192e-06 -6.762537e-07 -1.103247e-07 -7.067832e-05 -3.777626e-05 -4.140479e-05 -5.130773e-05
 7679.000000 -2.364335e-05 -3.953644e-06 -6.816531e-07 -1.115733e-07 -7.789178e-05 -3.415814e-05 -3.969578e-05 -5.086864e-05
 7683.000000 -2.368006e-05 -3.973398e-06 -6.854157e-07 -1.122322e-07 -7.542232e-05 -3.200044e-05 -3.590819e-05 -2.919575e-05
 7686.000000 -2.359042e-05 -3.977183e-06 -6.865307e-07 -1.119257e-07 -7.883956e-05 -3.365787e-05 -3.300169e-05 -1.802058e-05
 7688.000000 -2.352041e-05 -3.980789e-06 -6.873044e-07 -1.115869e-07 -7.985688e-05 -1.995752e-05 -3.466017e-05 -1.155809e-05
 7689.000000 -2.359360e-05 -3.991826e-06 -6.888801e-07 -1.121868e-07 -8.658402e-05 -1.357520e-05 -3.516321e-05 -1.041787e-05
 7689.200000 -2.366274e-05 -3.998423e-06 -6.899653e-07 -1.126506e-07 -9.592460e-05 -1.100438e-05 -2.724105e-05 -1.058271e-05
 7689.400000 -2.369111e-05 -4.000773e-06 -6.904634e-07 -1.129233e-07 -9.070975e-05 -9.287381e-06 -3.130995e-05 -1.789053e-05
 7689.600000 -2.369484e-05 -4.002957e-06 -6.906364e-07 -1.130646e-07 -8.902646e-05 -1.806172e-05 -3.334175e-05 -1.115022e-05
 7689.800000 -2.364612e-05 -4.000291e-06 -6.904755e-07 -1.127243e-07 -8.618793e-05 -1.809838e-05 -3.311634e-05 -1.496849e-05
 7690.000000 -2.373529e-05 -4.007945e-06 -6.917194e-07 -1.134378e-07 -8.769418e-05 -1.283876e-05 -2.215680e-05 -2.629411e-05
 7690.200000 -2.376380e-05 -4.010965e-06 -6.919450e-07 -1.136247e-07 -7.498759e-05 -9.381759e-06 -2.427077e-05 -2.535353e-05
 7690.400000 -2.380620e-05 -4.016187e-06 -6.927875e-07 -1.139807e-07 -8.547067e-05 -2.217231e-05 -2.100655e-05 -1.176632e-05
 7690.600000 -2.377314e-05 -4.013466e-06 -6.925000e-07 -1.138271e-07 -8.155831e-05 -2.473692e-05 -2.179569e-05 -1.483011e-05
 7690.800000 -2.376764e-05 -4.014831e-06 -6.925588e-07 -1.138571e-07 -8.092533e-05 -3.161398e-05 -3.084854e-05 -1.789722e-05
 7691.000000 -2.374028e-05 -4.011708e-06 -6.922542e-07 -1.135808e-07 -8.637786e-05 -2.408322e-05 -3.398631e-05 -2.400734e-05
 7691.200000 -2.371197e-05 -4.008835e-06 -6.918458e-07 -1.134393e-07 -7.998132e-05 -2.485753e-05 -3.743211e-05 -2.479038e-05
 7691.400000 -2.364049e-05 -4.003518e-06 -6.909395e-07 -1.130310e-07 -8.222087e-05 -1.531852e-05 -3.656444e-05 -1.652595e-05
 7691.600000 -2.364268e-05 -4.004354e-06 -6.913032e-07 -1.131510e-07 -8.781741e-05 -9.941001e-06 -3.730618e-05 -1.423371e-05
 7691.800000 -2.361726e-05 -4.003557e-06 -6.912689e-07 -1.129550e-07 -8.314657e-05 -1.906064e-05 -4.136328e-05 -1.942215e-05
 7692.000000 -2.351702e-05 -3.995472e-06 -6.901782e-07 -1.122451e-07 -8.795562e-05 -2.236055e-05 -3.526990e-05 -1.874308e-05
 7692.200000 -2.346206e-05 -3.991390e-06 -6.893079e-07 -1.118776e-07 -7.711774e-05 -2.341479e-05 -2.328434e-05 -1.643519e-05
 7692.400000 -2.355098e-05 -3.999876e-06 -6.904427e-07 -1.125571e-07 -7.731612e-05 -1.300781e-05 -2.870302e-05 -9.975438e-06
 7692.600000 -2.363612e-05 -4.006925e-06 -6.921078e-07 -1.132089e-07 -7.475067e-05 -1.836680e-05 -2.932862e-05 -1.781431e-05
 7692.800000 -2.368455e-05 -4.013059e-06 -6.925357e-07 -1.135348e-07 -7.266816e-05 -1.693641e-05 -2.928212e-05 -1.805120e-05
 7693.000000 -2.365835e-05 -4.011192e-06 -6.921934e-07 -1.134305e-07 -6.913005e-05 -2.208190e-05 -3.247449e-05 -1.094352e-05
 7693.200000 -2.359831e-05 -4.007691e-06 -6.918619e-07 -1.130534e-07 -6.434661e-05 -1.947182e-05 -3.051609e-05 -2.762337e-06
 7693.400000 -2.362537e-05 -4.010097e-06 -6.920983e-07 -1.132860e-07 -6.967792e-05 -1.969681e-05 -3.519762e-05 -1.546948e-05
 7693.600000 -2.358333e-05 -4.006985e-06 -6.916544e-07 -1.130374e-07 -7.018310e-05 -2.468363e-05 -3.934133e-05 -1.579100e-05
 7693.800000 -2.357364e-05 -4.006644e-06 -6.914690e-07 -1.129675e-07 -8.239887e-05 -3.392008e-05 -3.234553e-05 -1.026455e-05
