# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.6892663352524
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_3V  Co 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -1.63002131
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  12:12:34
# Scan.end_time: 02/21/2022  12:12:58
# Scan.duration: 00:23
# Scan.transient_id: 196814
# Scan.uid: 534bee45-7c95-4989-9653-6d820cae3086
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.589955e-05 -2.497464e-06 -4.218702e-07 -7.002141e-08 -6.038577e-05 -3.276843e-05 -3.225289e-05 -2.128824e-05
 7614.000000 -2.305598e-05 -3.642710e-06 -6.163409e-07 -1.017088e-07 -9.046393e-05 -5.599953e-05 -3.953923e-05 -3.474140e-05
 7619.000000 -2.319281e-05 -3.678504e-06 -6.233905e-07 -1.029344e-07 -8.443867e-05 -6.047288e-05 -3.876749e-05 -3.552214e-05
 7624.000000 -2.324685e-05 -3.703449e-06 -6.285545e-07 -1.036920e-07 -8.224862e-05 -6.102021e-05 -4.592958e-05 -2.666689e-05
 7629.000000 -2.316647e-05 -3.716719e-06 -6.320113e-07 -1.035425e-07 -8.424280e-05 -5.684004e-05 -4.457219e-05 -2.436906e-05
 7634.000000 -2.329626e-05 -3.748736e-06 -6.382784e-07 -1.047655e-07 -8.746086e-05 -5.774396e-05 -3.492581e-05 -2.694381e-05
 7639.000000 -2.336190e-05 -3.774300e-06 -6.436268e-07 -1.056518e-07 -7.956991e-05 -4.722576e-05 -3.144723e-05 -2.562244e-05
 7644.000000 -2.333715e-05 -3.791464e-06 -6.478901e-07 -1.059560e-07 -7.466541e-05 -4.593651e-05 -4.204689e-05 -2.969010e-05
 7649.000000 -2.342650e-05 -3.818256e-06 -6.534261e-07 -1.070216e-07 -7.410538e-05 -4.024329e-05 -4.647501e-05 -3.776639e-05
 7654.000000 -2.333399e-05 -3.826906e-06 -6.559973e-07 -1.069309e-07 -7.641933e-05 -3.891018e-05 -4.998506e-05 -4.117198e-05
 7659.000000 -2.347221e-05 -3.863819e-06 -6.631160e-07 -1.081939e-07 -8.140996e-05 -4.319324e-05 -4.181648e-05 -3.346912e-05
 7664.000000 -2.354172e-05 -3.890609e-06 -6.684547e-07 -1.090648e-07 -8.963816e-05 -4.176570e-05 -5.392378e-05 -3.414678e-05
 7669.000000 -2.350463e-05 -3.908482e-06 -6.724706e-07 -1.092335e-07 -8.835619e-05 -4.001834e-05 -5.139675e-05 -3.769074e-05
 7674.000000 -2.363195e-05 -3.939691e-06 -6.783664e-07 -1.106164e-07 -8.574287e-05 -3.660494e-05 -3.621152e-05 -3.101098e-05
 7679.000000 -2.361406e-05 -3.956986e-06 -6.821190e-07 -1.110792e-07 -8.340030e-05 -4.098570e-05 -3.583316e-05 -2.916342e-05
 7683.000000 -2.361440e-05 -3.972443e-06 -6.852178e-07 -1.115017e-07 -8.136177e-05 -4.332396e-05 -3.731103e-05 -2.038300e-05
 7686.000000 -2.369684e-05 -3.991286e-06 -6.885470e-07 -1.124160e-07 -9.045694e-05 -4.503488e-05 -3.908784e-05 -1.636435e-05
 7688.000000 -2.372646e-05 -4.002512e-06 -6.906143e-07 -1.128976e-07 -9.703304e-05 -4.942219e-05 -3.938819e-05 -2.105621e-05
 7689.000000 -2.367996e-05 -4.002472e-06 -6.906744e-07 -1.126732e-07 -9.080639e-05 -5.108763e-05 -4.117104e-05 -1.908698e-05
 7689.200000 -2.367018e-05 -4.002733e-06 -6.907233e-07 -1.126211e-07 -9.388123e-05 -5.405819e-05 -4.097845e-05 -1.653048e-05
 7689.400000 -2.369986e-05 -4.005678e-06 -6.912541e-07 -1.128754e-07 -9.872013e-05 -5.205035e-05 -4.801381e-05 -2.250436e-05
 7689.600000 -2.366991e-05 -4.003366e-06 -6.909492e-07 -1.127484e-07 -9.171808e-05 -4.848461e-05 -3.617192e-05 -1.279646e-05
 7689.800000 -2.361626e-05 -3.999736e-06 -6.905917e-07 -1.123761e-07 -9.433836e-05 -4.783529e-05 -3.065007e-05 -1.263027e-05
 7690.000000 -2.368740e-05 -4.007307e-06 -6.915582e-07 -1.128963e-07 -1.019901e-04 -5.364203e-05 -2.423064e-05 -1.783614e-05
 7690.200000 -2.361343e-05 -4.001941e-06 -6.906740e-07 -1.123519e-07 -9.449852e-05 -5.412662e-05 -1.439455e-05 -1.764410e-05
 7690.400000 -2.371083e-05 -4.011830e-06 -6.922000e-07 -1.131000e-07 -9.774286e-05 -5.649445e-05 -2.994907e-05 -2.362738e-05
 7690.600000 -2.370008e-05 -4.010349e-06 -6.922905e-07 -1.130236e-07 -9.309105e-05 -6.317501e-05 -2.201146e-05 -2.786585e-05
 7690.800000 -2.375397e-05 -4.017222e-06 -6.929763e-07 -1.134264e-07 -9.216484e-05 -5.206896e-05 -2.256968e-05 -1.782240e-05
 7691.000000 -2.377082e-05 -4.019779e-06 -6.934210e-07 -1.134940e-07 -8.849273e-05 -5.408468e-05 -3.297942e-05 -1.406811e-05
 7691.200000 -2.377156e-05 -4.020766e-06 -6.936419e-07 -1.136040e-07 -9.283607e-05 -4.603155e-05 -3.200208e-05 -1.083685e-05
 7691.400000 -2.376787e-05 -4.020411e-06 -6.935053e-07 -1.136410e-07 -9.516245e-05 -4.403424e-05 -2.923475e-05 -1.367836e-05
 7691.600000 -2.378304e-05 -4.022826e-06 -6.938402e-07 -1.136887e-07 -9.412274e-05 -4.285200e-05 -3.923617e-05 -1.834539e-05
 7691.800000 -2.379258e-05 -4.024806e-06 -6.943204e-07 -1.137400e-07 -9.625383e-05 -4.175894e-05 -4.637235e-05 -1.258809e-05
 7692.000000 -2.377557e-05 -4.024400e-06 -6.941511e-07 -1.137378e-07 -1.028160e-04 -4.661454e-05 -3.158282e-05 -4.760466e-06
 7692.200000 -2.377796e-05 -4.025927e-06 -6.944415e-07 -1.137797e-07 -9.325961e-05 -4.271141e-05 -3.133348e-05 -1.232992e-05
 7692.400000 -2.375043e-05 -4.023689e-06 -6.939701e-07 -1.135977e-07 -9.312148e-05 -4.662494e-05 -3.802522e-05 -1.502011e-05
 7692.600000 -2.371801e-05 -4.021226e-06 -6.935880e-07 -1.134029e-07 -8.100027e-05 -5.658645e-05 -3.887548e-05 -9.377559e-06
 7692.800000 -2.377042e-05 -4.025987e-06 -6.943663e-07 -1.137175e-07 -7.865331e-05 -4.838700e-05 -2.973845e-05 -1.213502e-05
 7693.000000 -2.376731e-05 -4.027047e-06 -6.944391e-07 -1.137798e-07 -7.525287e-05 -4.860733e-05 -3.746994e-05 -1.012889e-05
 7693.200000 -2.375334e-05 -4.026376e-06 -6.945076e-07 -1.137505e-07 -7.431115e-05 -4.330417e-05 -4.287694e-05 -1.655115e-05
 7693.400000 -2.370194e-05 -4.022836e-06 -6.941141e-07 -1.134313e-07 -7.217731e-05 -3.866599e-05 -4.567222e-05 -2.053513e-05
 7693.600000 -2.367154e-05 -4.020841e-06 -6.937761e-07 -1.132055e-07 -8.211010e-05 -3.977596e-05 -3.737943e-05 -2.257274e-05
 7693.800000 -2.368486e-05 -4.021765e-06 -6.939339e-07 -1.134117e-07 -6.672882e-05 -4.475705e-05 -3.172608e-05 -2.398082e-05
 7694.000000 -2.366659e-05 -4.020657e-06 -6.935830e-07 -1.132453e-07 -5.632246e-05 -4.832116e-05 -3.435060e-05 -2.789079e-05
 7694.200000 -2.365187e-05 -4.021619e-06 -6.937330e-07 -1.132658e-07 -5.744423e-05 -4.420984e-05 -4.396518e-05 -2.630407e-05
 7694.400000 -2.366664e-05 -4.022443e-06 -6.939946e-07 -1.134883e-07 -6.803053e-05 -4.456596e-05 -3.691051e-05 -2.708287e-05
 7694.600000 -2.372612e-05 -4.030399e-06 -6.951502e-07 -1.136127e-07 -6.599371e-05 -3.816638e-05 -3.791004e-05 -1.774902e-05
 7694.800000 -2.373037e-05 -4.030637e-06 -6.949988e-07 -1.137747e-07 -6.641694e-05 -4.684666e-05 -4.477336e-05 -1.201293e-05
 7695.000000 -2.371897e-05 -4.031322e-06 -6.948233e-07 -1.137249e-07 -6.487420e-05 -4.206953e-05 -4.338662e-05 -1.113315e-05
