# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.19790142169836
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_3V  Mnt 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -1.63002131
# ISS.sample_y_position: 15.696079060999999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  12:07:17
# Scan.end_time: 02/21/2022  12:07:41
# Scan.duration: 00:23
# Scan.transient_id: 196805
# Scan.uid: 93ac269b-7cf7-4709-ae1f-c220830a6b0d
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.459634e-06 -5.350259e-07 -4.898510e-08 -2.017076e-09 -6.345529e-05 -2.482035e-05 -4.657029e-05 -2.969405e-05
 6444.000000 -1.284363e-05 -8.173623e-07 -7.499737e-08 -3.084082e-09 -9.425416e-05 -3.049677e-05 -6.703315e-05 -5.186946e-05
 6449.000000 -1.291931e-05 -8.289792e-07 -7.630057e-08 -3.138251e-09 -8.838214e-05 -3.357816e-05 -6.144564e-05 -5.124447e-05
 6454.000000 -1.292467e-05 -8.352908e-07 -7.717512e-08 -3.169428e-09 -9.342007e-05 -3.063364e-05 -5.352241e-05 -4.119714e-05
 6459.000000 -1.301568e-05 -8.478333e-07 -7.864336e-08 -3.221834e-09 -9.061642e-05 -3.196682e-05 -5.908505e-05 -4.196642e-05
 6464.000000 -1.309298e-05 -8.595301e-07 -8.005947e-08 -3.269292e-09 -9.511484e-05 -2.545841e-05 -6.522521e-05 -4.005370e-05
 6469.000000 -1.313129e-05 -8.687892e-07 -8.114571e-08 -3.312696e-09 -9.397751e-05 -2.397888e-05 -6.890144e-05 -3.390987e-05
 6474.000000 -1.321731e-05 -8.818568e-07 -8.262288e-08 -3.369276e-09 -9.535287e-05 -2.899329e-05 -7.678633e-05 -4.276730e-05
 6479.000000 -1.329300e-05 -8.934093e-07 -8.398341e-08 -3.414051e-09 -8.779420e-05 -2.772984e-05 -7.719583e-05 -4.209396e-05
 6484.000000 -1.336117e-05 -9.052581e-07 -8.534946e-08 -3.468746e-09 -8.503684e-05 -3.066421e-05 -7.173766e-05 -4.268674e-05
 6489.000000 -1.342421e-05 -9.164953e-07 -8.670528e-08 -3.520201e-09 -7.188016e-05 -3.803798e-05 -7.028009e-05 -4.497692e-05
