# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.8336335073488
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_3V  Mnt 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -1.63002131
# ISS.sample_y_position: 15.696079060999999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  12:07:50
# Scan.end_time: 02/21/2022  12:08:13
# Scan.duration: 00:23
# Scan.transient_id: 196806
# Scan.uid: 4b1005a1-66df-4f42-9f06-c3e0ff5872f9
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.394099e-06 -5.291386e-07 -4.843525e-08 -2.006327e-09 -5.973134e-05 -4.383139e-05 -3.480474e-05 -4.040960e-05
 6444.000000 -1.279140e-05 -8.111957e-07 -7.451168e-08 -3.081807e-09 -8.764224e-05 -6.703907e-05 -5.615323e-05 -6.020556e-05
 6449.000000 -1.287386e-05 -8.224692e-07 -7.587101e-08 -3.136805e-09 -7.929093e-05 -6.808287e-05 -7.229658e-05 -6.341728e-05
 6454.000000 -1.288349e-05 -8.296364e-07 -7.678420e-08 -3.167067e-09 -8.493878e-05 -6.360462e-05 -6.738536e-05 -7.144836e-05
 6459.000000 -1.294495e-05 -8.401166e-07 -7.793997e-08 -3.211853e-09 -7.952729e-05 -6.698520e-05 -6.565876e-05 -6.662488e-05
 6464.000000 -1.301126e-05 -8.507886e-07 -7.924909e-08 -3.262568e-09 -7.410023e-05 -6.096483e-05 -6.567226e-05 -5.908247e-05
 6469.000000 -1.302967e-05 -8.580844e-07 -8.024881e-08 -3.291340e-09 -8.525334e-05 -6.233500e-05 -7.292033e-05 -6.862630e-05
 6474.000000 -1.308873e-05 -8.686344e-07 -8.149966e-08 -3.344988e-09 -9.495894e-05 -6.291228e-05 -7.936312e-05 -6.807013e-05
 6479.000000 -1.313986e-05 -8.788272e-07 -8.265937e-08 -3.390493e-09 -1.004284e-04 -6.656076e-05 -7.786165e-05 -6.528918e-05
 6484.000000 -1.318182e-05 -8.885369e-07 -8.382570e-08 -3.431960e-09 -1.004335e-04 -7.448623e-05 -6.978251e-05 -7.150660e-05
 6489.000000 -1.330787e-05 -9.048487e-07 -8.567527e-08 -3.498012e-09 -8.413987e-05 -7.802694e-05 -7.730474e-05 -6.491092e-05
