# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.4834841492324
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_3V  Mnt 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -1.63002131
# ISS.sample_y_position: 15.6961362815
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  12:08:23
# Scan.end_time: 02/21/2022  12:08:46
# Scan.duration: 00:23
# Scan.transient_id: 196807
# Scan.uid: 7a22e32c-e550-47b4-b7ad-87c3f00ce7a7
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.447426e-06 -5.323694e-07 -4.878898e-08 -2.019742e-09 -5.499034e-05 -3.315146e-05 -5.097036e-05 -4.377116e-05
 6444.000000 -1.283002e-05 -8.134059e-07 -7.480670e-08 -3.091110e-09 -8.755257e-05 -4.316260e-05 -7.369599e-05 -5.893118e-05
 6449.000000 -1.292525e-05 -8.260082e-07 -7.621935e-08 -3.148603e-09 -9.365715e-05 -4.094557e-05 -7.014236e-05 -7.168668e-05
 6454.000000 -1.290633e-05 -8.305231e-07 -7.698662e-08 -3.168314e-09 -9.094870e-05 -4.824404e-05 -6.971384e-05 -6.620719e-05
 6459.000000 -1.297404e-05 -8.407109e-07 -7.826313e-08 -3.220956e-09 -9.361118e-05 -4.214886e-05 -7.371905e-05 -6.947388e-05
 6464.000000 -1.301967e-05 -8.502036e-07 -7.940623e-08 -3.264791e-09 -9.187451e-05 -3.656176e-05 -6.981005e-05 -5.689541e-05
 6469.000000 -1.308036e-05 -8.611969e-07 -8.077070e-08 -3.299060e-09 -9.211870e-05 -3.100838e-05 -7.949229e-05 -6.377181e-05
 6474.000000 -1.315641e-05 -8.729043e-07 -8.208136e-08 -3.352427e-09 -9.367995e-05 -3.716419e-05 -7.508083e-05 -7.199782e-05
 6479.000000 -1.320323e-05 -8.826158e-07 -8.330140e-08 -3.405469e-09 -8.950678e-05 -3.391614e-05 -6.136874e-05 -6.675883e-05
 6484.000000 -1.319993e-05 -8.887752e-07 -8.413416e-08 -3.434196e-09 -8.823864e-05 -3.992782e-05 -6.265785e-05 -6.622846e-05
 6489.000000 -1.331947e-05 -9.045258e-07 -8.586498e-08 -3.492080e-09 -9.071181e-05 -3.952679e-05 -6.672859e-05 -6.148930e-05
 6494.000000 -1.340124e-05 -9.173157e-07 -8.733412e-08 -3.557007e-09 -9.306053e-05 -3.908595e-05 -6.551740e-05 -6.162357e-05
 6499.000000 -1.341037e-05 -9.245247e-07 -8.831293e-08 -3.595866e-09 -9.640628e-05 -3.050494e-05 -5.999469e-05 -6.707732e-05
 6504.000000 -1.350332e-05 -9.381751e-07 -8.994697e-08 -3.659378e-09 -8.998688e-05 -2.996813e-05 -6.115049e-05 -7.216907e-05
 6509.000000 -1.354400e-05 -9.484809e-07 -9.127155e-08 -3.714985e-09 -9.870301e-05 -2.997084e-05 -6.090564e-05 -6.705688e-05
 6513.000000 -1.352257e-05 -9.521142e-07 -9.191519e-08 -3.747600e-09 -1.063680e-04 -2.730454e-05 -6.353203e-05 -6.291016e-05
 6516.000000 -1.366947e-05 -9.665134e-07 -9.353795e-08 -3.804379e-09 -1.078200e-04 -2.784302e-05 -7.071392e-05 -6.129942e-05
 6518.000000 -1.368841e-05 -9.706792e-07 -9.407742e-08 -3.818924e-09 -1.052450e-04 -2.558041e-05 -7.095085e-05 -6.138293e-05
 6519.000000 -1.370202e-05 -9.734438e-07 -9.437027e-08 -3.842902e-09 -9.816886e-05 -2.608301e-05 -7.256655e-05 -5.107066e-05
