# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.09770574797096
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_3V  Mnt 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -1.63002131
# ISS.sample_y_position: 15.696155355
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  12:08:55
# Scan.end_time: 02/21/2022  12:09:19
# Scan.duration: 00:24
# Scan.transient_id: 196808
# Scan.uid: 04fad842-ceaa-47b6-bb79-ca8504e14eb8
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.433440e-06 -5.323988e-07 -4.876182e-08 -2.016337e-09 -5.366499e-05 -2.665007e-05 -4.155131e-05 -5.080681e-05
 6444.000000 -1.281765e-05 -8.140073e-07 -7.479371e-08 -3.088497e-09 -8.020153e-05 -4.297995e-05 -6.402516e-05 -7.994384e-05
 6449.000000 -1.292178e-05 -8.272864e-07 -7.624055e-08 -3.139039e-09 -7.789854e-05 -3.751388e-05 -6.126722e-05 -8.186842e-05
 6454.000000 -1.293434e-05 -8.343908e-07 -7.712362e-08 -3.173941e-09 -7.926657e-05 -3.397426e-05 -6.493248e-05 -8.604261e-05
 6459.000000 -1.302269e-05 -8.467921e-07 -7.852875e-08 -3.226159e-09 -7.408747e-05 -3.233496e-05 -5.553674e-05 -7.456009e-05
 6464.000000 -1.312616e-05 -8.603894e-07 -8.006971e-08 -3.280944e-09 -7.833423e-05 -2.865010e-05 -5.388251e-05 -7.109565e-05
 6469.000000 -1.312334e-05 -8.672214e-07 -8.103207e-08 -3.313107e-09 -7.705088e-05 -3.411463e-05 -5.756897e-05 -8.244057e-05
 6474.000000 -1.317619e-05 -8.770250e-07 -8.221384e-08 -3.359559e-09 -8.175665e-05 -3.816471e-05 -5.501372e-05 -7.589211e-05
 6479.000000 -1.324601e-05 -8.892271e-07 -8.361412e-08 -3.413419e-09 -8.198437e-05 -2.818000e-05 -6.088152e-05 -8.063380e-05
 6484.000000 -1.330152e-05 -9.000608e-07 -8.487395e-08 -3.453166e-09 -7.617251e-05 -2.962163e-05 -6.481764e-05 -8.083235e-05
 6489.000000 -1.338598e-05 -9.125115e-07 -8.637333e-08 -3.511097e-09 -7.747191e-05 -2.159252e-05 -6.703057e-05 -7.701616e-05
 6494.000000 -1.346973e-05 -9.242769e-07 -8.788965e-08 -3.573747e-09 -7.631438e-05 -2.592897e-05 -6.581391e-05 -8.206909e-05
 6499.000000 -1.349906e-05 -9.336937e-07 -8.906148e-08 -3.617564e-09 -7.083255e-05 -3.017709e-05 -6.135727e-05 -7.721699e-05
 6504.000000 -1.357667e-05 -9.454746e-07 -9.054031e-08 -3.673295e-09 -6.453908e-05 -3.582909e-05 -6.007146e-05 -8.188352e-05
 6509.000000 -1.357387e-05 -9.519663e-07 -9.150879e-08 -3.716561e-09 -6.705466e-05 -4.189563e-05 -4.845286e-05 -8.013235e-05
 6513.000000 -1.351601e-05 -9.532273e-07 -9.192147e-08 -3.743857e-09 -6.609112e-05 -4.649326e-05 -4.653515e-05 -7.888769e-05
 6516.000000 -1.366140e-05 -9.681874e-07 -9.349095e-08 -3.792397e-09 -6.675005e-05 -3.318793e-05 -4.521290e-05 -8.716017e-05
 6518.000000 -1.360925e-05 -9.673597e-07 -9.338503e-08 -3.794935e-09 -7.261669e-05 -3.245025e-05 -5.462308e-05 -8.598524e-05
 6519.000000 -1.356169e-05 -9.655307e-07 -9.322715e-08 -3.792892e-09 -6.639859e-05 -2.662418e-05 -4.662998e-05 -7.942792e-05
 6519.200000 -1.351351e-05 -9.616430e-07 -9.280482e-08 -3.782213e-09 -6.985619e-05 -2.607063e-05 -4.938942e-05 -7.254407e-05
 6519.400000 -1.356691e-05 -9.654087e-07 -9.336074e-08 -3.796421e-09 -6.408840e-05 -3.166212e-05 -5.724797e-05 -7.399966e-05
 6519.600000 -1.361999e-05 -9.704985e-07 -9.371444e-08 -3.819611e-09 -7.043224e-05 -3.226371e-05 -5.598333e-05 -7.268289e-05
 6519.800000 -1.365720e-05 -9.733959e-07 -9.409955e-08 -3.819564e-09 -7.635370e-05 -2.675109e-05 -6.077801e-05 -8.161075e-05
 6520.000000 -1.368941e-05 -9.768409e-07 -9.442279e-08 -3.834886e-09 -7.634870e-05 -3.204720e-05 -6.418542e-05 -9.221175e-05
 6520.200000 -1.370825e-05 -9.784076e-07 -9.462117e-08 -3.859984e-09 -7.468438e-05 -2.962184e-05 -6.499437e-05 -9.010343e-05
 6520.400000 -1.372489e-05 -9.796301e-07 -9.486327e-08 -3.857108e-09 -7.086575e-05 -2.563205e-05 -5.070662e-05 -7.134257e-05
 6520.600000 -1.368537e-05 -9.776193e-07 -9.455424e-08 -3.842282e-09 -7.725657e-05 -3.329380e-05 -4.623509e-05 -7.708701e-05
 6520.800000 -1.369221e-05 -9.775906e-07 -9.465522e-08 -3.841333e-09 -7.602460e-05 -3.527773e-05 -5.036228e-05 -8.122236e-05
 6521.000000 -1.366762e-05 -9.762104e-07 -9.446495e-08 -3.851131e-09 -7.825651e-05 -4.043926e-05 -4.008912e-05 -6.874715e-05
 6521.200000 -1.371135e-05 -9.805388e-07 -9.477875e-08 -3.854281e-09 -8.055947e-05 -3.774735e-05 -4.706170e-05 -6.857906e-05
 6521.400000 -1.364048e-05 -9.754235e-07 -9.425164e-08 -3.831024e-09 -7.367841e-05 -3.978620e-05 -4.066237e-05 -7.079655e-05
 6521.600000 -1.373773e-05 -9.823333e-07 -9.515475e-08 -3.845267e-09 -7.098504e-05 -3.587750e-05 -4.971389e-05 -7.828055e-05
 6521.800000 -1.375716e-05 -9.840704e-07 -9.529804e-08 -3.865219e-09 -7.002417e-05 -4.003984e-05 -5.557717e-05 -7.483269e-05
 6522.000000 -1.373872e-05 -9.837484e-07 -9.520886e-08 -3.885942e-09 -6.898406e-05 -3.764632e-05 -5.554314e-05 -7.414635e-05
