# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.78968686507983
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_3V  Mnt 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -1.63002131
# ISS.sample_y_position: 15.696079060999999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/21/2022  12:09:28
# Scan.end_time: 02/21/2022  12:09:52
# Scan.duration: 00:23
# Scan.transient_id: 196809
# Scan.uid: ad2a9efe-69bd-433f-ae95-708f545fbeff
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.445885e-06 -5.305805e-07 -4.857528e-08 -2.020809e-09 -5.003172e-05 -2.900205e-05 -2.144732e-05 -3.815308e-05
 6444.000000 -1.280974e-05 -8.096163e-07 -7.433455e-08 -3.084581e-09 -7.324583e-05 -3.713226e-05 -4.120253e-05 -5.967490e-05
 6449.000000 -1.288415e-05 -8.205400e-07 -7.560096e-08 -3.137340e-09 -7.334924e-05 -4.838733e-05 -4.790205e-05 -6.882464e-05
 6454.000000 -1.287248e-05 -8.260919e-07 -7.637650e-08 -3.164598e-09 -7.410510e-05 -4.976260e-05 -5.127720e-05 -6.180906e-05
 6459.000000 -1.296719e-05 -8.386655e-07 -7.778238e-08 -3.220235e-09 -6.960618e-05 -5.134796e-05 -5.218805e-05 -5.710559e-05
 6464.000000 -1.305339e-05 -8.509934e-07 -7.917925e-08 -3.264273e-09 -6.804161e-05 -4.065254e-05 -5.173380e-05 -6.383235e-05
 6469.000000 -1.305284e-05 -8.578879e-07 -8.007011e-08 -3.295420e-09 -7.257968e-05 -4.986553e-05 -4.861266e-05 -6.568804e-05
 6474.000000 -1.315267e-05 -8.713363e-07 -8.155070e-08 -3.353538e-09 -7.527564e-05 -6.010448e-05 -4.161619e-05 -6.392623e-05
 6479.000000 -1.323281e-05 -8.831340e-07 -8.293692e-08 -3.407677e-09 -6.437547e-05 -5.490341e-05 -4.619268e-05 -5.877099e-05
 6484.000000 -1.327056e-05 -8.929702e-07 -8.411612e-08 -3.452774e-09 -6.788863e-05 -4.704323e-05 -4.270499e-05 -6.499861e-05
 6489.000000 -1.333170e-05 -9.043162e-07 -8.543251e-08 -3.500902e-09 -7.099569e-05 -5.415535e-05 -3.661487e-05 -6.720954e-05
