# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.1810115552945
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_8V Co 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 14.869967629
# ISS.sample_y_position: 16.5961003055
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  12:21:18
# Scan.end_time: 02/21/2022  12:21:43
# Scan.duration: 00:25
# Scan.transient_id: 196825
# Scan.uid: be1db41a-dfb9-4ea5-a972-7d1eb71ef651
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.565892e-05 -1.603509e-06 -2.716978e-07 -5.607475e-08 -6.613031e-05 -2.884214e-05 -4.013123e-05 -1.448893e-05
 7614.000000 -2.317357e-05 -2.383384e-06 -4.044569e-07 -8.337582e-08 -1.017503e-04 -3.609839e-05 -5.577890e-05 -2.728552e-05
 7619.000000 -2.317365e-05 -2.396803e-06 -4.076349e-07 -8.384943e-08 -1.132013e-04 -3.257120e-05 -6.473548e-05 -2.425910e-05
 7624.000000 -2.329842e-05 -2.423592e-06 -4.128018e-07 -8.482767e-08 -1.122449e-04 -3.971655e-05 -5.940990e-05 -2.141952e-05
 7629.000000 -2.324512e-05 -2.432087e-06 -4.149274e-07 -8.513760e-08 -1.150562e-04 -4.335451e-05 -5.457733e-05 -1.904802e-05
 7634.000000 -2.327602e-05 -2.449867e-06 -4.187830e-07 -8.579735e-08 -1.177641e-04 -3.859687e-05 -6.138239e-05 -2.271610e-05
 7639.000000 -2.334003e-05 -2.470826e-06 -4.231436e-07 -8.657199e-08 -1.201466e-04 -3.974384e-05 -5.223400e-05 -2.256606e-05
 7644.000000 -2.340356e-05 -2.491233e-06 -4.272633e-07 -8.735919e-08 -1.082637e-04 -3.749318e-05 -5.251000e-05 -3.252901e-05
 7649.000000 -2.348172e-05 -2.512735e-06 -4.315954e-07 -8.821110e-08 -9.849818e-05 -4.003818e-05 -4.555803e-05 -3.188403e-05
 7654.000000 -2.336819e-05 -2.514456e-06 -4.325519e-07 -8.832012e-08 -1.016123e-04 -3.653084e-05 -4.055413e-05 -2.246313e-05
 7659.000000 -2.339638e-05 -2.532298e-06 -4.362699e-07 -8.900969e-08 -9.877934e-05 -3.698864e-05 -4.758059e-05 -2.422293e-05
