# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.78839482619776
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_8V Co 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 14.869967629
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  12:21:52
# Scan.end_time: 02/21/2022  12:22:15
# Scan.duration: 00:23
# Scan.transient_id: 196826
# Scan.uid: 32226c52-f084-4b60-bae0-6fd762882500
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.560029e-05 -1.597808e-06 -2.709549e-07 -5.591207e-08 -7.282360e-05 -4.131012e-05 -4.888400e-05 -8.669997e-06
 7614.000000 -2.310989e-05 -2.377951e-06 -4.039155e-07 -8.322511e-08 -1.141457e-04 -7.110110e-05 -6.526951e-05 -1.790433e-05
 7619.000000 -2.327229e-05 -2.408397e-06 -4.098496e-07 -8.434724e-08 -1.165952e-04 -6.056321e-05 -6.448277e-05 -2.318020e-05
 7624.000000 -2.331999e-05 -2.427351e-06 -4.137218e-07 -8.500533e-08 -1.202626e-04 -4.766094e-05 -7.019772e-05 -2.654584e-05
 7629.000000 -2.331571e-05 -2.440644e-06 -4.166557e-07 -8.548291e-08 -1.160040e-04 -5.584084e-05 -6.911685e-05 -2.115427e-05
 7634.000000 -2.330396e-05 -2.452953e-06 -4.195620e-07 -8.598134e-08 -1.107813e-04 -5.381330e-05 -6.783429e-05 -1.625826e-05
 7639.000000 -2.342009e-05 -2.478676e-06 -4.245181e-07 -8.698437e-08 -1.052938e-04 -5.351050e-05 -6.101728e-05 -1.876221e-05
 7644.000000 -2.341344e-05 -2.492023e-06 -4.274132e-07 -8.747113e-08 -9.834922e-05 -4.774004e-05 -5.573431e-05 -1.326574e-05
 7649.000000 -2.342974e-05 -2.507266e-06 -4.306384e-07 -8.805071e-08 -1.019691e-04 -5.353305e-05 -4.659831e-05 -1.362924e-05
 7654.000000 -2.340669e-05 -2.519133e-06 -4.334207e-07 -8.854353e-08 -1.042529e-04 -5.855809e-05 -5.317644e-05 -1.665013e-05
 7659.000000 -2.343488e-05 -2.536784e-06 -4.371893e-07 -8.924559e-08 -1.085433e-04 -6.105399e-05 -4.688442e-05 -2.268659e-05
 7664.000000 -2.356512e-05 -2.564372e-06 -4.425241e-07 -9.034174e-08 -9.863062e-05 -6.461706e-05 -5.394738e-05 -1.520832e-05
 7669.000000 -2.361802e-05 -2.584054e-06 -4.463969e-07 -9.113672e-08 -1.057347e-04 -6.392408e-05 -6.036054e-05 -1.907297e-05
 7674.000000 -2.359942e-05 -2.596325e-06 -4.490292e-07 -9.169159e-08 -1.104621e-04 -5.622103e-05 -6.561918e-05 -2.184246e-05
 7679.000000 -2.362257e-05 -2.612927e-06 -4.524701e-07 -9.241734e-08 -1.086863e-04 -5.637680e-05 -7.043059e-05 -1.916573e-05
 7683.000000 -2.362313e-05 -2.624661e-06 -4.547970e-07 -9.292427e-08 -1.064602e-04 -5.608675e-05 -6.088092e-05 -1.747523e-05
 7686.000000 -2.366138e-05 -2.637329e-06 -4.570833e-07 -9.348215e-08 -1.080595e-04 -5.222824e-05 -5.740721e-05 -1.377576e-05
 7688.000000 -2.372290e-05 -2.649238e-06 -4.592216e-07 -9.399632e-08 -1.083008e-04 -5.289590e-05 -5.278904e-05 -2.037833e-05
 7689.000000 -2.364497e-05 -2.643288e-06 -4.582551e-07 -9.386338e-08 -1.029478e-04 -5.638259e-05 -5.137904e-05 -2.587917e-05
 7689.200000 -2.358906e-05 -2.637013e-06 -4.570005e-07 -9.364018e-08 -9.914861e-05 -5.953728e-05 -5.031996e-05 -2.391416e-05
 7689.400000 -2.360271e-05 -2.638679e-06 -4.573778e-07 -9.379437e-08 -8.462757e-05 -5.337639e-05 -5.852025e-05 -2.217853e-05
 7689.600000 -2.355544e-05 -2.634282e-06 -4.569055e-07 -9.355902e-08 -8.726601e-05 -6.433959e-05 -6.365233e-05 -1.289023e-05
 7689.800000 -2.361731e-05 -2.641726e-06 -4.579550e-07 -9.379794e-08 -1.016985e-04 -6.438344e-05 -6.035243e-05 -1.210573e-05
 7690.000000 -2.359036e-05 -2.640888e-06 -4.574267e-07 -9.370580e-08 -1.001617e-04 -6.129545e-05 -5.305092e-05 -2.041438e-05
 7690.200000 -2.368875e-05 -2.651727e-06 -4.595157e-07 -9.422224e-08 -1.022767e-04 -5.531216e-05 -6.336019e-05 -2.333623e-05
 7690.400000 -2.368467e-05 -2.651709e-06 -4.595410e-07 -9.421849e-08 -1.022869e-04 -5.676610e-05 -5.683246e-05 -1.007723e-05
 7690.600000 -2.373829e-05 -2.658742e-06 -4.608413e-07 -9.444138e-08 -1.029109e-04 -4.841431e-05 -5.390242e-05 -3.483925e-06
 7690.800000 -2.377867e-05 -2.663401e-06 -4.616332e-07 -9.468691e-08 -1.002625e-04 -4.833740e-05 -5.728646e-05 -1.428497e-05
 7691.000000 -2.375826e-05 -2.661494e-06 -4.611521e-07 -9.452626e-08 -9.823070e-05 -5.655981e-05 -6.424391e-05 -1.677866e-05
