# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.87195628321604
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_8V Co 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 14.869967629
# ISS.sample_y_position: 16.5961384525
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  12:22:24
# Scan.end_time: 02/21/2022  12:22:49
# Scan.duration: 00:25
# Scan.transient_id: 196827
# Scan.uid: bd2c00ff-08fb-45ef-8aca-37de489ac46e
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.564896e-05 -1.601731e-06 -2.717275e-07 -5.605800e-08 -7.709885e-05 -4.072873e-05 -3.366461e-05 -1.440021e-05
 7614.000000 -2.320962e-05 -2.386439e-06 -4.053762e-07 -8.354023e-08 -1.221861e-04 -6.192734e-05 -5.061536e-05 -1.119023e-05
 7619.000000 -2.337567e-05 -2.416766e-06 -4.112375e-07 -8.465569e-08 -1.267347e-04 -6.145239e-05 -5.075826e-05 -8.429093e-06
 7624.000000 -2.336402e-05 -2.429121e-06 -4.141105e-07 -8.511544e-08 -1.298058e-04 -5.640020e-05 -4.168671e-05 -1.241098e-05
 7629.000000 -2.336432e-05 -2.443580e-06 -4.172494e-07 -8.565187e-08 -1.269348e-04 -5.361991e-05 -5.392149e-05 -1.357577e-05
 7634.000000 -2.336178e-05 -2.457061e-06 -4.201967e-07 -8.615881e-08 -1.147161e-04 -5.133822e-05 -5.440847e-05 -1.257372e-05
 7639.000000 -2.349609e-05 -2.485505e-06 -4.255472e-07 -8.718578e-08 -1.137294e-04 -5.388740e-05 -5.204456e-05 -1.804812e-05
 7644.000000 -2.356266e-05 -2.506490e-06 -4.298032e-07 -8.799593e-08 -1.173198e-04 -4.993756e-05 -4.848811e-05 -2.621430e-05
 7649.000000 -2.360251e-05 -2.524464e-06 -4.336460e-07 -8.871502e-08 -1.087082e-04 -6.444871e-05 -4.149885e-05 -3.047513e-05
 7654.000000 -2.355726e-05 -2.533890e-06 -4.359277e-07 -8.909460e-08 -1.154311e-04 -6.451469e-05 -4.509690e-05 -2.276313e-05
 7659.000000 -2.360254e-05 -2.553321e-06 -4.399695e-07 -8.985788e-08 -1.208583e-04 -5.227434e-05 -5.066541e-05 -2.301916e-05
