# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.85318763771
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 721 4_8V Co 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 14.869967629
# ISS.sample_y_position: 16.596119379
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/21/2022  12:22:57
# Scan.end_time: 02/21/2022  12:23:21
# Scan.duration: 00:23
# Scan.transient_id: 196828
# Scan.uid: e975bf29-2230-4f8b-81c1-99477329b3c4
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.562116e-05 -1.600020e-06 -2.719850e-07 -5.594893e-08 -7.758823e-05 -4.912262e-05 -3.562380e-05 -1.170211e-05
 7614.000000 -2.310497e-05 -2.376860e-06 -4.045120e-07 -8.314422e-08 -1.099985e-04 -6.499054e-05 -4.717105e-05 -1.389722e-05
 7619.000000 -2.325203e-05 -2.405953e-06 -4.100041e-07 -8.419355e-08 -1.078317e-04 -6.780029e-05 -4.968479e-05 -1.310512e-05
 7624.000000 -2.327009e-05 -2.421347e-06 -4.132958e-07 -8.475133e-08 -1.061583e-04 -7.164382e-05 -3.861093e-05 -1.472223e-05
 7629.000000 -2.332572e-05 -2.440545e-06 -4.171431e-07 -8.548418e-08 -1.087214e-04 -7.082184e-05 -3.487981e-05 -1.064420e-05
 7634.000000 -2.336861e-05 -2.458961e-06 -4.209343e-07 -8.615444e-08 -1.123133e-04 -6.772922e-05 -4.029651e-05 -1.316537e-05
 7639.000000 -2.338463e-05 -2.474252e-06 -4.242393e-07 -8.675032e-08 -1.116284e-04 -6.171919e-05 -4.450435e-05 -1.961959e-05
 7644.000000 -2.342302e-05 -2.492377e-06 -4.279163e-07 -8.744141e-08 -1.116961e-04 -6.408941e-05 -4.145312e-05 -2.713261e-05
 7649.000000 -2.339346e-05 -2.502500e-06 -4.303002e-07 -8.789672e-08 -1.075642e-04 -6.424131e-05 -5.090348e-05 -2.060573e-05
 7654.000000 -2.344446e-05 -2.522319e-06 -4.342781e-07 -8.868730e-08 -1.081103e-04 -5.995749e-05 -5.414797e-05 -1.970389e-05
 7659.000000 -2.359349e-05 -2.552075e-06 -4.399103e-07 -8.980843e-08 -1.215781e-04 -6.382535e-05 -5.821119e-05 -2.569694e-05
 7664.000000 -2.361862e-05 -2.568499e-06 -4.433141e-07 -9.048796e-08 -1.217386e-04 -7.157513e-05 -5.282853e-05 -2.258174e-05
 7669.000000 -2.358013e-05 -2.578528e-06 -4.455973e-07 -9.093886e-08 -1.221278e-04 -5.869802e-05 -4.187160e-05 -9.659547e-06
 7674.000000 -2.368443e-05 -2.604117e-06 -4.504080e-07 -9.195045e-08 -1.210978e-04 -4.807943e-05 -4.352939e-05 -8.604376e-06
 7679.000000 -2.364744e-05 -2.614016e-06 -4.527501e-07 -9.242651e-08 -1.130059e-04 -4.695910e-05 -2.943709e-05 -1.178711e-05
 7683.000000 -2.367723e-05 -2.628719e-06 -4.557049e-07 -9.308458e-08 -1.114148e-04 -4.134478e-05 -2.193800e-05 -1.944521e-05
 7686.000000 -2.363788e-05 -2.632721e-06 -4.566405e-07 -9.332542e-08 -1.118901e-04 -4.055343e-05 -3.513856e-05 -3.115391e-05
 7688.000000 -2.365094e-05 -2.640217e-06 -4.579307e-07 -9.360046e-08 -1.059898e-04 -4.364440e-05 -4.590072e-05 -2.917270e-05
 7689.000000 -2.374592e-05 -2.653808e-06 -4.602565e-07 -9.416861e-08 -1.178834e-04 -4.389045e-05 -5.321575e-05 -2.449426e-05
 7689.200000 -2.377547e-05 -2.657415e-06 -4.610649e-07 -9.427477e-08 -1.222390e-04 -4.135803e-05 -5.641386e-05 -2.252564e-05
 7689.400000 -2.379211e-05 -2.659106e-06 -4.613024e-07 -9.440353e-08 -1.183745e-04 -4.221898e-05 -5.329172e-05 -1.775086e-05
 7689.600000 -2.378151e-05 -2.659885e-06 -4.614100e-07 -9.444593e-08 -1.247245e-04 -4.810682e-05 -4.554891e-05 -1.034669e-05
 7689.800000 -2.373933e-05 -2.655575e-06 -4.607705e-07 -9.429158e-08 -1.176297e-04 -4.166838e-05 -4.885107e-05 -1.604939e-05
 7690.000000 -2.368576e-05 -2.650163e-06 -4.598017e-07 -9.413960e-08 -1.120547e-04 -4.903821e-05 -4.912867e-05 -2.012711e-05
 7690.200000 -2.375069e-05 -2.656723e-06 -4.607494e-07 -9.439325e-08 -1.123029e-04 -4.696892e-05 -5.586485e-05 -1.961258e-05
 7690.400000 -2.375046e-05 -2.657980e-06 -4.612615e-07 -9.437464e-08 -1.092605e-04 -5.078965e-05 -4.591883e-05 -1.578957e-05
 7690.600000 -2.374500e-05 -2.658761e-06 -4.612795e-07 -9.434018e-08 -1.088791e-04 -4.849147e-05 -4.649911e-05 -1.187939e-05
 7690.800000 -2.375041e-05 -2.660113e-06 -4.615610e-07 -9.447020e-08 -1.030222e-04 -4.639247e-05 -4.078206e-05 -1.285306e-05
 7691.000000 -2.370598e-05 -2.655626e-06 -4.609287e-07 -9.434529e-08 -1.119850e-04 -5.711033e-05 -4.554918e-05 -2.083006e-05
 7691.200000 -2.371420e-05 -2.656433e-06 -4.611095e-07 -9.437363e-08 -1.157797e-04 -5.454285e-05 -4.234278e-05 -2.023379e-05
 7691.400000 -2.373247e-05 -2.658766e-06 -4.614105e-07 -9.439499e-08 -1.125600e-04 -4.881775e-05 -4.742678e-05 -2.364424e-05
 7691.600000 -2.373786e-05 -2.660468e-06 -4.618098e-07 -9.445287e-08 -1.073472e-04 -4.285090e-05 -4.649359e-05 -2.650139e-05
 7691.800000 -2.372006e-05 -2.658341e-06 -4.616214e-07 -9.447544e-08 -1.101151e-04 -3.927852e-05 -3.742299e-05 -1.657952e-05
 7692.000000 -2.370555e-05 -2.658393e-06 -4.617177e-07 -9.449741e-08 -1.129376e-04 -3.741539e-05 -3.643472e-05 -1.372252e-05
 7692.200000 -2.371354e-05 -2.659762e-06 -4.619262e-07 -9.460582e-08 -1.112375e-04 -3.696115e-05 -4.678190e-05 -3.270917e-05
 7692.400000 -2.372635e-05 -2.661487e-06 -4.624054e-07 -9.469736e-08 -1.122286e-04 -4.268347e-05 -4.472332e-05 -2.650444e-05
 7692.600000 -2.372394e-05 -2.661135e-06 -4.623965e-07 -9.469728e-08 -1.068918e-04 -4.273594e-05 -4.348185e-05 -2.512430e-05
 7692.800000 -2.368060e-05 -2.656845e-06 -4.614398e-07 -9.458457e-08 -1.020586e-04 -5.219283e-05 -3.082562e-05 -3.114948e-05
 7693.000000 -2.368842e-05 -2.658595e-06 -4.617588e-07 -9.459242e-08 -1.010429e-04 -4.920965e-05 -3.525456e-05 -3.650930e-05
 7693.200000 -2.364729e-05 -2.654181e-06 -4.609026e-07 -9.440961e-08 -1.078388e-04 -4.021352e-05 -2.972901e-05 -4.249686e-05
 7693.400000 -2.362868e-05 -2.652482e-06 -4.605738e-07 -9.444420e-08 -1.154705e-04 -4.448402e-05 -2.220420e-05 -3.515402e-05
 7693.600000 -2.363535e-05 -2.654214e-06 -4.609121e-07 -9.443836e-08 -1.060736e-04 -5.199690e-05 -4.553955e-06 -2.718008e-05
 7693.800000 -2.363439e-05 -2.654808e-06 -4.608303e-07 -9.440792e-08 -1.059417e-04 -5.349509e-05 -1.274985e-05 -3.396914e-05
 7694.000000 -2.367349e-05 -2.660036e-06 -4.617548e-07 -9.467159e-08 -1.025614e-04 -5.760692e-05 -1.761927e-05 -4.067559e-05
 7694.200000 -2.370564e-05 -2.664004e-06 -4.624764e-07 -9.478717e-08 -1.026668e-04 -5.473426e-05 -3.084484e-05 -4.337212e-05
 7694.400000 -2.368661e-05 -2.663046e-06 -4.620447e-07 -9.476444e-08 -1.050702e-04 -4.691350e-05 -2.442125e-05 -3.515273e-05
 7694.600000 -2.362942e-05 -2.657594e-06 -4.610508e-07 -9.462546e-08 -1.114113e-04 -4.183558e-05 -1.553726e-05 -3.237479e-05
